orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Holding LLC Real Estate,Real Estate,,1000001,5000000,0,N,,
"",Carson City Holdings,Real Estate,,1000001,5000000,0,A,,
"",Sourdough Mercantile,Retail Sales,,1000002,2000000,0,N,,
"",Carson City Holding,Unknown,Unknown,1000002,2000000,0,N,,
"",Hot Springs Ltd,Real Estate,,500002,1000000,0,N,,
"",E-Trade Interest Income,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,N,,
"",IMPAC Mortgage Holdings,Real Estate,,80003,200000,0,N,,
"",Public Employees Retirement System,Civil Servants,"Brokerage, IRA, 401k",65002,150000,0,N,,
"",Kobuk Coffee,Food & Beverage,,30002,100000,0,N,,
"",Great Western Retirement Services,Unknown,,50001,100000,0,N,,
"",Frontline Ltd,Sea Transport,,50001,100000,0,N,,
"",Caribou Hills Subdivision,Real Estate,,30002,100000,0,N,,
"",Brocade Communications Systems,Unknown,,30002,100000,0,N,,
D000064520,Annaly Capital Management,Securities/Invest,,30002,100000,0,N,,
"",Quantum Fuel Systems Tech Worldwide,Unknown,,16002,65000,0,N,,
D000022329,Xcel Energy,Electric Utilities,,15001,50000,0,N,Y,
"",New York Community Bancorp,Commercial Banks,,15001,50000,0,N,,
D000000805,KeyCorp,Commercial Banks,,15001,50000,0,N,Y,
"",EMC Corp,Electronics Mfg/Eqp,,15001,50000,0,N,,
D000025615,E*TRADE Financial,Securities/Invest,,15001,50000,0,N,,
D000000071,Citigroup Inc,Commercial Banks,,15001,50000,0,N,Y,Y
D000029280,Sun Microsystems,Electronics Mfg/Eqp,,2002,30000,0,N,Y,
D000000449,Nortel Networks,Telecom Svcs,,2002,30000,0,N,Y,
"",Begich Apartments,Real Estate,,2002,30000,0,N,,
D000023834,Alcatel-Lucent,Telecom Svcs,,2002,30000,0,N,Y,
D000067519,Alaska Communications,Telecom Svcs,,2002,30000,0,N,Y,
D000000607,Xerox Corp,Misc Mfg/Distrib,,1001,15000,0,N,Y,
D000000656,Westwood One,TV/Movies/Music,,1001,15000,0,N,Y,
"",Wells Fargo/Checking,Commercial Banks,Cash/Money Market/Savings/Checking,1001,15000,0,N,,
"",Vanguard International Value Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",US Government Savings Bonds,Unknown,Government Bond,1001,15000,0,N,,
D000057745,Transcanada Corp,Electric Utilities,,1001,15000,0,N,Y,
"",The Ed Plan Newborn to age 5 years,Unknown,"Brokerage, IRA, 401k",1001,15000,0,N,,
D000059511,Plains All American Pipeline,Oil & Gas,,1001,15000,0,N,,
"",National Bank of Greece,Commercial Banks,,1001,15000,0,N,,
D000035530,Macerich Co,Real Estate,,1001,15000,0,N,,
"",IPASS Inc,Internet,,1001,15000,0,N,,
"",Gerdau SA,Unknown,,1001,15000,0,N,,
"",Denali Credit Union,Unknown,,1001,15000,0,N,,
D000043528,Citadel Broadcasting,TV/Movies/Music,,1001,15000,0,N,,
"",Allos Therapeutics,Unknown,,1001,15000,0,N,,
"",AK USAA Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",Acusphere Inc,Unknown,,1001,15000,0,N,,
D000037787,State of Alaska,Civil Servants,Unknown,0,6000,0,N,Y,Y
"",Dobson Communications,Unknown,,0,2000,0,N,,
D000030862,Vornado Realty Trust,Real Estate,Mutual Fund,0,1000,0,N,Y,
"",Vasco Data Security International,Internet,,0,1000,0,N,,
D000000094,Time Warner,TV/Movies/Music,,0,1000,0,N,Y,Y
"",KERYX Biopharmaceuticals,Pharm/Health Prod,,0,1000,0,N,,
D000000471,HealthSouth Corp,Hospitals/Nurs Homes,,0,1000,0,N,Y,
"",Eastern Co,Unknown,,0,1000,0,N,,
D000025166,Covidien Ltd,Pharm/Health Prod,,0,1000,0,N,Y,
D000000149,Bristol-Myers Squibb,Pharm/Health Prod,,0,1000,0,N,Y,
"",Alpine Dynamic Dividend Fund,Unknown,Mutual Fund,0,1000,0,N,,
