orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Chemsweep Money Market Funds,Unknown,Cash/Money Market/Savings/Checking,2000003,7000000,0,A,,
"",Federated Govt Obligations/Cash & Money Market,Unknown,Cash/Money Market/Savings/Checking,600002,1250000,0,A,,
"",Federated Govt Obligations/Cash & MM,Unknown,Cash/Money Market/Savings/Checking,500001,1000000,0,A,,
D000000188,Dow Chemical,Chemicals,,500002,1000000,0,A,Y,Y
D000021754,Apple Inc,Electronics Mfg/Eqp,,253006,645000,0,A,Y,
D000021757,Berkshire Hathaway,Securities/Invest,,265005,600000,0,A,Y,Y
"",Ford Interest Advantage,Unknown,,250001,500000,0,A,,
"",Ford Credit Interest Advantage,Unknown,,250001,500000,0,A,,
D000000212,Coca-Cola Co,Food & Beverage,,148008,395000,0,A,Y,Y
D000029689,Visa Inc,Finance/Credit,,133007,345000,0,A,Y,
D000000118,Union Pacific Corp,Railroads,,133007,345000,0,A,Y,Y
D000000794,Qualcomm Inc,Electronics Mfg/Eqp,,133007,345000,0,A,Y,Y
D000000055,Monsanto Co,Agricultural Svcs,,133007,345000,0,A,Y,Y
D000000352,Caterpillar Inc,Building Materials,,133007,345000,0,A,Y,Y
D000000125,General Electric,Misc Mfg/Distrib,,132006,330000,0,A,Y,Y
D000000422,Oracle Corp,Electronics Mfg/Eqp,,111006,315000,0,A,Y,Y
D000000129,Exxon Mobil,Oil & Gas,,110005,300000,0,A,Y,Y
D000021977,Express Scripts,Health Services,,110005,300000,0,A,Y,Y
D000000373,McDonald's Corp,Food & Beverage,,98007,295000,0,A,Y,Y
D000042617,Church & Dwight,Chemicals,,118006,295000,0,A,,
D000000720,IBM Corp,Electronics Mfg/Eqp,,77007,280000,0,A,Y,Y
D000019743,Wells Fargo,Commercial Banks,,105007,275000,0,A,Y,Y
D000025490,Diageo Plc,"Beer, Wine & Liquor",,105007,275000,0,A,Y,Y
"",iShares Barclays 1-3 Yr ETF,Unknown,Mutual Fund,100001,250000,0,A,,
"",iShares Barclays 1-3 Year Credit Bond Fund,Unknown,Mutual Fund,100001,250000,0,A,,
D000020679,Ford Motor Credit Co,Finance/Credit,,115003,250000,0,A,,
D000027998,Nike Inc,Misc Mfg/Distrib,,63007,245000,0,A,Y,Y
D000022008,Google Inc,Internet,,63007,245000,0,A,Y,Y
"",Freeport-McMoRan Copper & Gold,Mining,,103005,245000,0,A,,
D000000217,American Express,Finance/Credit,,63007,245000,0,A,Y,Y
D000000321,Nextera Energy,Electric Utilities,,102004,230000,0,A,Y,Y
D000064935,National Oilwell Varco,Oil & Gas,,62006,230000,0,A,Y,
D000042332,Nestle Sa,Food & Beverage,,70007,225000,0,A,Y,
D000000182,Ford Motor Co,Automotive,,70007,225000,0,A,Y,Y
D000000703,Costco Wholesale,Retail Sales,,70007,225000,0,A,,
D000000485,Procter & Gamble,Misc Mfg/Distrib,,81004,215000,0,A,Y,Y
D000000419,Home Depot,Retail Sales,,61005,215000,0,A,Y,Y
D000000367,Wal-Mart Stores,Retail Sales,,100002,200000,0,A,Y,Y
"",Vanguard MSCI Emerging Markets ETF,Unknown,Mutual Fund,100002,200000,0,A,,
"",SPDR S&P 500 ETF Trust,Unknown,Mutual Fund,100002,200000,0,A,,
D000042525,Royal Dutch Shell,Oil & Gas,,100002,200000,0,A,Y,Y
D000000386,Johnson & Johnson,Pharm/Health Prod,,60004,200000,0,A,Y,Y
D000026492,HJ Heinz Co,Food Process/Sales,,100002,200000,0,A,Y,
D000025831,Fiserv Inc,Insurance,,60004,200000,0,A,Y,
D000000303,ConocoPhillips,Oil & Gas,,60004,200000,0,A,Y,Y
D000000383,Abbott Laboratories,Pharm/Health Prod,,80003,200000,0,A,Y,Y
D000021800,3M Co,Misc Mfg/Distrib,,100002,200000,0,A,Y,Y
D000000141,Prudential Financial,Insurance,,35007,175000,0,A,Y,Y
D000034273,Hain Celestial Group,Misc Business,,35007,175000,0,A,,
"",Equinix Inc,Unknown,,35007,175000,0,A,,
D000025625,Ecolab Inc,Chemicals,,35007,175000,0,A,Y,Y
D000000149,Bristol-Myers Squibb,Pharm/Health Prod,,35007,175000,0,A,Y,Y
D000000100,Boeing Co,Defense Aerospace,,35007,175000,0,A,Y,Y
D000047071,American Tower Corp,Electronics Mfg/Eqp,,35007,175000,0,A,,
"",Vanguard International Value Fund,Unknown,,45003,150000,0,A,,
"",United Parcel Service Bond,Unknown,,65002,150000,0,A,,
"",Dodge & Cox International Fund,Unknown,Mutual Fund,45003,150000,0,A,,
D000000408,Deere & Co,Agricultural Svcs,,45003,150000,0,A,Y,Y
D000000430,Weyerhaeuser Co,Forest Products,,53004,145000,0,A,Y,Y
D000000128,Walt Disney Co,TV/Movies/Music,,33005,145000,0,A,Y,
D000036624,Perrigo Co,Pharm/Health Prod,,33005,145000,0,A,Y,Y
D000025642,Edwards Lifesciences,Pharm/Health Prod,,33005,145000,0,A,Y,Y
