orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Cantwell 2000 Campaign,Unknown,Note/Note Receivable,1000001,5000000,0,Y,,
D000036986,RealNetworks Inc,Electronics Mfg/Eqp,,250001,500000,0,Y,,Y
"",Harbor Capital Appreciation Institutional,Unknown,Mutual Fund,15001,50000,0,Y,,
"",William Blair International Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",VWNFX-Vanguard Windsor II Inv (NASDAQ)Filer commen,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Vanguard Total Bond Market Index,Unknown,Mutual Fund,1001,15000,0,Y,,
"","US Bank(St Paul, MN)/Checking",Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",RealNetworks 401k retirement,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Morgan Stanley Institutional Small Co Gr,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Dodge & Cox International Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",AVPAX - American Beacon Small Cp Val Inv (NASDAQ)F,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Fidelity Institutional Money Market,Unknown,Mutual Fund,0,1000,0,Y,,
