orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",UBS Bank Deposit Account,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",TD Bank/Checking,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",Fidelity Asset Manager Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Rental Condo,Real Estate,,50001,100000,0,Y,,
"",Ivy Asset Strategy Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Invesco Balanced Risk Allocation Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",ING Annuity Co Deferred Comp Plan,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Fidelity Equity Income II Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Cohen & Steers Dividend Value Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Capitol One Bank/Savings & Money Market,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"",Blackrock Mid-Cap Growth (IRA),Unknown,Mutual Fund,50001,100000,0,Y,,
"",Wells Fargo/Checking,Commercial Banks,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"","Washington County, MD Water",Unknown,Government Bond,15001,50000,0,Y,,
"",US Senate Federal Credit Union Account,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",State of Washington G/O Bond,Unknown,Government Bond,15001,50000,0,Y,,
"",State of California Variable G/O Bond,Unknown,Government Bond,15001,50000,0,Y,,
"","Souderton Area School District, PA",Unknown,Government Bond,15001,50000,0,Y,,
"",Ohio Water Dev Authority Bond,Unknown,Government Bond,15001,50000,0,Y,,
"",North Carolina Medical Care Commission,Unknown,Unknown,15001,50000,0,Y,,
"","New York, NY Fiscal",Unknown,Government Bond,15001,50000,0,Y,,
"",New York Metro Trans Auth Revenue Bonds,Unknown,Government Bond,15001,50000,0,Y,,
"",New York City Transitional Fin Auth Bond,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Miami-Dade County Bond,Unknown,Government Bond,15001,50000,0,Y,,
"",Maryland Trans Auth Grant & Revenue Bond,Unknown,Government Bond,15001,50000,0,Y,,
"",Maryland Dept of Transportation Bond,Unknown,Government Bond,15001,50000,0,Y,,
"",Mansfield TX Independent School District,Unknown,Government Bond,15001,50000,0,Y,,
"",Man-Ahl Diversified 1 (IRA),Unknown,Mutual Fund,15001,50000,0,Y,,
"",Ft Templeton Growth C (,Unknown,Mutual Fund,15001,50000,0,Y,,
"","Electric & Gas/San Antonio, TX",Unknown,Government Bond,15001,50000,0,Y,,
"","Charlston County, SC Schools",Unknown,Government Bond,15001,50000,0,Y,,
"","Carroll County, MD",Civil Servants,Government Bond,15001,50000,0,Y,,
"",Bulloch County GA School,Unknown,Government Bond,15001,50000,0,Y,,
"",Bangor Savings Bank/Now Account,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Abbey Capital Multimanager Fund Ltd,Unknown,Mutual Fund,15001,50000,0,Y,,
"",AAA Energy Opportunities Fund LLC (IRA),Unknown,Mutual Fund,15001,50000,0,Y,,
D000000128,Walt Disney Co,TV/Movies/Music,,2002,30000,0,Y,Y,
D000000079,Verizon Communications,Telephone Utilities,,2002,30000,0,Y,Y,Y
D000000209,United Technologies,Defense Aerospace,,2002,30000,0,Y,Y,Y
D000000881,Time Warner Cable,TV/Movies/Music,,2002,30000,0,Y,Y,
D000023662,Thermo Fisher Scientific,Misc Mfg/Distrib,,2002,30000,0,Y,Y,Y
D000000619,Target Corp,Retail Sales,,2002,30000,0,Y,Y,
D000037414,Schlumberger Ltd,Oil & Gas,,2002,30000,0,Y,,
