orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",James M Costa Farms,Crop Production,,1000001,5000000,0,Y,,
"",Rental home,Real Estate,,750002,1500000,0,Y,,
"",United Security Bank,Unknown,,250001,500000,0,Y,,
"",Westamerica Bancorporation,,,15001,50000,0,Y,,
"",TCW Relative Value Large Cap Fund,,Mutual Fund,15001,50000,0,Y,,
"",RS Small Cap Growth Fund,,Mutual Fund,15001,50000,0,Y,,
"",Rowe T Price Mid Cap Growth Fund (RPMGX) (EIF),,Mutual Fund,15001,50000,0,Y,,
"",Oppenheimer Developing Markets Fund,,Mutual Fund,15001,50000,0,Y,,
"",MFS Ser Tr 1 Value Fund,,Mutual Fund,15001,50000,0,Y,,
"",Lazard Emerging Markets Equity Portfolio,Misc Finance,Mutual Fund,15001,50000,0,Y,,
"",Janus Investment Fund Flexible Bond Fund,,Mutual Fund,15001,50000,0,Y,,
"",Heartland Financial USA,Commercial Banks,,15001,50000,0,Y,,
"",Harris Assoc Invt Tr Oakmark Intl Fund,,Mutual Fund,15001,50000,0,Y,,
"",Harbor Fund Capital Appreciation Fund,,Mutual Fund,15001,50000,0,Y,,
"",Franklin Small Cap Value Adv Fund,,Mutual Fund,15001,50000,0,Y,,
"",Edgewood Growth Fund,,Mutual Fund,15001,50000,0,Y,,
"",Eaton Vance Income Fund of Boston,,Mutual Fund,15001,50000,0,Y,,
"",American Funds Washington Mutual Investors Fund,,Mutual Fund,15001,50000,0,Y,,
D000019566,Wells Fargo Bank,Commercial Banks,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",T Rowe Price Real Est Fund,,Mutual Fund,1001,15000,0,Y,,
"",RS Invt Tr Value Fund,,Mutual Fund,1001,15000,0,Y,,
"",Portugueses Fraternal Society of America,Insurance,,1001,15000,0,Y,,
"",Oppenheimer International Growth Fund,,Mutual Fund,1001,15000,0,Y,,
"",JP morgan 100% Us Treasury securities,,Mutual Fund,1001,15000,0,Y,,
"",Goldman Sachs FS Treasury Instruments Fund,,Mutual Fund,1001,15000,0,Y,,
"",Deutsche Global Real Estate Securities Fund,Unknown,,1001,15000,0,Y,,
"",Deutsche Enhanced Commodity Strategy Fund,,Mutual Fund,1001,15000,0,Y,,
"",American Funds Europacific Growth Fund,,Mutual Fund,1001,15000,0,Y,,
