orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Denham Plastics,Unknown,,5000001,25000000,0,Y,,
"",Residential Rental Property,Real Estate,,500001,1000000,0,Y,,
"",MTJ PROPERTIES,,,500001,1000000,0,Y,,
"",LONGVIEW AVE FARM,Crop Production,,500001,1000000,0,Y,,
"",KANAHA PROPERTIES,,,500001,1000000,0,Y,,
"",CLEANTEC LOGISTICS,Unknown,,250001,500000,0,Y,,
"",T Rowe Price Blue Chip Growth Fund,,Mutual Fund,50001,100000,0,Y,,
"",American Funds 2040 Target Date Fund,,Mutual Fund,50001,100000,0,Y,,
"",Vanguard Target Retirement 2035 Fund,,Mutual Fund,15001,50000,0,Y,,
"",STATE STREET US BOND INDEX NON-LENDING SERIES FUND,,Mutual Fund,15001,50000,0,Y,,
"",SPHERE MATERIAL HANDLING,Unknown,,15001,50000,0,Y,,
"",PARTICIPANT LOAN,,"""Account"" or Combination of other types (I.e.Stocks & Bonds)",15001,50000,0,Y,,
"",Dodge & Cox Stock Fund,,Mutual Fund,15001,50000,0,Y,,
"",American Funds Europacific Growth Fund,,Mutual Fund,15001,50000,0,Y,,
