orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",711 South 16th Street,Real Estate,,250001,500000,0,Y,,
"",Vanguard Money Ma,Unknown,Mutual Fund,100001,250000,0,Y,,
"",US Treasury Bond,Unknown,Government Bond,95004,250000,0,Y,,
"",Regions Bank Account,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",132 W Main Street,Real Estate,,100001,250000,0,Y,,
"",Fidelity Money Market,Unknown,Cash/Money Market/Savings/Checking,35007,175000,0,Y,,
"",iShares S&P 500 Value Index,Unknown,Mutual Fund,65002,150000,0,Y,,
"",GE Money Bank/CD,Unknown,Cash/Money Market/Savings/Checking,65002,150000,0,Y,,
"",Vanguard Windsor II Fund,Unknown,Mutual Fund,51002,115000,0,Y,,
"",Vanguard Stable R,Unknown,Mutual Fund,50001,100000,0,Y,,
"",TVA Reset Preferred Private,Unknown,,50001,100000,0,Y,,
"",Oakmark International Small Cap Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",CRM Mid Cap Value Fund,Unknown,Mutual Fund,30002,100000,0,Y,,
D000060173,Associated Bank,Commercial Banks,,50001,100000,0,Y,,
"",American Beacon Small Cap Value Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",12 South 2nd Street,Real Estate,,50001,100000,0,Y,,
"",Vanguard Bond Fund,Unknown,Mutual Fund,16002,65000,0,Y,,
D000025773,Federal Home Loan Bank,Real Estate,Government Bond,16002,65000,0,Y,Y,
"",Dodge & Cox International Fund,Misc Finance,Mutual Fund,16002,65000,0,Y,,
"",Village Bank Account,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Vanguard Wellington Fund,Securities/Invest,Mutual Fund,15001,50000,0,Y,,
"",Utility G/O FS Bond,Unknown,Government Bond,15001,50000,0,Y,,
"",School Dist Bond,Unknown,Government Bond,15001,50000,0,Y,,
"",Rural Route 1,Real Estate,,15001,50000,0,Y,,
"",Promissory Note from AC Vandeveer,Unknown,Note/Note Receivable,15001,50000,0,Y,,
"",iShares MSCI EAFE Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",G/O Bond,Unknown,Mutual Fund,15001,50000,0,Y,,
"","East D Street/Belleville, IL",Real Estate,,15001,50000,0,Y,,
"",CT State Taxable G/O Bond,Unknown,Government Bond,15001,50000,0,Y,,
"",Columbia Acorn International Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",CD GE Money Bank,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Brightstart 529 Plan,Unknown,"Brokerage, IRA, 401k",15001,50000,0,Y,,
"",AQR Managed Futures Strategy Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Illinois Health Authority Bond,Unknown,Government Bond,3003,45000,0,Y,,
"",Touchstone Emerging Markets Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Stone Harbor Local Markets Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Scott Credit Union,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Prudential Jennison Mid Cap Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",PIMCO Total Return Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Janus Overseas Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
D000026714,Jackson National Life Insurance,Insurance,,1001,15000,0,Y,,
"",iShares S&P 500 Growth Index,Unknown,Mutual Fund,1001,15000,0,Y,,
D000000163,Freddie Mac,Real Estate,Government Bond,1001,15000,0,Y,Y,
"",Fidelity Puritan Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
