orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Edward Jones Money Market,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",Geneos Wealth Management/Kaiser & Co Money Market,Unknown,Cash/Money Market/Savings/Checking,51002,115000,0,Y,,
"",WYOMING COMMUNITY DEV AUTH HSG Bond,Unknown,Government Bond,15001,50000,0,Y,,
"",VFINX - Vanguard 500 Index Inv (NASDAQ),Unknown,Mutual Fund,15001,50000,0,Y,,
"","US Senate Federal Credit Union(Washington, DC)",Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",TWCUX - American Century Ultra Inv (NASDAQ),Unknown,Mutual Fund,15001,50000,0,Y,,
"",TEXAS STATE DEPT HSG & CMNTY Bond,Unknown,Government Bond,15001,50000,0,Y,,
"",TEQIX - Mutual Quest A (NASDAQ),Unknown,Mutual Fund,15001,50000,0,Y,,
"",TEMWX - Templeton World A (NASDAQ),Unknown,Mutual Fund,15001,50000,0,Y,,
"",T Rowe Price Equity Income,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Pimco Investment Grade,Unknown,Mutual Fund,15001,50000,0,Y,,
"",LARAMIE COUNTY WYOMING HOSP Bond,Unknown,Government Bond,15001,50000,0,Y,,
"","First Interstate Bank(Sheridan, WY)/CD",Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Fidelity Contrafund,Unknown,Mutual Fund,15001,50000,0,Y,,
"","Birmingham, AL G/O Ref Bond",Unknown,Government Bond,15001,50000,0,Y,,
"",Nuveen Preferred Income Opport,Unknown,Mutual Fund,2002,30000,0,Y,,
"",ID STATE Water RES BRD REV,Unknown,Government Bond,2002,30000,0,Y,,
"",WYOMING COMMUNITY DEV AUTH HOUSING REV SER Bond,Unknown,Government Bond,1001,15000,0,Y,,
"",Vanguard Inflation-Protected Secs Adm Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Vanguard GNMA Fund,Real Estate,Mutual Fund,1001,15000,0,Y,,
"",Templeton China World Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",TABRX - Templeton BRIC A (NASDAQ),Unknown,Mutual Fund,1001,15000,0,Y,,
"",T Rowe Price Mid-Cap Growth,Unknown,Mutual Fund,1001,15000,0,Y,,
"",SUWAX - DWS Core Equity A (NASDAQ),Unknown,Mutual Fund,1001,15000,0,Y,,
"",SOUTHERN MINN MUN PWR AGY PWR Bond,Unknown,Government Bond,1001,15000,0,Y,,
"",SERAX - DWS World Dividend A (NASDAQ),Unknown,Mutual Fund,1001,15000,0,Y,,
"",Powershares QQQ Trust,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Omaha Public Power Dist Bond,Unknown,Government Bond,1001,15000,0,Y,,
"",Ohio University General Receipts Bond,Unknown,Government Bond,1001,15000,0,Y,,
"",Nuveen Global High Income Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Nuveen Diversified Dividend & Income Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",New York Environmental Facs Corp Bond,Unknown,Government Bond,1001,15000,0,Y,,
"",Michigan Hsg Dev Auth Ltd Bond,Unknown,Government Bond,1001,15000,0,Y,,
"",KHYAX - DWS High Income A (NASDAQ),Unknown,Mutual Fund,1001,15000,0,Y,,
D000000805,Keycorp,Commercial Banks,,1001,15000,0,Y,Y,
"",INDIANAPOLIS IND LOC PUBLIC Bond,Unknown,Government Bond,1001,15000,0,Y,,
"",Indiana Fin Auth Environmental Bond,Unknown,Government Bond,1001,15000,0,Y,,
"",Harbor International Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Franklin Small-Mid Cap Growth A,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Franklin Small Cap Growth A,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Forward Total MarketPlus Institutional,Unknown,Mutual Fund,1001,15000,0,Y,,
"",FKDNX - Franklin DynaTech A (NASDAQ),Unknown,Mutual Fund,1001,15000,0,Y,,
"",FISCX - Franklin Convertible Securities A (NASDAQ),Unknown,Mutual Fund,1001,15000,0,Y,,
"",First Trust Strategic High Inco,Unknown,Mutual Fund,1001,15000,0,Y,,
"",DWS Capital Growth A,Unknown,Mutual Fund,1001,15000,0,Y,,
"",DSU - BlackRock Debt Strategies Fund Inc,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Dodge & Cox Income Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",CONSOLIDATED WY MUNS ELEC Revenue Bond,Unknown,Government Bond,1001,15000,0,Y,,
"",CHICAGO ILLINOIS MIDWAY,Unknown,Government Bond,1001,15000,0,Y,,
"",Charles Schwab account,Unknown,"Brokerage, IRA, 401k",1001,15000,0,Y,,
"",CARBON County WY School District Bond,Unknown,Government Bond,1001,15000,0,Y,,
"",AMG Managers Special Equity Service,Unknown,Mutual Fund,1001,15000,0,Y,,
"",AMG Managers Brandywine Advs Mid Cap Gr,Unknown,Mutual Fund,1001,15000,0,Y,,
"",American Funds EuroPacific Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Franklin Growth A,Unknown,Mutual Fund,0,1000,0,Y,,
