orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",JCF Properties,Real Estate,,1000001,5000000,0,Y,,
D000042829,Fleming's Prime Steakhouse,Food & Beverage,,1000001,5000000,0,Y,,
"",Fleming Subway Restaurants,Food & Beverage,,1000001,5000000,0,Y,,
"","Rental Property/Dallas, TX",Real Estate,,250001,500000,0,Y,,
"",Park City Health Services,Health Services,,250001,500000,0,Y,,
"",Minden Office Park Land,Real Estate,,250001,500000,0,Y,,
"",JCF Management,Misc Finance,,100001,250000,0,Y,,
"",Vanguard Star Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Regions Bank/Checking,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"",Fleming Expansions,Misc Services,,50001,100000,0,Y,,
"",Blackrock Global Allocation Fund,Unknown,Mutual Fund,30002,100000,0,Y,,
"",Blackrock Eurofund,Unknown,Mutual Fund,30002,100000,0,Y,,
"",1 Subway LLC,Food & Beverage,,50001,100000,0,Y,,
"",Washington Mutual Investors Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",MFS International Growth,Unknown,Mutual Fund,15001,50000,0,Y,,
"",MFS Growth Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Fleming Properties LLC,Real Estate,,15001,50000,0,Y,,
"",Fleming Leasing,Unknown,,15001,50000,0,Y,,
"",Capital One accounts,Unknown,"Brokerage, IRA, 401k",15001,50000,0,Y,,
"",Blackrock Pacific Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Blackrock Global Emerging Markets Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",American Funds Investment Co of America,Unknown,Mutual Fund,15001,50000,0,Y,,
"",AllianceBernstein International Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Vanguard Growth Index Signal Fund #1347,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Thornburg International Value Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",T Rowe Price New Era Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",T Rowe Price Midcap Equity Growth Fd# 11,Unknown,Mutual Fund,1001,15000,0,Y,,
"",T Rowe Price Equity Income,Unknown,Mutual Fund,1001,15000,0,Y,,
"",T Rowe Large Cap Growth Inst'l Fund#139,Unknown,Mutual Fund,1001,15000,0,Y,,
"",T Rowe Emerging Market Eq,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Smallcap World Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Putnam Growth Opportunities Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",PIF Temp Dollar Fund,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Munder Growth Opportunities Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Minden Bancorp,Unknown,,1001,15000,0,Y,,
"",MBL Bank Checking Account,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Longleaf Partners,Unknown,Mutual Fund,1001,15000,0,Y,,
"",JPMorgan/Checking,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Invesco Technology Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Income Fund of America,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Harbor Capital App Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Growth Fund of America,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Fleming Properties Kings LLC,Real Estate,,1001,15000,0,Y,,
"",Fleming Properties Hearne LLC,Real Estate,,1001,15000,0,Y,,
"",Europacific Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Dodge & Cox International,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Argent Financial Selected American Shrs,Unknown,Mutual Fund,1001,15000,0,Y,,
"",American Funds Growth Fund of America,Unknown,Mutual Fund,1001,15000,0,Y,,
"",American Funds Balanced Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Afis Growth,Unknown,Mutual Fund,12603,12603,0,Y,,
"",Afis International,Unknown,Mutual Fund,11643,11643,0,Y,,
"",Afis Growth Income,Unknown,Mutual Fund,11354,11354,0,Y,,
"",Afis Govt Aaa Securities,Unknown,Mutual Fund,9104,9104,0,Y,,
"",Ln Vip De Special Opp,Unknown,Mutual Fund,8750,8750,0,Y,,
