orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Cooperative apartment purchased 1989,Real Estate,,1000001,5000000,0,Y,,
"",Al Franken Inc,TV/Movies/Music,,500001,1000000,0,Y,,
"",Professional Services Corp,Unknown,,250001,500000,0,Y,,
"",PIMCO Total Return Fund,Unknown,Mutual Fund,200002,500000,0,Y,,
"",Fidelity Advisor Strategic Income Fund,Unknown,Mutual Fund,200002,500000,0,Y,,
"",Wells Fargo Asset Allocation Fund,Unknown,Mutual Fund,150002,350000,0,Y,,
"",Stadion Managed Portfolio Fund,Unknown,Mutual Fund,150002,350000,0,Y,,
"",Neuberger Berman Socially Responsive Fnd,Unknown,Mutual Fund,130003,350000,0,Y,,
"",JPMorgan Strategic Income Opportunities,Unknown,Mutual Fund,150002,350000,0,Y,,
"",BlackRock GNMA Portfolio,Real Estate,Mutual Fund,150002,350000,0,Y,,
"",Blackrock Global Allocation Fund,Unknown,Mutual Fund,150002,350000,0,Y,,
"",Invesco Van Kampen Equity & Income Fund,Unknown,Mutual Fund,100001,252000,0,Y,,
"",American Funds Income Fund of America,Unknown,Mutual Fund,100001,252000,0,Y,,
"",Wells Fargo Frances Franken/Alan Franken,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",FT-Franklin Income Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Franklin Templeton Franklin Income Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Fairbault Indep Sch 656 Alt Facs Go Bond,Unknown,Government Bond,100001,250000,0,Y,,
"",Ginnie Mae Securities,Real Estate,,36008,190000,0,Y,,
"",First Eagle US Value Fund,Unknown,Mutual Fund,65002,150000,0,Y,,
"",Wells Fargo Advantage Special Mid Cap Va,Unknown,Mutual Fund,50001,100000,0,Y,,
"",US Treasury Note,Unknown,,50001,100000,0,Y,,
"",Putnam Voyager Fund,Unknown,Mutual Fund,30002,100000,0,Y,,
"",Principal Investors Preferred Securities,Unknown,Mutual Fund,30002,100000,0,Y,,
"",Port Auth NY & NJ Cons One Hundred Sixte,Unknown,,50001,100000,0,Y,,
"",Miller Convertible Fund,Unknown,Mutual Fund,30002,100000,0,Y,,
"",Franklin Templeton Income Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Carolina First Bank SC US CD,Unknown,,50001,100000,0,Y,,
"",Calvert Equity Portfolio,Unknown,Mutual Fund,50001,100000,0,Y,,
"",US Federal Credit Union Alan,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",UBS USA RMA Liquid Asset Portfolio,Unknown,,15001,50000,0,Y,,
"",Thornburg Core Growth Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",MetLife Pool GIC,Unknown,Unknown,15001,50000,0,Y,,
"",American Funds Growth Fund of America,Unknown,Mutual Fund,15001,50000,0,Y,,
"",UBS RMA Money Market Portfolio,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",UBS Liquid Assets Fund,Unknown,,1001,15000,0,Y,,
"",UBS Bank Deposit USA,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",American Funds Washington Mutual Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",UBS USA RMA Money Market Account Portfol,Unknown,Cash/Money Market/Savings/Checking,0,1000,0,Y,,
"","St Louis Park, MN ISD 283 Bond",Unknown,Government Bond,0,1000,0,Y,,
"",Minnesota Pub Facilities Auth Water Bond,Unknown,Government Bond,0,1000,0,Y,,
"",Minnesota 911 Revenue Public Safety,Unknown,,0,1000,0,Y,,
"","Elk River, MN Economic Dev AU LSE Bond",Unknown,Government Bond,0,1000,0,Y,,
