orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Money Market/Checking & Savings,Unknown,Cash/Money Market/Savings/Checking,250001,500000,0,Y,,
"",Vanguard 500 Index Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Guadalupe Blanco River Municipal Bonds,Unknown,Government Bond,100001,250000,0,Y,,
"",Dodge & Cox Stock Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Cash,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",Account First Western Advisors,Unknown,"Brokerage, IRA, 401k",100001,250000,0,Y,,
D000021573,Wachovia Corp,Commercial Banks,,100002,200000,0,Y,Y,Y
D000021941,Countrywide Financial,Real Estate,,31003,115000,0,Y,Y,
"",Fidelity Investments Account,Unknown,"Brokerage, IRA, 401k",50001,100000,0,Y,,
"",Amerus Group/Life Insurance Policy,Unknown,Insurance policies & Annuities,50001,100000,0,Y,,
"",SEP IRA Capital Bank & Trust Capital Inc,Unknown,Mutual Fund,15001,50000,0,Y,,
"",SEI Tax Free Fund for Utah,Unknown,Mutual Fund,15001,50000,0,Y,,
"",SEI SIMT Enhanced Income Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
D000059579,SEI Investments,Misc Finance,,15001,50000,0,Y,,
"",SEI Hussman Strategic Growth Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Pakrwest Assoc,Unknown,Government Bond,15001,50000,0,Y,,
"",MFS Emerging Growth Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",IndyMac Bank,Real Estate,,15001,50000,0,Y,,
"",Genta Inc,Unknown,,15001,50000,0,Y,,
"",Fidelity Tax Free Money Market,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Active Asset Tax Free Trust Money Market,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
D000068756,Suncor Energy,Oil & Gas,,2002,30000,0,Y,,
D000000138,Pfizer Inc,Pharm/Health Prod,,2002,30000,0,Y,Y,Y
"",Fidelity Energy Fund,Misc Energy,,2002,30000,0,Y,,
D000000071,Citigroup Inc,Commercial Banks,,2002,30000,0,Y,Y,Y
D000066712,Amerus Group,Insurance,,1001,16000,0,Y,,
"",Zions Bank/Checking,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
D000000284,Wyeth,Pharm/Health Prod,,1001,15000,0,Y,Y,Y
"",World Fuel Services Corp,Unknown,,1001,15000,0,Y,,
D000029829,Western Union,Finance/Credit,,1001,15000,0,Y,Y,
D000029816,Westar Energy,Electric Utilities,,1001,15000,0,Y,Y,
"",Wells Fargo Bank/CD,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
D000029747,Washington Federal Inc,Unknown,,1001,15000,0,Y,,
"",Wacoal Corp,Misc Mfg/Distrib,,1001,15000,0,Y,,
D000064241,Vodafone Group,Telecom Svcs,,1001,15000,0,Y,,
D000030803,Ventas Inc,Real Estate,,1001,15000,0,Y,,Y
D000022303,Valero Energy,Oil & Gas,,1001,15000,0,Y,Y,
"",Universal Compression Holdings,Oil & Gas,,1001,15000,0,Y,,
"",United Utilities,Unknown,,1001,15000,0,Y,,
D000000209,United Technologies,Defense Aerospace,,1001,15000,0,Y,Y,Y
"",Unit Corp,Unknown,,1001,15000,0,Y,,
D000064283,Total SA,Oil & Gas,,1001,15000,0,Y,,
"",Toppan Printing,Publishing,,1001,15000,0,Y,,
"",Tomkins PLC,Unknown,,1001,15000,0,Y,,
D000000094,Time Warner,TV/Movies/Music,,1001,15000,0,Y,Y,Y
D000044380,Terra Industries,Agricultural Svcs,,1001,15000,0,Y,,
D000029382,TEREX Corp,Building Materials,,1001,15000,0,Y,Y,
"",Telecom Italia SpA,Telephone Utilities,,1001,15000,0,Y,,
"",Technip-Coffexip,Unknown,,1001,15000,0,Y,,
D000000619,Target Corp,Retail Sales,,1001,15000,0,Y,Y,Y
D000030240,Sybase Inc,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
"",Swisscom Ag,Telecom Svcs,,1001,15000,0,Y,,
"",Storra Enso Sp,Unknown,,1001,15000,0,Y,,
"",Sotheby's Holdings,Business Services,,1001,15000,0,Y,,
"",Smith International,Oil & Gas,,1001,15000,0,Y,,
"",Shiseido Ltd,Unknown,,1001,15000,0,Y,,
"",SEI SIMT Global Managed Volatility Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Sei Pimco Commodity Real Return Strategy,Unknown,Mutual Fund,1001,15000,0,Y,,
"",SEI Permanent Portfolio,Unknown,,1001,15000,0,Y,,
"",SEI International Equity Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",SEI High Yield Bond Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",SEI Alpha-Hedged Strategies Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Sealed Air Corp,Chemicals,,1001,15000,0,Y,,
"",Schnitzer Stee Industriesl,Unknown,,1001,15000,0,Y,,
D000059567,SBA Communications,Unknown,,1001,15000,0,Y,,
"",Safeco Corp,Insurance,,1001,15000,0,Y,,
"",S Resun Powhattan XXII LP,Unknown,Government Bond,1001,15000,0,Y,,
"",S Resun Mohak XXI LP,Unknown,Government Bond,1001,15000,0,Y,,
D000042525,Royal Dutch Shell,Oil & Gas,,1001,15000,0,Y,Y,Y
"",Renaissance Re Holdings,Unknown,,1001,15000,0,Y,,
