orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Vanguard Health Care Inv Fund,Misc Health,,250001,500000,0,Y,,
D000021754,Apple Inc,Electronics Mfg/Eqp,,250001,500000,0,Y,Y,
D000021757,Berkshire Hathaway,Securities/Invest,,166004,415000,0,Y,Y,Y
"",American Funds EuroPacific Growth Fund,Unknown,Mutual Fund,150002,350000,0,Y,,
"",Vanguard Energy Fund,Misc Energy,,100001,250000,0,Y,,
"",Fidelity Select Computers Portfolio,Unknown,,100001,250000,0,Y,,
"",Fidelity Contrafund Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",DWS Global Small Cap Growth Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Baron Small Cap Retail Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",US Treasury Bond,Unknown,Government Bond,100002,200000,0,Y,,
D000067140,Otter Tail Corp,Electric Utilities,,50001,100000,0,Y,,Y
D000000103,JPMorgan Chase & Co,Commercial Banks,,50001,100000,0,Y,Y,
"",Janus Twenty Fund,Unknown,,50001,100000,0,Y,,
"",Janus Global Select Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
D000000720,IBM Corp,Electronics Mfg/Eqp,,50001,100000,0,Y,Y,Y
"",Highland Floating Rate Opportunities Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Fidelity Select Comms Equip Port Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",E*Trade Sweep Deposit account,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"",Baron Partners Retail Fund,Unknown,,50001,100000,0,Y,,
D000027521,MDU Resources Group,Electric Utilities,,16002,65000,0,Y,Y,Y
"",Whole Life Insurance Policy,Unknown,Insurance policies & Annuities,15001,50000,0,Y,,
"",Wells Fargo/Checking,Commercial Banks,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
D000000367,Wal-Mart Stores,Retail Sales,,15001,50000,0,Y,Y,Y
"",Vanguard FTSE Emerging Markets ETF,Unknown,Mutual Fund,15001,50000,0,Y,,
D000000138,Pfizer Inc,Pharm/Health Prod,,15001,50000,0,Y,Y,
D000000422,Oracle Corp,Electronics Mfg/Eqp,,15001,50000,0,Y,Y,
D000022110,Medtronic Inc,Pharm/Health Prod,,15001,50000,0,Y,Y,
D000000571,Mattel Inc,Misc Mfg/Distrib,,15001,50000,0,Y,,
"",JHancock Disciplined Value Mid Cap R2,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Janus Fund,Unknown,,15001,50000,0,Y,,
"",Janus Enterprise Fund,Unknown,,15001,50000,0,Y,,
"",iShares NYSE Composite Index,Unknown,Mutual Fund,15001,50000,0,Y,,
"",iShares MSCI Emerging Markets Index,Unknown,Mutual Fund,15001,50000,0,Y,,
D000000804,Intel Corp,Electronics Mfg/Eqp,,15001,50000,0,Y,Y,
D000022008,Google Inc,Internet,,15001,50000,0,Y,Y,
"","E*Trade New York City, NY/Savings",Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",DWS International Fund,Unknown,,15001,50000,0,Y,,
"",Co Ownership of 1/4 of land in Stutsman County NDD,Real Estate,,15001,50000,0,Y,,
D000031718,Autodesk Inc,Electronics Mfg/Eqp,,15001,50000,0,Y,Y,
"",HH Bond (US Savings),Unknown,Government Bond,3003,45000,0,Y,,
"",EE BOND / SON,Unknown,,3003,45000,0,Y,,
"",EE BOND / DAUGHTER,Unknown,,3003,45000,0,Y,,
"",JPMORGAN GEN MUNI E*TRADE Fund,Unknown,Mutual Fund,2002,30000,0,Y,,
"",Wells Fargo/Savings,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Treasury Inflation Protection Securities,Unknown,Government Bond,1001,15000,0,Y,,
D000029286,SUPERVALU Inc,Food Process/Sales,,1001,15000,0,Y,,
"",SERIES I SAVINGS BOND,Unknown,Government Bond,1001,15000,0,Y,,
D000054859,Nuance Communications,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
D000000275,Merck & Co,Pharm/Health Prod,,1001,15000,0,Y,Y,
"",Home Inns & Hotels Management Inc,Lodging/Tourism,,1001,15000,0,Y,,
D000000716,Hewlett-Packard,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
D000026387,Harley-Davidson Inc,Misc Transport,,1001,15000,0,Y,Y,
D000000133,GlaxoSmithKline,Pharm/Health Prod,,1001,15000,0,Y,Y,
D000021977,Express Scripts,Health Services,,1001,15000,0,Y,Y,
"",E*trade Joint Checking with Daughter New York City,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",E*TRADE Financial Corp,Unknown,,1001,15000,0,Y,,
"",BP PLC,Oil & Gas,,1001,15000,0,Y,,
D000000100,Boeing Co,Defense Aerospace,,1001,15000,0,Y,Y,
D000021901,Avis Budget Group,Automotive,,1001,15000,0,Y,Y,
D000024099,Applied Materials Inc,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
D000023834,Alcatel-Lucent,Telecom Svcs,,1001,15000,0,Y,Y,
"",2 Mineral Acres in Williams County,Mining,,1001,15000,0,Y,,
"",Strategic Value Annuity Provider Metlife Inc  ,Unknown,Insurance policies & Annuities,0,1000,0,Y,,
"",JP MORGAN GEN MUNI E*TRADE Fund,Unknown,Government Bond,0,1000,0,Y,,
"","E*Trade New York City, NY/Money Market Account",Unknown,Cash/Money Market/Savings/Checking,0,1000,0,Y,,
