orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",CREF Stock Fund,Securities/Invest,Mutual Fund,350002,750000,0,A,,
"",TIAA Traditional Fund,Unknown,Mutual Fund,200002,500000,0,A,,
"","Rental Cabins/Ausable Forks, NY",Real Estate,,250001,500000,0,A,,
"",Vanguard Windsor Retirement Fund,Unknown,Mutual Fund,100001,250000,0,A,,
"",Rental House/Pennington,Real Estate,,100001,250000,0,A,,
"",Froelich Land Trust,Crop Production,,100001,250000,0,A,,
"",Fidelity Contrafund,Unknown,Mutual Fund,100001,250000,0,A,,
"","Farm Share/Amity, OR",Crop Production,,100001,250000,0,A,,
"",Fidelity Asset Manager Fund,Unknown,Mutual Fund,50001,100000,0,A,,
"",Fidelity Magellan Fund,Unknown,Mutual Fund,16002,65000,0,A,,
"",Wachovia Bank/Checking,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,A,,
"",Prudential Medley,Unknown,Mutual Fund,15001,50000,0,A,,
"",Congressional FCU/Checking,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,A,,
"",Citizens Bank/Checking,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,A,,
"",Bank America/Checking,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,A,,
"",Prudential Guaranteed Interest Fund,Unknown,Mutual Fund,1,1000,0,A,,
