orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Verizon LTI Plan,Unknown,"Brokerage, IRA, 401k",750002,1500000,0,Y,,
"",American Century Short Term Govt,Unknown,Mutual Fund,500001,1000000,0,Y,,
"",TriValley Bank - CD's,Unknown,,200002,500000,0,Y,,
"","Property/Daytona Beach Shores, FL",Real Estate,,250001,500000,0,Y,,
"",Omaha Public Power District Bond,Unknown,Government Bond,200002,500000,0,Y,,
"",Property,Real Estate,,100001,250000,0,Y,,
"",NE Pub Dist Bond,Unknown,Government Bond,100001,250000,0,Y,,
"",MOJ LLC/Property 2,Real Estate,,100001,250000,0,Y,,
"",Johanns Family Trust Agreement: Property,Real Estate,,100001,250000,0,Y,,
"",US Bank Money Market,Unknown,Cash/Money Market/Savings/Checking,101003,215000,0,Y,,
"",Metropolitan Life whole life policy,Unknown,Insurance policies & Annuities,50001,100000,0,Y,,
"",Edward Jones - Bond PD 6/15/11,Unknown,Unknown,50001,100000,0,Y,,
"",Comhusker Bank IRA - CD,Unknown,Cash/Money Market/Savings/Checking,15001,51000,0,Y,,
"",Verizon Stock Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",US Small Company,Unknown,,15001,50000,0,Y,,
"",US Large Company,Unknown,,15001,50000,0,Y,,
"",US Bank - Checking,Unknown,,15001,50000,0,Y,,
"",Ohio State Dev Assistance Bond,Unknown,Government Bond,15001,50000,0,Y,,
"",NE Pub Pow Dist Bond,Unknown,Government Bond,15001,50000,0,Y,,
"",Milwaukee WI G/O Bond,Unknown,Government Bond,15001,50000,0,Y,,
"",Danville VA Taxable G/O Bond,Unknown,Government Bond,15001,50000,0,Y,,
"",Connecticut G/O Bond,Unknown,Government Bond,15001,50000,0,Y,,
"",Wachovia/Checking,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Verizon EDP Stock Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Verizon EDP Cash Moody's Cash Account,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
D000000079,Verizon Communications,Telephone Utilities,,1001,15000,0,Y,Y,Y
"",Ret Income & Invest,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Honolulu Hl City & County Bond,Unknown,Government Bond,1001,15000,0,Y,,
"",FDIC Insurance Deposits,Unknown,,1001,15000,0,Y,,
"",Edward Jones/Cash Account,Unknown,,1001,15000,0,Y,,
"",Conserv Fixed Inc,Unknown,Mutual Fund,1001,15000,0,Y,,
"","FNBO - Checking, Savings & CD's",Unknown,,0,3000,0,Y,,
"",Verizon 2020 Fund,Unknown,Mutual Fund,0,1000,0,Y,,
"",Undeveloped Lot,Real Estate,,0,1000,0,Y,,
"","Property #3, Blackberry",Unknown,,0,1000,0,Y,,
"",Hall County NE Bond,Unknown,Government Bond,0,1000,0,Y,,
"",Fundamental Investors Fund,Unknown,Mutual Fund,0,1000,0,Y,,
"",Discover Bank/CD,Unknown,Cash/Money Market/Savings/Checking,0,1000,0,Y,,
"",Citibank Bank Deposit Program,Unknown,Cash/Money Market/Savings/Checking,0,1000,0,Y,,
