orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",McKinsey & Co Profit Sharing Retirement Plan and,,"Brokerage, IRA, 401k",100001,250000,0,Y,,
"",Smith Barney Capital Income Builder Fund,,Mutual Fund,30002,100000,0,Y,,
"",WA State PERS Plan 2,,Insurance policies & Annuities,16002,65000,0,Y,,
"",Invesco Growth & Income Fund,,Mutual Fund,15001,50000,0,Y,,
"",Invesco American Value Fund,,Mutual Fund,15001,50000,0,Y,,
"",Invesco Comstock Fund,,Mutual Fund,2002,30000,0,Y,,
"",American Funds Capital Income Builder Fund,,Mutual Fund,2002,30000,0,Y,,
"",Washington Mutual Investors Fund,,Mutual Fund,1001,15000,0,Y,,
"",Victory/Munder Mid Cap Core,,Mutual Fund,1001,15000,0,Y,,
"",T Rowe Price International Discovery,,Mutual Fund,1001,15000,0,Y,,
"",T Rowe Price Institutional Large Cap Growth Fund,,Mutual Fund,1001,15000,0,Y,,
"",Small Cap World Fund,,Mutual Fund,1001,15000,0,Y,,
"",Primecap Odyssey Stock Fund,,Mutual Fund,1001,15000,0,Y,,
"",Oppenheimer International Growth,,Mutual Fund,1001,15000,0,Y,,
"",New Perspective Fund,,Mutual Fund,1001,15000,0,Y,,
"",MFS Value Fund,,Mutual Fund,1001,15000,0,Y,,
"",Kitsap Bank Checking,,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",JP Morgan Fed Money Market,,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Investment Co of America,Securities/Invest,,1001,15000,0,Y,,
"",Invesco Small Cap Value Fund,,Mutual Fund,1001,15000,0,Y,,
"",Invesco Short Term Bond Fund,,Mutual Fund,1001,15000,0,Y,,
"",Invesco Corporate Bond Fund,,Mutual Fund,1001,15000,0,Y,,
"",Growth Fund of America,,Mutual Fund,1001,15000,0,Y,,
"",Fundamental Investors Fund,,Mutual Fund,1001,15000,0,Y,,
"",EuroPacific Growth Fund,,Mutual Fund,1001,15000,0,Y,,
"",Dodge & Cox Income Fund,,Mutual Fund,1001,15000,0,Y,,
D000033211,Dodge & Cox,Securities/Invest,,1001,15000,0,Y,,
"",Delaware US Growth,,Mutual Fund,1001,15000,0,Y,,
"",Bridge Builder Smallmid Value,,Mutual Fund,1001,15000,0,Y,,
"",Bridge Builder Smallmid Growth,,Mutual Fund,1001,15000,0,Y,,
"",Bridge Builder Large Growth,,Mutual Fund,1001,15000,0,Y,,
"",Bridge Builder International Equity,,Mutual Fund,1001,15000,0,Y,,
"",Bridge Builder Bond Fund,,Mutual Fund,1001,15000,0,Y,,
"",Bank of America/Checking,Commercial Banks,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Artisan International Value Fund,,Mutual Fund,1001,15000,0,Y,,
"",American Mutual Fund,,Mutual Fund,1001,15000,0,Y,,
"",American Funds Capital World Growth & Income Fund,,Mutual Fund,1001,15000,0,Y,,
"",American Funds Bond Fund of America,,Mutual Fund,1001,15000,0,Y,,
"",Hotchkis & Wiley Mid Cap Val,,Mutual Fund,1,1000,0,Y,,
"",Edward Jones Insured Bank Money Market,,Cash/Money Market/Savings/Checking,1,1000,0,Y,,
"",AMCAP Mutual Fund,,Mutual Fund,1,1000,0,Y,,
