orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
D000021573,Wachovia Bank account,Commercial Banks,Cash/Money Market/Savings/Checking,50001,100000,0,Y,Y,
"",MetLife TCA Money Market,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"",Leuthlod Core International Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",First Eagle Global Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Corus Bank,Commercial Banks,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"",Arbitrage Funds,Unknown,Mutual Fund,30002,100000,0,Y,,
"",Vanguard 500 Index Fund,Unknown,Mutual Fund,16002,65000,0,Y,,
"",Caldwell & Orkin Market Opportunity Fund,Unknown,Mutual Fund,16002,65000,0,Y,,
"",Vanguard Mid Cap Stock Index,Unknown,Mutual Fund,15001,50000,0,Y,,
"",PIMCO All Asset Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
D000000172,MetLife Inc,Insurance,,15001,50000,0,Y,Y,
"",Mercer Fund SBI,Unknown,Mutual Fund,15001,50000,0,Y,,
D000027415,Marsh & McLennan,Insurance,,15001,50000,0,Y,Y,
"",Hussman Intl TR Strategic Growth Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Fidelity Puritan Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Eaton Vance Institutional,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Conventry,Unknown,,15001,50000,0,Y,,
"",401K TRP Midcap,Unknown,"Brokerage, IRA, 401k",15001,50000,0,Y,,
"",401K March & McLennan Stock Fund,Unknown,"Brokerage, IRA, 401k",15001,50000,0,Y,,
"",Eaton Vance Sr Floating Rate,Unknown,Mutual Fund,2002,30000,0,Y,,
"",Waterhouse Bank Money Market,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Vanguard Growth & Income Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Templeton Foreign Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",TD Ameritrade Money Market,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Retirement TIAA Traditional,Unknown,"Brokerage, IRA, 401k",1001,15000,0,Y,,
"",Retirement Crff Growth,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Retirement CRFF Equity Index,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Retirement CRFF Bond Market,Unknown,Government Bond,1001,15000,0,Y,,
"",Retirement CREF Stock,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Putnam S&P 500 Index Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",PIMCO Total Return Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Netuberger Genesis Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Metropolitan West Strategic Income,Unknown,Mutual Fund,1001,15000,0,Y,,
"",First National Bank of LaGrange,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Fidelity Contrafund,Unknown,Mutual Fund,1001,15000,0,Y,,
D000021645,Coventry Health Care,Health Services,,1001,15000,0,Y,Y,
"",American Funds Growth Fund of America,Misc Finance,Mutual Fund,1001,15000,0,Y,,
"",401K VanGuard Prime Cap,Unknown,"Brokerage, IRA, 401k",1001,15000,0,Y,,
"",401K Summit Cash Reserve,Unknown,"Brokerage, IRA, 401k",1001,15000,0,Y,,
"",401K Fidelity Low Price Stock Fund,Unknown,"Brokerage, IRA, 401k",1001,15000,0,Y,,
"",401K Equity Index Trust,Unknown,"Brokerage, IRA, 401k",1001,15000,0,Y,,
