orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Residential Real Estate-3851 Boardwalk,,,100001,250000,0,Y,,
"",Residential Real Estate-3100 Elm Rock Place,,,100001,250000,0,Y,,
"",Residential Real Estate-2851 E Armour Lane,,,100001,250000,0,Y,,
"",Ocean City Home Bank,,Cash/Money Market/Savings/Checking,17003,80000,0,Y,,
"",Prudential Short Term Corporate Bond Fund,,Mutual Fund,16002,65000,0,Y,,
"",JP Morgan Tr I Strategic Income Oppty,,Mutual Fund,16002,65000,0,Y,,
"",First Eagle Funds Income Global Fund,,Mutual Fund,16002,65000,0,Y,,
"",TD Bank (Checking #4009),,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Wells Fargo Money Market,,Cash/Money Market/Savings/Checking,2002,30000,0,Y,,
D000029889,WEC Energy Group,Electric Utilities,,2002,30000,0,Y,Y,
"",Templeton Income Tr Global Bond Fund,,Mutual Fund,2002,30000,0,Y,,
D000000619,Target Corp,Retail Sales,,2002,30000,0,Y,Y,
D000030251,Sysco Corp,Food Process/Sales,,2002,30000,0,Y,Y,
D000000168,Southern Co,Electric Utilities,,2002,30000,0,Y,Y,
D000028916,SCANA Corp,Electric Utilities,,2002,30000,0,Y,Y,
"",Pimco Unconstrained Bond Fund,,Mutual Fund,2002,30000,0,Y,,
"",Phillips 66 (PSX),,"Brokerage, IRA, 401k",2002,30000,0,Y,,
D000000200,Pepsico Inc,Food & Beverage,,2002,30000,0,Y,Y,
D000069826,Paychex Inc,Business Services,,2002,30000,0,Y,,
D000022163,Novartis AG,Pharm/Health Prod,,2002,30000,0,Y,Y,
D000000321,NextEra Energy,Electric Utilities,,2002,30000,0,Y,Y,
D000000115,Microsoft Corp,Electronics Mfg/Eqp,,2002,30000,0,Y,Y,
D000022110,Medtronic Inc,Pharm/Health Prod,,2002,30000,0,Y,Y,
D000000373,McDonald's Corp,Food & Beverage,,2002,30000,0,Y,Y,
"",Lowe's Cos,Unknown,,2002,30000,0,Y,,
D000026978,Kellogg Co,Food Process/Sales,,2002,30000,0,Y,Y,
D000034869,JM Smucker Co,Food Process/Sales,,2002,30000,0,Y,Y,
D000022038,Illinois Tool Works,Misc Mfg/Distrib,,2002,30000,0,Y,Y,
D000000395,Harris Corp,Defense Electronics,,2002,30000,0,Y,Y,Y
D000000467,General Mills,Food Process/Sales,,2002,30000,0,Y,Y,Y
D000000165,General Dynamics,Defense Electronics,,2002,30000,0,Y,Y,Y
D000028032,Eversource Energy,Electric Utilities,,2002,30000,0,Y,Y,
D000024879,Clorox Co,Chemicals,,2002,30000,0,Y,,
"",Chubb Ltd,Unknown,,2002,30000,0,Y,,
D000024300,"Becton, Dickinson & Co",Pharm/Health Prod,,2002,30000,0,Y,Y,
D000031719,Automatic Data Processing Inc,Business Services,,2002,30000,0,Y,Y,
D000000076,AT&T Inc,Telephone Utilities,,2002,30000,0,Y,Y,Y
D000060098,Analog Devices Inc,Electronics Mfg/Eqp,,2002,30000,0,Y,,
D000021809,Air Products & Chemicals Inc,Chemicals,,2002,30000,0,Y,Y,
D000000383,Abbott Laboratories,Pharm/Health Prod,,2002,30000,0,Y,Y,
D000021800,3M Co,Misc Mfg/Distrib,,2002,30000,0,Y,Y,
D000031166,WW Grainger Inc,Retail Sales,,1001,15000,0,Y,,
"",Wells Fargo (Checking #7686),,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
D000000367,Wal-Mart Stores,Retail Sales,,1001,15000,0,Y,Y,
D000030824,VF Corp,Misc Mfg/Distrib,,1001,15000,0,Y,Y,
D000000209,United Technologies,Defense Aerospace,,1001,15000,0,Y,Y,Y
"",Silver State Schools FCU (Savings #01),,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Silver State Schools FCU (Checking #82),,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
D000000794,Qualcomm Inc,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
D000000485,Procter & Gamble,Misc Mfg/Distrib,,1001,15000,0,Y,Y,
D000028430,Praxair Inc,Chemicals,,1001,15000,0,Y,Y,
D000028403,Polaris Industries,Misc Transport,,1001,15000,0,Y,Y,
D000019639,Norfolk Southern,Railroads,,1001,15000,0,Y,Y,
D000036243,Nordstrom Inc,Retail Sales,,1001,15000,0,Y,,
D000000172,MetLife Inc,Insurance,"Brokerage, IRA, 401k",1001,15000,0,Y,Y,
D000000386,Johnson & Johnson,Pharm/Health Prod,,1001,15000,0,Y,Y,
D000000720,IBM Corp,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
"",Factset Research Systems,Unknown,,1001,15000,0,Y,,
"",Factset Research Systems,,"Brokerage, IRA, 401k",1001,15000,0,Y,,
D000000129,Exxon Mobil,Oil & Gas,,1001,15000,0,Y,Y,
"",Emerson Electric Co,,"Brokerage, IRA, 401k",1001,15000,0,Y,,
D000050371,Eaton Vance Corp,Securities/Invest,,1001,15000,0,Y,,
D000000303,ConocoPhillips,Oil & Gas,,1001,15000,0,Y,Y,
"",Congressional Federal Credit Union,Credit Unions,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
D000032736,Colgate-Palmolive Co,Pharm/Health Prod,,1001,15000,0,Y,Y,
D000000015,Chevron Corp,Oil & Gas,,1001,15000,0,Y,Y,
D000000391,Amgen Inc,Pharm/Health Prod,,1001,15000,0,Y,Y,
D000000126,AFLAC Inc,Insurance,,1001,15000,0,Y,Y,
