orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Old House Pasture Inc,Livestock,,1000001,5000000,0,Y,,
"",Lummis Livestock,Livestock,,1000001,5000000,0,Y,,
"",Equipoise Corp,Construction Svcs,,1000001,5000000,0,Y,,
"",Arp & Hammond Hardware Co,Retail Sales,,1000001,5000000,0,Y,,
"",Laramie River Ranch,Livestock,,500001,1000000,0,Y,,
"",Warehouse,Misc Business,,250001,500000,0,Y,,
"",First National Bank of Wyoming Bankshare,Commercial Banks,,250001,500000,0,Y,,
"",Comm Building,Real Estate,,250001,500000,0,Y,,
"",Colony Building,Real Estate,,250001,500000,0,Y,,
"",Carey Block,Real Estate,,250001,500000,0,Y,,
"",Wyoming Deferred Comp Account,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"",Snowy Range Partners,Recreation,,30002,100000,0,Y,,
D000064241,Vodafone Group,Telecom Svcs,,1001,15000,0,Y,,
"",Thrivent IRA Large cap growth fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Wyoming Communication Alliance,Unknown,,1,1000,0,Y,,
"",WRW LLC,Unknown,,1,1000,0,Y,,
D000029582,United Rentals,Misc Services,,1,1000,0,Y,Y,
D000000115,Microsoft Corp,Electronics Mfg/Eqp,,1,1000,0,Y,Y,
"",Globalscope Communications,Telecom Svcs,,1,1000,0,Y,,
"",Fidelity Magellan Fund,Unknown,Mutual Fund,1,1000,0,Y,,
"",Dynamic Materials,Misc Mfg/Distrib,,1,1000,0,Y,,
"",Building Emerging Markets ETF,Unknown,Mutual Fund,1,1000,0,Y,,
