orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"","Unimproved 405 acr Highway 89/Milton, CA",Real Estate,,500001,1000000,0,Y,,
"",Kline-Parker Road/Milton,Real Estate,Unknown,30002,100000,0,Y,,
"",Vanguard Specialized Health,Misc Health,,15001,50000,0,Y,,
"",Vance-Malone Rd/Milton,Real Estate,,15001,50000,0,Y,,
"",Semon-Parker Rd/Milton,Real Estate,,15001,50000,0,Y,,
"",Reichart-Malone Road/Milton,Real Estate,,15001,50000,0,Y,,
"","Garrison-Parker Rd/Milton, FL",Real Estate,Unknown,15001,50000,0,Y,,
"",FRS Select US Stock Market Index,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Fidelity Contrafund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Fain-Malone Road/Milton,Real Estate,Unknown,15001,50000,0,Y,,
"",Brunner-Malone Road/Milton,Real Estate,,15001,50000,0,Y,,
"",9.4 acres/6628 Roeville Road/Milton,Real Estate,,15001,50000,0,Y,,
"",9.4 acres/6628 Roeville Road,Real Estate,,15001,50000,0,Y,,
"",6 Acres-Mark Wolverton/Milton,Real Estate,,15001,50000,0,Y,,
"",4 unimproved acres Parker Rd/Milton,Real Estate,,15001,50000,0,Y,,
"","2.6 acres/Parker Road/Milton, CA",Real Estate,,15001,50000,0,Y,,
"",2.5 acres unimproved/Highway 182,Real Estate,,15001,50000,0,Y,,
"",Vanguard US Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Vanguard Total Stock Market Index Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Vanguard Health Care Fund,Hospitals/Nurs Homes,,1001,15000,0,Y,,
"",Regions Bank/Checking,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"","Lot 1 acre/Malone Rd, Milton",Real Estate,,1001,15000,0,Y,,
"",Janus Worldwide Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Janus Mercury Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Invesco Dynamics Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Franklin Small Mid Cap Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Dreyfus Emerging Leaders Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",CH Energy Group,Electric Utilities,,1001,15000,0,Y,,
"",Bank of Pensacola/Checking,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Alger Small Cap Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Alger Capital Appreciation,Unknown,Mutual Fund,1001,15000,0,Y,,
"",2.5 acres unimproved/Highway 191,Real Estate,,1001,15000,0,Y,,
