orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Savings Account,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,C,,
"",Scottrade Acct/cash,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,C,,
"",Proshares XIN CH 25,Unknown,Mutual Fund,1001,15000,0,C,,
"",Principal Real Estate Inv US Property,Real Estate,,1001,15000,0,A,,
"",Principal Life Time 2050,Unknown,"Brokerage, IRA, 401k",1001,15000,0,A,,
"",Principal Life Time 2040,Unknown,"Brokerage, IRA, 401k",1001,15000,0,A,,
"",Principal Global Investors Small Cap,Unknown,Mutual Fund,1001,15000,0,A,,
"",Principal Global Investors Mid Cap Blend,Unknown,Mutual Fund,1001,15000,0,A,,
"",Principal Global Investors Large Cap S&P,Unknown,Mutual Fund,1001,15000,0,A,,
"",Principal Global Investors Large Cap Gro,Unknown,Mutual Fund,1001,15000,0,A,,
"",Principal Global Investors Intl Emerging,Unknown,Mutual Fund,1001,15000,0,A,,
"",Principal Global Investors International,Unknown,Mutual Fund,1001,15000,0,A,,
"",Principal Global Investors Diversified I,Unknown,Mutual Fund,1001,15000,0,A,,
"",Principal Global Investors Bond & Mtg,Unknown,Mutual Fund,1001,15000,0,A,,
"",Franklin Utilities Fund,Electric Utilities,Mutual Fund,1001,15000,0,C,,
"",Franklin Dynatech Fund,Misc Finance,Mutual Fund,1001,15000,0,C,,
"",Edge Asset Management Government & HQ,Unknown,Mutual Fund,1001,15000,0,A,,
"",Columbus Circle Investors Large Cap Grow,Unknown,Mutual Fund,1001,15000,0,A,,
"",Checking Account,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,C,,
D000021754,Apple Inc,Electronics Mfg/Eqp,,1001,15000,0,C,Y,Y
"",American Funds American Balanced Fund,Unknown,Mutual Fund,1001,15000,0,C,,
"",American Funds Amcap Fund,Unknown,Mutual Fund,1001,15000,0,C,,
"",Powershares Tr Wilder,Unknown,Mutual Fund,1,1000,0,C,,
"",Merrill Lynch Acct/cash,Unknown,Cash/Money Market/Savings/Checking,1,1000,0,C,,
