orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Peppertree Square Ltd,,,2000002,10000000,0,Y,,
"",Note Receivable - Amy Sanders O'Rourke 2014 Invest,,Note/Note Receivable,1000001,5000000,0,Y,,
"",Imperial Arms LLC,Real Estate,,1000001,5000000,0,Y,,
"",Stanton Street Technology Group,Unknown,,250001,500000,0,Y,,
"",Goldman Sachs Financial Square Treas Instrs Fund,,Mutual Fund,100001,250000,0,Y,,
"",Joint Morgan Stanley Savings Account,,"Brokerage, IRA, 401k",50001,100000,0,Y,,
"",Amy- checking- Capital Bank,,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"",Fidelity Advanced Freedom 2040,,Mutual Fund,16002,65000,0,Y,,
"",Virtus Multi Sect SHT TRM Bond,,Mutual Fund,15001,50000,0,Y,,
"",Thornburg International Value Fund,,Mutual Fund,1001,15000,0,Y,,
"",Prudential GLB Real Estate,,Mutual Fund,1001,15000,0,Y,,
"",Metropolitan West Total Return Bond Fund,,Mutual Fund,1001,15000,0,Y,,
"",JPMorgan Rsrch Market Neutra Sel,,Mutual Fund,1001,15000,0,Y,,
"",JP Morgan Mid Cap Value S,,Mutual Fund,1001,15000,0,Y,,
"",Invesco Premier Institutional,,Mutual Fund,1001,15000,0,Y,,
"",Invesco International Growth,,Mutual Fund,1001,15000,0,Y,,
"",Invesco Developing Markets Fund,,Mutual Fund,1001,15000,0,Y,,
"",Fidelity Advanced Freedom 2045 Fund,,Mutual Fund,1001,15000,0,Y,,
"",Federated Ultrashort Bond SS,,Mutual Fund,1001,15000,0,Y,,
"",EV INCOME FUND OF BOSTON I,,Mutual Fund,1001,15000,0,Y,,
"",Deutsche Small Cap Value Fund,,Mutual Fund,1001,15000,0,Y,,
"",Delaware Small Cap Value Fund,,Mutual Fund,1001,15000,0,Y,,
"",Blackrock US Opportunities INS,,Mutual Fund,1001,15000,0,Y,,
"",BlackRock Equity Dividend Inv Fund,,Mutual Fund,1001,15000,0,Y,,
"",Beto- checking- Wells Fargo,,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",American Funds Growth Fund,,Mutual Fund,1001,15000,0,Y,,
"",Prudential SH-TM Corp Bond Z,,Mutual Fund,1,1000,0,Y,,
