orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Western National Life Insurance,Insurance,,500001,1000000,0,Y,,
"",Transamerica Annuity,Unknown,Insurance policies & Annuities,216004,565000,0,Y,,
D000022266,State of New Jersey,Civil Servants,Unknown,250001,500000,0,Y,Y,
"",Shore Pirates LLC,Unknown,,250001,500000,0,Y,,
"",AIG Retirement IRA Fixed Income Account,Unknown,Mutual Fund,150002,350000,0,Y,,
"",Fidelity Magellan Fund,Unknown,Mutual Fund,101002,265000,0,Y,,
"",TD Bank North/CD,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",Prudential Financial Annuity,Insurance,Insurance policies & Annuities,100001,250000,0,Y,,
D000026714,Jackson National Life Insurance,Insurance,,100001,250000,0,Y,,
"",Freedom Bank Money Market,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",US Savings Bond,Unknown,Government Bond,50001,100000,0,Y,,
"",Freedom Bank,Commercial Banks,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"",TD Banknorth IRA/CD,Unknown,"Brokerage, IRA, 401k",4004,60000,0,Y,,
"",New Jersey Building Authority Bond,Unknown,Government Bond,15001,50000,0,Y,,
"",Marlboro NJ Mua,Unknown,Government Bond,15001,50000,0,Y,,
"",Evergreen Large Cap Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Freedom Bank IRA,Unknown,"Brokerage, IRA, 401k",2002,30000,0,Y,,
"",Wachovia IRA,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Tortoise Energy,Unknown,,1001,15000,0,Y,,
"",PIMCO Muni Income Fund,Unknown,Government Bond,1001,15000,0,Y,,
"",Nuveen New Jersey Dividend Advantage Mun,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Merrill Lynch ML Bank,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Merrill Lynch Blackrock Fundamental Grwt,Unknown,Mutual Fund,1001,15000,0,Y,,
D000066710,Frontier Communications,Telephone Utilities,,1001,15000,0,Y,Y,
"",Advantage Funds Evergreen Municipal Mone,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Wells Fargo Cash,Unknown,Cash/Money Market/Savings/Checking,1,1000,0,Y,,
"",Stifel Nicolaus/Cash,Unknown,Cash/Money Market/Savings/Checking,1,1000,0,Y,,
"",Sprint Nextel,Telecom Svcs,,1,1000,0,Y,,
"",Republic Bancorp,Commercial Banks,,1,1000,0,Y,,
"",Putnam NJ Tax Exempt,Unknown,Government Bond,1,1000,0,Y,,
"",Centurytel Inc,Telephone Utilities,,1,1000,0,Y,,
"",Ameriprise Money Market,Unknown,Cash/Money Market/Savings/Checking,1,1000,0,Y,,
