orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Residential rental property,Real Estate,,200002,500000,0,Y,,
"",Pennsylvania State Employees CU,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",Hydrotech Mechanical Services,Unknown,,100001,250000,0,Y,,
"",Fidelity Freedom 2015 Golden Living 901K Saving Pl,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Members First Credit Union,Credit Unions,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"",American Balanced Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Vanguard-Total Stock Market Tx Inv,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Vanguard-Life Strategy Moderate growth,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Vanguard 500 Index Signal,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Vanguard - US Growth Fuel Investor,Unknown,Mutual Fund,1001,15000,0,Y,,
"",State Farm Bank/CDs,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Pennsylvania 529 Plus Guaranted Savings Plan Ryenn,Unknown,"Brokerage, IRA, 401k",1001,15000,0,Y,,
"",Pennsylvania 529 Guaranted Savings Plan - Dakota P,Unknown,"Brokerage, IRA, 401k",1001,15000,0,Y,,
"",Northwestern Mutual 65 Whole Life,Unknown,Insurance policies & Annuities,1001,15000,0,Y,,
"",Bond Fund of America,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Ameriprise Money Market,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",American Funds-Capital Income Builder,Unknown,Mutual Fund,1001,15000,0,Y,,
"",American Funds Small Cap World Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",American Funds Capital World G/I Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
