orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"","Condo/Frisco, CO",Real Estate,,250001,500000,0,Y,,
"",iShares S&P 100 Index,Unknown,Mutual Fund,275183,275183,0,O,,
"",Vanguard Dividend Appreciation Fund,Unknown,Mutual Fund,199409,199409,0,O,,
"",First Eagle Overseas Fund,Unknown,Mutual Fund,119005,119005,0,O,,
"",Spartan 600 Index,Unknown,Mutual Fund,107088,107088,0,O,,
"",Fidelity New Insights,Unknown,Mutual Fund,101532,101532,0,O,,
"",Fidelity Intl Discovery,Unknown,Mutual Fund,80242,80242,0,O,,
"",Oppenheimer International Growth Fund,Unknown,Mutual Fund,79982,79982,0,O,,
"",MFS International Value Fund,Unknown,Mutual Fund,76228,76228,0,O,,
"",DJIA MITTS Issuer BAC,Securities/Invest,Mutual Fund,71900,71900,0,O,,
"",Mainstay Map,Unknown,Mutual Fund,63900,63900,0,O,,
"",Skybridge Multi-Adviser Hedge Fund Portfolios,Unknown,Mutual Fund,62777,62777,0,O,,
"",Royce Pennsylvania Mutual Fund,Unknown,Mutual Fund,59124,59124,0,O,,
"",Peoples Community Bank,Commercial Banks,,15001,50000,0,Y,,
"",Merril Lynch Beyond Banking,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Bank of Tennessee,Commercial Banks,,15001,50000,0,Y,,
"",iShares Core S&P Small Cap ETF,Unknown,Mutual Fund,49811,49811,0,O,,
"",Fidelity Gov Income,Unknown,Mutual Fund,47442,47442,0,O,,
"",Geb Clirn Issuer HSBC,Unknown,Mutual Fund,46200,46200,0,O,,
"",Sector SPDR Financial Fund,Unknown,,46047,46047,0,O,,
"",MSCI EM Stepup Issuer,Unknown,Mutual Fund,44650,44650,0,O,,
"",PMF TEI Fund,Unknown,,43284,43284,0,O,,
"",iShares Short Treasury Bond ETF,Unknown,Mutual Fund,41563,41563,0,O,,
"",Powershares Build America Bond ETF,Unknown,Mutual Fund,41458,41458,0,O,,
"",Templeton Global Bond Fund,Unknown,Mutual Fund,39600,39600,0,O,,
"",James Small Cap Fund,Unknown,Mutual Fund,38530,38530,0,O,,
"",Oppenheimer International Bond Fund,Unknown,Mutual Fund,37758,37758,0,O,,
"",Fidelity Ret Govt MM,Unknown,Mutual Fund,36336,36336,0,O,,
"",Oppenheimer Developing Markets Fund,Unknown,Mutual Fund,33305,33305,0,O,,
"",Vanguard Information Technology Fund,Unknown,,32179,32179,0,O,,
"",Scout Mid Cap Fund,Unknown,Mutual Fund,31744,31744,0,O,,
"",Vanguard Industrial ETF,Unknown,Mutual Fund,29267,29267,0,O,,
"",Guggenheim Bulletshares 2015 High Yield Corp Bond,Unknown,Mutual Fund,28146,28146,0,O,,
"",TCW Total Return Bond Fund,Unknown,Mutual Fund,28032,28032,0,O,,
D000000103,JPMorgan Chase & Co,Commercial Banks,,27617,27617,0,O,Y,
"",Schroder Emerging Market Equity Fund,Unknown,Mutual Fund,27559,27559,0,O,,
D000000485,Procter & Gamble,Misc Mfg/Distrib,,26011,26011,0,O,Y,
"",Healthcare Select SPDR,Unknown,,24478,24478,0,O,,
"",Wells Fargo Adv Enterprise Fund,Unknown,Mutual Fund,22020,22020,0,O,,
"",Putnam Diversified Income Trust Fund,Unknown,Mutual Fund,21880,21880,0,O,,
"",Guggenheim Bulletshares 2017 Corp Bond ETF,Unknown,Mutual Fund,21006,21006,0,O,,
"",Consumer Discretionary SPDR,Unknown,Mutual Fund,20418,20418,0,O,,
"",Guggenheim Bulletshares 2016 Corp Bond ETF,Unknown,Mutual Fund,20220,20220,0,O,,
"",Western Asset Invesmtent Grade,Unknown,Mutual Fund,19950,19950,0,O,,
"",Riversource Floating Rate Fund,Unknown,Mutual Fund,19856,19856,0,O,,
"",Federal Express Corp,Unknown,,19448,19448,0,O,,
"",Riversource Low Duration Bond Fund,Unknown,Mutual Fund,19347,19347,0,O,,
"",Ridgeworth Seix Floating Rate Hi Income Fund,Unknown,Mutual Fund,19101,19101,0,O,,
D000000703,Costco Wholesale,Retail Sales,,18993,18993,0,O,,
"",Principal Preferred Securities Fund,Unknown,Mutual Fund,18918,18918,0,O,,
"",Actavis Inc,Pharm/Health Prod,,18790,18790,0,O,,
D000031323,Adobe Systems,Electronics Mfg/Eqp,,18101,18101,0,O,Y,
D000060210,Avago Technologies,Electronics Mfg/Eqp,,18005,18005,0,O,,
"",Calamos High Income Fund,Unknown,Mutual Fund,17704,17704,0,O,,
D000033033,Danaher Corp,Misc Mfg/Distrib,,17569,17569,0,O,Y,
"",Pimco Total Return Fund,Unknown,Mutual Fund,17343,17343,0,O,,
D000023662,Thermo Fisher Scientific,Misc Mfg/Distrib,,16663,16663,0,O,Y,
D000026221,Gilead Sciences,Pharm/Health Prod,,16589,16589,0,O,Y,
D000021808,Affiliated Managers Group,Securities/Invest,,16553,16553,0,O,Y,
D000022855,Zoetis Inc,Agricultural Svcs,,16265,16265,0,O,Y,
