orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Rental Townhouse,Real Estate,,100001,250000,0,Y,,
"",Rental House,Real Estate,,100001,250000,0,Y,,
"",Rental Condo,Real Estate,,100001,250000,0,Y,,
"",PIMCO Total Return Fund,Unknown,Mutual Fund,16002,65000,0,Y,,
"",Fifth Third Bank/Savings,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Cash Account,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Cambiar Small Cap Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",First Eagle Global Fund,Unknown,Mutual Fund,2002,30000,0,Y,,
"",Yacktman Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Virtus Real Estate Securities Fund,Securities/Invest,,1001,15000,0,Y,,
"",Virtus Multi-Sector Short Term Bond Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Vanguard Total Stock Market Index,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Vanguard MSCI Emerging Markets ETF,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Vanguard Bond Index Fund Intermediate Te,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Vanguard Bond Index,Unknown,Mutual Fund,1001,15000,0,Y,,
"",State of Indiana 457 Plan Indiana Stable,Unknown,,1001,15000,0,Y,,
"",State of Indiana 457 Plan Indiana Fund 2,Unknown,,1001,15000,0,Y,,
"",State of Indiana 401(a) Plan Indiana Sta,Unknown,,1001,15000,0,Y,,
"",State of Indiana 401(a) Plan Indiana Fun,Unknown,,1001,15000,0,Y,,
"",SPDR S&P 500 EFT Trust,Unknown,,1001,15000,0,Y,,
"",Spdr MSCI ACWI Ex-US,Unknown,,1001,15000,0,Y,,
"",River Park/Wedgewood Retail Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Prudential Jennision Mid-Cap Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Permanent Portfolio Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Oppenheimer International Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Oppenheimer International Bond Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Nuveen Tradewinds Value Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Nuveen NWQ Large Cap Value,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Manning & Napier Fund Inc World Opport,Unknown,,1001,15000,0,Y,,
"",Mainstay Large Cap Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Mainstay ICAP International Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Loomis Sayles Investment Grade Bond Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Liquid Assets Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",JPMorgan Core Bond Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",John Hancock Disciplined Value Mid Cap F,Unknown,,1001,15000,0,Y,,
"",Janus Perkins Mid Cap Value Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Ivy Asset Strategy Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",iShares Russell Top 200 Value Index,Unknown,,1001,15000,0,Y,,
"",iShares Russell Top 200 Growth Index,Unknown,,1001,15000,0,Y,,
"",iShares MSCI Japan Index,Unknown,,1001,15000,0,Y,,
"",Ishares Barclays Intermediate CR BD Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Inflation Protected Portfolio,Unknown,,1001,15000,0,Y,,
"",Franklin Templeton Global Bond Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",FMI Large Cap Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
D000022674,Fifth Third Bank,Commercial Banks,,1001,15000,0,Y,,
"",Dreyfus Small Company Value Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Davis New York Venture Fund,Securities/Invest,,1001,15000,0,Y,,
"",Calamos International Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Baron Small Cap Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
D000021754,Apple Inc,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
"",Angie's List Inc,Unknown,,1001,15000,0,Y,,
