orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Pappas Education Trust Schwab Treasury,Unknown,Mutual Fund,500001,1000000,0,Y,,
"",Vanguard Traditional IRA Tgt Rtmt 2030,Unknown,Mutual Fund,50001,100000,0,Y,,
"",American Funds Washington Mutual Investors Fund,Unknown,,50001,100000,0,Y,,
"",Maryland College Investment Plan,Unknown,"Brokerage, IRA, 401k",15001,50000,0,Y,,
"",Capital One Bank accounts,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",American Capital World Growth & Income Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Wells Fargo Traditional IRA Retirement S,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Wells Fargo Bank Account,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Nationwide Retirement Van Kamp Growth & Inc Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Citibank Account,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
