orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Shuster Family LP I,Unknown,,50001,100000,0,Y,,
"",Genesis Drilling Program IV LP,Unknown,,50001,100000,0,Y,,
"",Shuster Family LP II,Unknown,,15001,50000,0,Y,,
"","Phillips, Edison & Co",Unknown,,15001,50000,0,Y,,
"",M&T Bank #2383,,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Congressional FCU 180,,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Cion Investment Corp,,,15001,50000,0,Y,,
"",Brokerage Money Market,,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Total Income & Real Estate,,Mutual Fund,1001,15000,0,Y,,
"",Shuster Family LP III,Unknown,,1001,15000,0,Y,,
"",Sharespost,Unknown,,1001,15000,0,Y,,
"",SEI Small Cap Value Fund,,Mutual Fund,1001,15000,0,Y,,
"",SEI Small Cap Growth Fund,,Mutual Fund,1001,15000,0,Y,,
"",SEI Large Cap Value Fund,,Mutual Fund,1001,15000,0,Y,,
"",SEI Large Cap Growth Fund,,Mutual Fund,1001,15000,0,Y,,
"",SEI International Fixed Fund,,Mutual Fund,1001,15000,0,Y,,
"",SEI International Equity Fund,,Mutual Fund,1001,15000,0,Y,,
"",SEI Emerging Markets Equity,,Mutual Fund,1001,15000,0,Y,,
"",SEI Core Fixed Income Fund,,Mutual Fund,1001,15000,0,Y,,
"",Prudential Global,Unknown,,1001,15000,0,Y,,
"",Powershares,,"Brokerage, IRA, 401k",1001,15000,0,Y,,
D000042066,PIMCO,Securities/Invest,,1001,15000,0,Y,,
"",M&T Bank 361,,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",M&T Bank 037,,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Lord Abbett Short Duration Fund,,Mutual Fund,1001,15000,0,Y,,
"",Lord Abbett Floating Rate Fund,,Mutual Fund,1001,15000,0,Y,,
"",Ivy Asset Strategy Fund,,Mutual Fund,1001,15000,0,Y,,
"",Income Fund of America Fund,,Mutual Fund,1001,15000,0,Y,,
"",First Eagle Global Fund,,Mutual Fund,1001,15000,0,Y,,
"",Congressional Federal Credit Union,Credit Unions,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Capital Income,,Mutual Fund,1001,15000,0,Y,,
"",Blairmont Club LLC,Misc Services,,1001,15000,0,Y,,
"",Blackrock Global Fund,,Mutual Fund,1001,15000,0,Y,,
"",5S LLC,Unknown,,1001,15000,0,Y,,
"",M&T Bank #9749,,Cash/Money Market/Savings/Checking,1,1000,0,Y,,
"",Congressional FCU #0550,,Cash/Money Market/Savings/Checking,1,1000,0,Y,,
