orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",UBS Bank,Securities/Invest,Cash/Money Market/Savings/Checking,250001,500000,0,Y,,
"",Orthopedic Consultants of Cincinnati,Health Professionals,,250001,500000,0,Y,,
"",Proscan Imaging LLC,Health Services,,100002,251000,0,Y,,
"",UBS Bank/Cash,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",PNC Bank Account,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",First Eagle Overseas Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Pimco All Asset All Authority Fund,Unknown,Mutual Fund,100002,200000,0,Y,,
"",WF EVG Emerging Markets Equity Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",SPDR S&P 500 ETF Trust,Unknown,Mutual Fund,50001,100000,0,Y,,
"",JPMorgan Chase Bank ML CD Efficient,Unknown,,50001,100000,0,Y,,
"",iShares Russell 1000 Growth Index,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Gateway Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Fifth Third Bank accounts,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"",SPDR S&P Dividend ETF,Unknown,Mutual Fund,15001,50000,0,Y,,
D000000485,Procter & Gamble,Misc Mfg/Distrib,,15001,50000,0,Y,Y,Y
"",Pioneer Oak Ridge Small Cap Growth Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Eaton Vance Global Macro Return Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Credit Suisse Commodity Return Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Cambiar Opportunity Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Virtus Multi Sector Short Term Bond Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",UBS Bank Deposit Account,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Thornburg Limited Term Income Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Technology Select Sector SPDR Fund,Electronics Mfg/Eqp,Mutual Fund,1001,15000,0,Y,,
"",SPDR S&P Mid Cap 400 ETF,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Schwab Govt Money Market Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Royce Value Trust,Unknown,,1001,15000,0,Y,,
"",Royce Total Return Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",PIMCO Total Return Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",OCOC Butler County LLC,Real Estate,,1001,15000,0,Y,,
"",Nuveen Ohio Municipal Bond Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Lenox Wealth Management,Unknown,Mutual Fund,1001,15000,0,Y,,
"",JPMorgan Strategic Income Opport Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",iShares S&P 100 ETF,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Franklin Strategic Income Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Eaton Vance Tax Managed Diversified Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
D000000212,Coca-Cola Co,Food & Beverage,,1001,15000,0,Y,Y,
"",Calamos Convertible & Hi Income Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",BB&T Capital Trust VII,Unknown,Government Bond,1001,15000,0,Y,,
D000000067,Altria Group,Tobacco,,1001,15000,0,Y,Y,
"",Altegris Managed Futures Strategy Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
