orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Wild River Land Management,Unknown,,250001,500000,0,Y,,
"",Medical Park Building,,,100001,250000,0,Y,,
"",FNB Bankshares,Commercial Banks,,100001,250000,0,Y,,
"",Fidelity Advisor New Insights Fund,,Mutual Fund,100002,200000,0,Y,,
"",Putnam Capital Spectrum Fund,,Mutual Fund,65002,150000,0,Y,,
"",SPDR Gold Trust,,Mutual Fund,51002,115000,0,Y,,
D000042332,Nestle SA,Food & Beverage,,50001,100000,0,Y,Y,
"",First Trust Sabrient Bakers Dzn 2015 Mo Ca,,Mutual Fund,50001,100000,0,Y,,
"",Benishek For Congress Inc,,Note/Note Receivable,50001,100000,0,Y,,
D000019743,Wells Fargo,Commercial Banks,,16003,66000,0,Y,Y,
D000063839,United Bankshares,Commercial Banks,,16002,65000,0,Y,,
"",Realty Income Corp,Real Estate,,16002,65000,0,Y,,
D000000485,Procter & Gamble,Misc Mfg/Distrib,,16002,65000,0,Y,Y,
D000069826,Paychex Inc,Business Services,,16002,65000,0,Y,,
"",National Grid Transco Plc,Electric Utilities,,16002,65000,0,Y,,
D000000275,Merck & Co,Pharm/Health Prod,,16002,65000,0,Y,Y,
"",Maxim Integrated Products,Electronics Mfg/Eqp,,16002,65000,0,Y,,
D000035098,Kimberly-Clark Corp,Misc Mfg/Distrib,,16002,65000,0,Y,Y,
D000000386,Johnson & Johnson,Pharm/Health Prod,,16002,65000,0,Y,Y,
D000000125,General Electric,Misc Mfg/Distrib,,16002,65000,0,Y,Y,
D000000335,Dominion Resources,Electric Utilities,,16002,65000,0,Y,Y,
"",BCE Inc,Telephone Utilities,,16002,65000,0,Y,,
D000000067,Altria Group,Tobacco,,16002,65000,0,Y,Y,
D000066804,AbbVie Inc,Pharm/Health Prod,,16002,65000,0,Y,Y,Y
"",Eaton Vance Senior Floating-Rate Fund Common Share,,Mutual Fund,15002,51000,0,Y,,
"",T Rowe Price Short-Term Bond,,Mutual Fund,15001,50000,0,Y,,
"",Putnam Covered Securities Fund,,Mutual Fund,15001,50000,0,Y,,
"",Money Market,,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Miners State Bank,Commercial Banks,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",John Hancock Preferred Income Fund,,Mutual Fund,15001,50000,0,Y,,
"",First Trust Cap Strength Buy Write 21 SA FE CA,,Mutual Fund,15001,50000,0,Y,,
D000025490,Diageo PLC,"Beer, Wine & Liquor",,15001,50000,0,Y,Y,
"",Columbia Acorn International Fund,,Mutual Fund,15001,50000,0,Y,,
"",Catalyst Hedged Futures Strategy,Unknown,,15001,50000,0,Y,,
"",Catalyst Hedged Futures Strategy,,Mutual Fund,15001,50000,0,Y,,
"",Cash,,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Amerirprise John Hancock Floating Rate,,Mutual Fund,15001,50000,0,A,,
"",American Century Equity Income Fund,,Mutual Fund,15001,50000,0,Y,,
D000023883,Amazon.com,Internet,,15001,50000,0,Y,Y,
"",ABB Ltd,Misc Energy,,15001,50000,0,Y,,
"",AB High Income,,Mutual Fund,15001,50000,0,Y,,
D000035105,Kinder Morgan Inc,Oil & Gas,,3003,45000,0,Y,Y,
"",Targa Resources Partners,Oil & Gas,,2002,30000,0,Y,,
D000028057,Nucor Corp,Steel Production,,2002,30000,0,Y,Y,
"",NRG Yield Inc,Unknown,,2002,30000,0,Y,,
"",NRG Yield Inc,,,2002,30000,0,Y,,
"",Neuberger Berman MLP Income Fund,,Mutual Fund,2002,30000,0,Y,,
"",Koninklijke Ahold Nv,Food Process/Sales,,2002,30000,0,Y,,
D000026669,Invesco Ltd,Securities/Invest,,2002,30000,0,Y,Y,
D000020007,Host Hotels & Resorts,Lodging/Tourism,,2002,30000,0,Y,Y,
D000000303,ConocoPhillips,Oil & Gas,,2002,30000,0,Y,Y,
D000000090,Bank of America,Commercial Banks,,2002,30000,0,Y,Y,
D000000133,GlaxoSmithKline,Pharm/Health Prod,,1002,16000,0,Y,Y,
"",Edward Jones/Cash,,Cash/Money Market/Savings/Checking,1002,16000,0,Y,,
"",Xylem Inc,Misc Mfg/Distrib,,1001,15000,0,Y,,
"",Wild River Land Management FNB Account,,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
D000028533,Rayonier Inc,Forest Products,,1001,15000,0,Y,Y,Y
"",MFB Nothern Institutional Funds Prime,,Mutual Fund,1001,15000,0,Y,,
D000000395,Harris Corp,Defense Electronics,,1001,15000,0,Y,Y,
"",Columbia Mid Cap Growth Fund,,Mutual Fund,1001,15000,0,Y,,
"",BlackRock Resources,,Mutual Fund,1001,15000,0,Y,,
D000047259,Ares Capital Corp,Securities/Invest,Mutual Fund,1001,15000,0,Y,,
D000047259,Ares Capital Corp,Securities/Invest,,1001,15000,0,Y,,
"",Ameriprise Money Market,,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Vectrus Inc,Unknown,,1,1000,0,Y,,
D000000175,Raytheon Co,Defense Electronics,,1,1000,0,Y,Y,
"",Rayonier Advanced Materials,Forest Products,,1,1000,0,Y,,
"",Putnam Diversified Income Fund,,Mutual Fund,1,1000,0,Y,,
D000055403,Philip Morris International,Tobacco,,1,1000,0,Y,Y,
"",Eaton Vance Enhance Equity Income Fund II,,Mutual Fund,1,1000,0,Y,,
"",Daniel Benishek MD PC FNB Checking Account,,Cash/Money Market/Savings/Checking,1,1000,0,Y,,
