orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
D000033232,Don Beyer Motors,Automotive,,5000001,25000000,0,A,,Y
"","Second home/Oxford, Talbot County, MD",Real Estate,,1000001,5000000,0,A,,
D000033232,Quonset Hut LLC,Automotive,,1000001,5000000,0,A,,Y
"","Pacific Boulevard LLC/Rental Property, Dulles, VA",Real Estate,,1000001,5000000,0,A,,
"","Old Brown LLC/7416 Richmond Hwy, Alexandria, VA",Real Estate,,1000001,5000000,0,A,,
"",Land Rover Alexandria,Automotive,,1000001,5000000,0,A,,
"",Duke Street LLC,Real Estate,,1000001,5000000,0,A,,
"",Don Beyer Volvo-Winchester,Automotive,,1000001,5000000,0,A,,
"",Don Beyer Volvo Dulles,Automotive,,1000001,5000000,0,A,,
"",Don Beyer Volvo Alexandria,Automotive,,1000001,5000000,0,A,,
"",Broad Street LLC,Real Estate,,1000001,5000000,0,A,,
"",Pirate Motors,Automotive,,515002,1050000,0,A,,
"",Pownal LLC,Real Estate,,500001,1000000,0,A,,
"",Morley Financial Services,Securities/Invest,,500001,1000000,0,A,,
"",Beyer 1 LLC,Real Estate,,500001,1000000,0,A,,
"",Smokey's Garage LLC,Automotive,,250001,500000,0,A,,
"",Garden of Eden LLC,Real Estate,,100001,250000,0,A,,
"",Family Trusts 1997 Beyer Trust for Primary Benefit,Unknown,Insurance policies & Annuities,100001,250000,0,A,,
"",Amazing Appreciation LLC,Real Estate,"Brokerage, IRA, 401k",100001,250000,0,A,,
"",401K & IRA Pioneer Core Equity Fund,Unknown,Mutual Fund,100001,250000,0,A,,
"",401K & IRA Morgan Stanley Smith Barney IRA,Unknown,"Brokerage, IRA, 401k",100001,250000,0,A,,
"",Wild Leap LLC/Rental property,Real Estate,,50001,100000,0,A,,
"",Swallow LLC,Real Estate,,50001,100000,0,A,,
"",Family Trusts 2000 Beyer Family Trust for Primary,Unknown,Insurance policies & Annuities,50001,100000,0,A,,
"",Bank accounts Burke & Herbert Megan,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,A,,
"",Vanguard 500 Index Fund Admiral Shares,Unknown,Mutual Fund,15001,50000,0,A,,
"",Demosphere Inc,Unknown,,15001,50000,0,A,,
"",Rara Avis LLC,Unknown,,1001,15000,0,A,,
"",PNC Financial Services Group,Unknown,,1001,15000,0,A,,
"",Coburn & Meredith - Grace,Unknown,Mutual Fund,1001,15000,0,A,,
D000021895,Carmax Inc,Automotive,,1001,15000,0,A,,
D000021757,Berkshire Hathaway,Securities/Invest,,1001,15000,0,A,Y,
"",Bank accounts Burke & Herbert Don,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,A,,
"",Ariel Appreciation Fund,Unknown,Mutual Fund,1001,15000,0,A,,
