orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Vanguard Small Cap Value Index,,Mutual Fund,100001,250000,0,Y,,
"",Vanguard Small Cap Growth Index,Securities/Invest,Mutual Fund,50001,100000,0,Y,,
"",Vanguard International Value Fund,,Mutual Fund,50001,100000,0,Y,,
"",Vanguard Index Mid Cap Fund,,Mutual Fund,50001,100000,0,Y,,
"",Moderate Age Based Option 13-14,,"Brokerage, IRA, 401k",50001,100000,0,Y,,
"",Growth Fund of America,,Mutual Fund,100000,100000,0,Y,,
"",Fundamental Investors Fund,,Mutual Fund,50001,100000,0,Y,,
"",EuroPacific Growth Fund,,Mutual Fund,50001,100000,0,Y,,
"",Moderate age-Based Option 16,,"Brokerage, IRA, 401k",15001,50000,0,Y,,
"",BaLaNCED OPTION 2190,,Mutual Fund,15001,50000,0,Y,,
"",Templeton Income Tr Global Bond Fund,,Mutual Fund,1001,15000,0,Y,,
"",T Rowe Price Equity Income Fund,,Mutual Fund,1001,15000,0,Y,,
"",Sweet Serendipity Clothing,Unknown,,1001,15000,0,Y,,
"",Steelpath MLP Oppenheimer Steelpath MLP Alpha,,Mutual Fund,1001,15000,0,Y,,
"",Putnam Investors Fund,,Mutual Fund,1001,15000,0,Y,,
"",Pro Management Co,Unknown,,1001,15000,0,Y,,
"",MFS Ser Tr II Growth Fund,,Mutual Fund,1001,15000,0,Y,,
"",John Hancock II Strategic Income Opptys,,Mutual Fund,1001,15000,0,Y,,
"",John Hancock Funds II Fund Large Cap Core,,Mutual Fund,1001,15000,0,Y,,
"",Invesco Small Cap Equity Fund,,Mutual Fund,1001,15000,0,Y,,
"",Invesco International Growth Fund,,Mutual Fund,1001,15000,0,Y,,
"",Invesco Global Real Estate Fund,Real Estate,,1001,15000,0,Y,,
"",Invesco Developing Market Funds,,Mutual Fund,1001,15000,0,Y,,
"",HaRTFORD EQUITY INCOME,,Mutual Fund,1001,15000,0,Y,,
"",Harbor Fund Capital Appreciation Fund,,Mutual Fund,1001,15000,0,Y,,
"",GOLDMaN SaCHS TR STRaTEGIC INCOME,,Mutual Fund,1001,15000,0,Y,,
"",Delaware Pooled Trust Diversified Income Fund,,Mutual Fund,1001,15000,0,Y,,
"",Bank of America/Savings,Commercial Banks,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Bank of America/Checking,Commercial Banks,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Bank of America Pro Management Checking,,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Bank of America Personal checking,,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Transocean Ltd,Oil & Gas,,1,1000,0,Y,,
"",Royce Total Return Fund,,Mutual Fund,1,1000,0,Y,,
"",Putnam Fltg Rate Income,,Mutual Fund,1,1000,0,Y,,
"",Prime Money Market Fund,,Mutual Fund,1,1000,0,Y,,
"",MFS SER TR V INTL New Discovery Fund,,Mutual Fund,1,1000,0,Y,,
"",Match Account Option 1975,,"Brokerage, IRA, 401k",1,1000,0,Y,,
"",Ivy International Core Eqty Fund,,Mutual Fund,1,1000,0,Y,,
"",Goldman Sachs Small/Mid Cap Growth Fund,,Mutual Fund,1,1000,0,Y,,
"",Freedom Realty Inc,Real Estate,,1,1000,0,Y,,
"",Cash held in IRa,,Cash/Money Market/Savings/Checking,1,1000,0,Y,,
"",American Beacon Sim High Yield Opp Fund,,Mutual Fund,1,1000,0,Y,,
"",American Beacon International Equity Fund,,Mutual Fund,1,1000,0,Y,,
