orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"","Cotswald Partners, LLC Subdivision lots",Real Estate,,1000001,5000000,0,Y,,
"",Cash (Arrest),Unknown,Cash/Money Market/Savings/Checking,500001,1000000,0,Y,,
"",Commercial Real Estate,Real Estate,,100001,250000,0,Y,,
"",ABG Municipal Bond Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",ABG Equity Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Northwestern Mutual Life/Insur Policy,Unknown,Insurance policies & Annuities,15001,50000,0,Y,,
"",House 1/3 int (inheritance),Real Estate,,15001,50000,0,Y,,
"",Arvest Bank/Checking,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Invesco Short Term tres Money Market,Unknown,Mutual Fund,1001,16000,0,Y,,
"",Senate Fed Credit Union Checking Account,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Regions Bank/Cash,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Federal Credit Union/Savings,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Federal Credit Union/Checking,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Senate Fed Credit Union Savings Account,Unknown,Cash/Money Market/Savings/Checking,0,1000,0,Y,,
"",Ameritrade - Cash,Unknown,Cash/Money Market/Savings/Checking,0,1000,0,Y,,
