orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Mainstay Large Cap,Unknown,Mutual Fund,115002,300000,0,N,,
"",American Growth Fund of America,Unknown,Mutual Fund,115002,300000,0,N,,
"",American Funds Washington,Unknown,Mutual Fund,115002,300000,0,N,,
"",Tax Free Fund,Unknown,Mutual Fund,100001,250000,0,N,,
"",Iterm Term,Unknown,Mutual Fund,100001,250000,0,N,,
"",Thornberg International,Unknown,Mutual Fund,51002,115000,0,N,,
"",Artisan International Value Fund,Unknown,Mutual Fund,16002,65000,0,N,,
"",Nuveen High Yield Municipal Bond Fund,Unknown,Mutual Fund,15001,50000,0,N,,
"",Mainstay High Yield,Unknown,Mutual Fund,15001,50000,0,N,,
"",Franklin Small Mid Cap Growth,Unknown,Mutual Fund,15001,50000,0,N,,
"",Franklin Sm-Mid Cap,Unknown,,15001,50000,0,N,,
"",Cambriar Small Cap Fund,Unknown,Mutual Fund,2002,30000,0,N,,
D000064241,Vodafone Group,Telecom Svcs,,1001,15000,0,N,,
"",PIMCO Total Return Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",PIMCO RealReturn Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",Pimco Low Duration Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",Oppenheimer International Bond,Unknown,Government Bond,1001,15000,0,N,,
"",MFS Research Bond Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",Hartford Annuity account,Unknown,,1001,15000,0,N,,
"",Centurilink Inc,Unknown,,1001,15000,0,N,,
"",AIG Annuity account,Unknown,"Brokerage, IRA, 401k",1001,15000,0,N,,
"",10 Acres/Kern County,Real Estate,,1001,15000,0,N,,
