orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",DWS Short Term Muni Bond Fund,Unknown,Mutual Fund,500001,1000000,0,Y,,
"",Merrill Lynch Managed Account,Unknown,"Brokerage, IRA, 401k",250001,500000,0,Y,,
"",Merrill Lynch Bank Account,Unknown,"Brokerage, IRA, 401k",250001,500000,0,Y,,
"",Conawell Corp,Unknown,,250001,500000,0,Y,,
"",Van Kampen Tax Exempt High Yield Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Pioneer Municipal High Income Advantage,Unknown,Mutual Fund,100001,250000,0,Y,,
"",MFS Municipal High Income Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"","Farm Land/Eastland County, TX",Crop Production,,100001,250000,0,Y,,
"",Franklin Templeton Founding Fund,Unknown,Mutual Fund,101003,215000,0,Y,,
"",Magnolia Texas ISD Bonds,Unknown,Government Bond,100002,200000,0,Y,,
"",La Otra Cattle Co,Unknown,,100002,200000,0,Y,,
"",Centennial Money Market,Unknown,Cash/Money Market/Savings/Checking,32004,130000,0,Y,,
"",Washington Mutual Investors Fund,Unknown,Mutual Fund,51002,115000,0,Y,,
"",UBS US Allocation Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Pinniacle NB/CD,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"",Oppenheimer Rochester National Muni Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Merrill Lynch Money Fund,Unknown,Cash/Money Market/Savings/Checking,30002,100000,0,Y,,
"",Kidwell Exploration,Oil & Gas,,30002,100000,0,Y,,
D000000103,JPMorgan Chase & Co,Commercial Banks,,50001,100000,0,Y,Y,Y
"",Fundamental Investors Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",First Bank of Puerto Rico/CD,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"",Federated Municipal High Yield Advantage,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Eaton Vance Tax Managed Growth Fund,Unknown,Mutual Fund,30002,100000,0,Y,,
"",Dreyfus Premier Tax Managed Growth Fund,Unknown,Mutual Fund,30002,100000,0,Y,,
D000032652,Clayton Williams Energy,Oil & Gas,,30002,100000,0,Y,,Y
"",Capital World Growth & Income Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Federated Strategic Income Fund,Unknown,Mutual Fund,16002,65000,0,Y,,
"",Federated Market Opportunity Fund,Unknown,Mutual Fund,16002,65000,0,Y,,
D000033613,Federated Kaufmann Fund,Unknown,Mutual Fund,16002,65000,0,Y,,
"",Federated Capital Appreciation Fund,Unknown,Mutual Fund,16002,65000,0,Y,,
"",Wells Fargo/Checking,Commercial Banks,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Wells Fargo Bank/Checking,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Wells Fargo Bank/CD,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Wells Fargo Bank Account,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Various Louisiana oil & gas royalties,Unknown,"""Account"" or Combination of other types (I.e.Stocks & Bonds)",15001,50000,0,Y,,
"",SV Investments,Unknown,,15001,50000,0,Y,,
"",Oil & Gas Mineral Interests,Mining,,15001,50000,0,Y,,
"",MFS Core Equity Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
D000062093,Lario Oil & Gas,Oil & Gas,,15001,50000,0,Y,,
D000000720,IBM Corp,Electronics Mfg/Eqp,,15001,50000,0,Y,Y,
"",Growth Fund of America Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",EuroPacific Growth Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Eaton Value Tax Managed Growth Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Columbia Tax Exempt Fund,Unknown,,15001,50000,0,Y,,
"",Capital Income Builder Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",American Funds Investment Co of America,Unknown,Mutual Fund,15001,50000,0,Y,,
"",AllianceBernstein Growth Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",AIM Capital Development Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
D000000785,Southwest Airlines,Air Transport,,2002,30000,0,Y,Y,
"",Putnam Health Sciences Trust,Misc Health,,2002,30000,0,Y,,
D000000115,Microsoft Corp,Electronics Mfg/Eqp,,2002,30000,0,Y,Y,
D000027589,Micron Technology,Electronics Mfg/Eqp,,2002,30000,0,Y,Y,
"",Wright Patman FCU/Checking,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Wells Fargo Bank/Savings,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
D000019743,Wells Fargo,Commercial Banks,,1001,15000,0,Y,Y,Y
"",Van Kampen Unit Trust 490,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Valley National Bancorp,Commercial Banks,,1001,15000,0,Y,,
"",US Treasury Strips,Unknown,Government Bond,1001,15000,0,Y,,
"",UBS Money Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",UBS Bank USA Deposit Account,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Teradyne Inc,Misc Mfg/Distrib,,1001,15000,0,Y,,
"",Telephonica de Argentina SA,Telephone Utilities,,1001,15000,0,Y,,
"",Tax Exempt Bond Fund of America,Unknown,Mutual Fund,1001,15000,0,Y,,
"",RMA Money Market,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"","Port Seattle, WA Revenue Bond",Unknown,Government Bond,1001,15000,0,Y,,
"",New World Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",KMC Inc,Unknown,,1001,15000,0,Y,,
"",Hartford Stock Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Hartford Global Health Fund,Misc Health,Mutual Fund,1001,15000,0,Y,,
"",Edward Jones Money Market,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Eaton Vance Special Investment Trust,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Dallas/Ft Worth Intl Airport Rev Bond,Unknown,Government Bond,1001,15000,0,Y,,
D000000212,Coca-Cola Co,Food & Beverage,,1001,15000,0,Y,Y,
D000000374,Cisco Systems,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
"","Chicago, IL Midway Rev Bond",Unknown,Government Bond,1001,15000,0,Y,,
D000024598,Campbell Soup,Food Process/Sales,,1001,15000,0,Y,,
D000000076,AT&T Inc,Telephone Utilities,,1001,15000,0,Y,Y,Y
"",American Mutual Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",American Balanced Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",AMCAP Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",AIM Constellation Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
D000043828,Novell Inc,Electronics Mfg/Eqp,,2,2000,0,Y,,
"",Wright Patman FCU/Savings,Unknown,Cash/Money Market/Savings/Checking,1,1000,0,Y,,
"",UBS Paine Webber Retirement Money Fund,Unknown,Mutual Fund,1,1000,0,Y,,
"",Turbosonic Technologies,Unknown,,1,1000,0,Y,,
"",Merrill Lynch Bank USA RASP,Unknown,"Brokerage, IRA, 401k",1,1000,0,Y,,
"",Harkin Energy,Misc Energy,,1,1000,0,Y,,
"",Conabain Corp,Unknown,,1,1000,0,Y,,
