orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Lifecycle Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Modern Woodmen Life Insurance policy,Unknown,Insurance policies & Annuities,50001,100000,0,Y,,
D000038575,T Rowe Price Group Capital Appreciation,Securities/Invest,Mutual Fund,15001,50000,0,Y,,
"",T Rowe Price Mid Cap Growth Fund,Unknown,Mutual Fund,2002,30000,0,Y,,
"",T Rowe Price Growth Stock Fund,Securities/Invest,Mutual Fund,2002,30000,0,Y,,
"",CREF Global Equities Fund,Unknown,Mutual Fund,2002,30000,0,Y,,
"",CREF,Unknown,Mutual Fund,2002,30000,0,Y,,
"",TIAA Traditional,Unknown,Mutual Fund,1001,15000,0,Y,,
D000038575,T Rowe Price Science & Technology Fund,Securities/Invest,Mutual Fund,1001,15000,0,Y,,
D000038575,T Rowe Price Capital Appreciation Fund,Securities/Invest,Mutual Fund,1001,15000,0,Y,,
"",Invesco Global Health Care Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",CREF Money Market,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",CREF Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",CREF Equity Index,Unknown,Mutual Fund,1001,15000,0,Y,,
"",CREF Bond Market,Unknown,Mutual Fund,1001,15000,0,Y,,
"",AXA Equitable Equitable Life Account,Unknown,Mutual Fund,1001,15000,0,Y,,
"",CREF Social Choice Fund,Unknown,"Brokerage, IRA, 401k",1,1000,0,Y,,
"",CREF Inflation Linked Bond,Unknown,Mutual Fund,1,1000,0,Y,,
