orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",iShares S&P Mid Cap 400 Value Index,Unknown,Mutual Fund,100001,250000,0,Y,,
"",iShares Russell 3000 Index,Unknown,Mutual Fund,100001,250000,0,Y,,
"",DFA International Core Equity Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",T Rowe Price Summit Municipal Intermedi,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Pimco Unconstrained Bond Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",PIMCO Total Return Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Lincoln Financial Variable Universal Lif,Unknown,Insurance policies & Annuities,15001,50000,0,Y,,
"",JPMorgan Strategic Income Opportunities,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Dimensional US Small Cap Value Portfolio,Unknown,Mutual Fund,15001,50000,0,Y,,
"",DFA International Small-Company Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",DFA Emerging Markets Core Equity Portf,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Florida Prepaid College Plan,Unknown,Mutual Fund,3003,45000,0,Y,,
"",Wells Fargo accounts,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Vanguard Short Term Tax Exempt Municipal,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Thornburg Limited Term Municipal Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Schwab Bank Deposit Account,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",PIMCO Real Return Bond Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",JP Morgan Tax Aware Real Return Fund Ins,Unknown,Mutual Fund,1001,15000,0,Y,,
