orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Rose Exterminator,Misc Services,,1000001,5000000,0,H,,
"","414 Frontage Road/Northfield, IL",Real Estate,,500001,1000000,0,H,,
"",Rose Pest Solutions,Misc Services,,100001,250000,0,H,,
D000000094,Time Warner,TV/Movies/Music,,50001,100000,0,H,Y,
D000000485,Procter & Gamble,Misc Mfg/Distrib,,50001,100000,0,H,Y,
"","2711 Douglas Avenue/Racine, Wisconsin",Real Estate,,50001,100000,0,H,,
"",Growth Fund of America Fund,Unknown,Mutual Fund,16002,65000,0,H,,
D000000881,Time Warner Cable,Telecom Svcs,,15001,50000,0,H,Y,
"",T Rowe Price Strategy Fund,Unknown,Mutual Fund,15001,50000,0,H,,
D000000373,McDonald's Corp,Food & Beverage,,15001,50000,0,H,Y,
"",Keeley Small Cap Value Fund,Unknown,Mutual Fund,15001,50000,0,H,,
"",Fountainhead Partners LLC,Real Estate,,15001,50000,0,H,,
"",Wintrust Financial,Commercial Banks,,1001,15000,0,H,,
"",White Whale Consulting,Unknown,,1001,15000,0,H,,
D000022274,TD Ameritrade,Securities/Invest,,1001,15000,0,H,Y,
D000026978,Kellogg Co,Food Process/Sales,,1001,15000,0,H,Y,
"",Janus orion Fund,Unknown,Mutual Fund,1001,15000,0,H,,
D000000804,Intel Corp,Electronics Mfg/Eqp,,1001,15000,0,H,Y,
"",Insured Deposit Account,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,H,,
"",Fundamental Investors Fund,Unknown,Mutual Fund,1001,15000,0,H,,
D000022793,Entergy Arkansas,Electric Utilities,,1001,15000,0,H,,
"",Dodge & Cox International Fund,Unknown,Mutual Fund,1001,15000,0,H,,
D000000374,Cisco Systems,Electronics Mfg/Eqp,,1001,15000,0,H,Y,Y
D000000091,BP,Oil & Gas,,1001,15000,0,H,Y,
"",AOL Inc,Internet,,1001,15000,0,H,,
D000000123,American International Group,Insurance,,1001,15000,0,H,Y,
"",Money Market Account,Unknown,Cash/Money Market/Savings/Checking,1,1000,0,H,,
