orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Carlton Hotel Properties,Lodging/Tourism,,5000001,25000000,0,A,,
D000052445,ITT Educational Services,Education,,2697013,8681000,0,A,,
D000034803,Janus Capital Group,Securities/Invest,,2384013,8011000,0,A,Y,
"",Dianne Feinstein 1991 Blind Trust,Unknown,"""Account"" or Combination of other types (I.e.Stocks & Bonds)",1000001,5000000,0,A,,
"","Condominium/Princeville Kauai, HI",Real Estate,,1000001,5000000,0,A,,
D000021899,CBRE Group,Real Estate,,3045007,4150002,1,A,,Y
"",eResearch Technology Inc,Pharm/Health Prod,,1249012,2662000,0,A,,
"",Bank of America/Deposit Account,Unknown,Cash/Money Market/Savings/Checking,2051004,2115002,1,A,,
D000043828,Novell Inc,Electronics Mfg/Eqp,,984011,2110000,0,A,,
D000027041,Kinetic Concepts,Pharm/Health Prod,,2017005,2080002,1,A,Y,
"",TPG Assoc IV LP,Securities/Invest,,1000002,2000000,0,A,,
"",Electronics for Imaging Inc,Electronics Mfg/Eqp,,769007,1610000,0,A,,
D000055884,RAE Systems,Misc Mfg/Distrib,,1250002,1500001,1,A,,
"",Montpelier Real Estate Holdings,Real Estate,,535011,1276000,0,A,,
D000029349,TCF Financial,Commercial Banks,,484009,1160000,0,A,,
D000053094,Lincare Holdings,Pharm/Health Prod,,430012,1077000,0,A,Y,
D000036294,Nu Skin Enterprises,Misc Mfg/Distrib,,420011,1076000,0,A,,
"",Blum Holdings Spokane,Unknown,,1015002,1050001,1,A,,
"",Paxar Corp,Misc Mfg/Distrib,,384010,1012000,0,A,,
"",TPG Assoc III LP,Securities/Invest,,1000001,1000001,1,A,,
"",OZ Fitness,Misc Services,,1000001,1000001,1,A,,
"",Newbridge Equity Asia III LP,Securities/Invest,,1000001,1000001,1,A,,
"",Long Bar Argentina LLC,Unknown,,1000001,1000001,1,A,,
"",Laurel Inn Assoc,Lodging/Tourism,,1000001,1000001,1,A,,
D000044505,First Republic Bank,Commercial Banks,Cash/Money Market/Savings/Checking,1000001,1000001,1,A,,
"",CBRE Realty Finance,Real Estate,,1000001,1000001,1,A,,
"",Bertram Feinstein Trust,Unknown,"Brokerage, IRA, 401k",1000001,1000001,1,A,,
"",BBA Foresight LLC,Real Estate,,1000001,1000001,1,A,,
D000024185,ASTAR Air Cargo,Air Transport,,1000001,1000001,1,A,Y,Y
"",RCBA Newbridge LAF,Unknown,,500001,1000000,0,A,,
"",Newbridge Asia GenPar III LP,Unknown,,500001,1000000,0,A,,
"",NB Hanaro Partners LP,Unknown,,500001,1000000,0,A,,
"",NB Hanaro Partners II LP,Unknown,,500001,1000000,0,A,,
"",PRG Schultz International,Misc Finance,,318007,848000,0,A,,
"",Macrovision Corp,Electronics Mfg/Eqp,,320010,827000,0,A,,
D000036577,Pediatrix Medical Group,Health Professionals,,299010,811000,0,A,,
D000032337,Career Education Corp,Education,,266006,621000,0,A,Y,Y
D000042504,Thomson ISIN,Electronics Mfg/Eqp,,232007,583000,0,A,Y,
"",UAP Holdings,Agricultural Svcs,,198008,549000,0,A,,
D000023660,URS Corp,Construction Svcs,,250001,507000,0,A,,Y
"",Thayer Hotel Investments III LLC,Lodging/Tourism,,250001,500000,0,A,,
"",Tahoe Tavern Condominium/Tahoe City,Real Estate,,250001,500000,0,A,,
"",RCBA LAF Equity Partners,Securities/Invest,,250001,500000,0,A,,
"",Newbridge Asia II LP,Unknown,,250001,500000,0,A,,
"","Lake Merced Condo/San Francisco, CA",Real Estate,,250001,500000,0,A,,
"",ChrysCap II LLC,Unknown,,250001,500000,0,A,,
"",Skillsoft PLC,Electronics Mfg/Eqp,,168006,448000,0,A,,
"",Pegasus Solutions,Internet,,115010,377000,0,A,,
"",Lincoln Educational Services,Education,,132006,335000,0,A,,
D000042761,Ross Stores,Retail Sales,,99008,311000,0,A,,
D000021878,Boston Scientific Corp,Pharm/Health Prod,,100001,253000,0,A,Y,
D000026387,Harley-Davidson Inc,Misc Transport,,100001,251000,0,A,,
"",Strategic Recovery Fund,Unknown,Mutual Fund,100001,250000,0,A,,
"",Second City Capital,Unknown,,100001,250000,0,A,,
"",Newbridge Genpar Partners,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,A,,
D000039038,Glenborough Realty Trust,Real Estate,,100001,250000,0,A,,Y
D000033788,Francisco Partners,Securities/Invest,,100001,250000,0,A,,
"",Credit Suisse Large Cap Value Fund,Unknown,Mutual Fund,100001,250000,0,A,,
"",City & County of San Francisco,Unknown,"Brokerage, IRA, 401k",100001,250000,0,A,,
"",BCP Amth LP,Unknown,,100001,250000,0,A,,
"",BISYS Group,Insurance,,69006,213000,0,A,,
"",Athlon Holding,Business Services,,67004,184000,0,A,,
"",Thayer-Blum Funding III LLC,Unknown,Mutual Fund,65002,150000,0,A,,
"",Current Media LLC,TV/Movies/Music,,65002,150000,0,A,,
"",Wellington Mid Cap Growth Fund,Unknown,Mutual Fund,30002,100000,0,A,,
"",Strange Collective LLC,Unknown,,50001,100000,0,A,,
"",RCBA KCI Partners,Unknown,,50001,100000,0,A,,
"",Newbridge Genpar Advisors,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,A,,
"",Newbridge Asia GenPar II LP,Unknown,,50001,100000,0,A,,
"",Independence Invest Short Term Bond Fund,Unknown,Mutual Fund,30002,100000,0,A,,
"",Independence Invest Growth Income Fund,Unknown,Mutual Fund,30002,100000,0,A,,
"",Frontier Capital Appreciation Fund,Unknown,Mutual Fund,30002,100000,0,A,,
"",Franklin Small Mid Cap Growth Fund,Unknown,Mutual Fund,50001,100000,0,A,,
"",Dreyfus Treasury Prime Cash,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,A,,
D000032834,Consortium on Reading Excellence,Business Services,,50001,100000,0,A,,
"",Brandes International Equity Fund,Unknown,Mutual Fund,30002,100000,0,A,,
"",AEOW 2000 LP,Unknown,,50001,100000,0,A,,
"",First Republic Bank Deposit Account,Unknown,"""Account"" or Combination of other types (I.e.Stocks & Bonds)",16002,65000,0,A,,
"",Axispointe Inc,Unknown,,16002,65000,0,A,,
D000000367,Wal-Mart Stores,Retail Sales,,15001,51000,0,A,Y,Y
D000000386,Johnson & Johnson,Pharm/Health Prod,,15001,51000,0,A,Y,Y
D000025815,First Data Corp,Finance/Credit,,15001,51000,0,A,Y,
"",TPG LAF Equity Partners,Securities/Invest,Unknown,15001,50000,0,A,,
"",Tarrant Venture Partners,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,A,,
"",Prudential Value Fund,Unknown,Mutual Fund,15001,50000,0,A,,
"",Prudential Diversifies Bond Fund,Unknown,Mutual Fund,15001,50000,0,A,,
"",Latam Group,Unknown,Unknown,15001,50000,0,A,,
"",Jennison Portfolio Fund,Unknown,Mutual Fund,15001,50000,0,A,,
"",Escrow Partners Inc,Unknown,,15001,50000,0,A,,
"",Dreyfus Developing Leaders Fund,Unknown,Mutual Fund,15001,50000,0,A,,
"",Central Station Land LLC,Real Estate,,15001,50000,0,A,,
"",Blum Strategic Partners II LP,Securities/Invest,,15001,50000,0,A,,
"",Bill Press Partners,Unknown,,15001,50000,0,A,,
"",BCP AIV Inc,Unknown,,15001,50000,0,A,,
D000030775,ValueAct Capital Partners,Securities/Invest,Mutual Fund,1001,15000,0,A,,
"",Rattlesnake Funding,Unknown,Mutual Fund,1001,15000,0,A,,
"",Newbridge Advisors,Unknown,"Brokerage, IRA, 401k",1001,15000,0,A,,
D000022278,Golden BCP Inc,Securities/Invest,,1001,15000,0,A,Y,Y
"",FWHY-88 Investors LP,Unknown,,1001,15000,0,A,,
"",Blum Strategic Partners III LP,Securities/Invest,,1001,15000,0,A,,
"",Blum Strategic Partners,Securities/Invest,,1001,15000,0,A,,
D000030248,Synopsys Inc,Electronics Mfg/Eqp,,0,12000,0,A,,Y
D000022319,Western Wireless,Telecom Svcs,,0,9000,0,A,,
D000030418,Tiffany & Co,Retail Sales,,0,9000,0,A,Y,
D000026428,Health Management Assoc,Hospitals/Nurs Homes,,0,9000,0,A,Y,
D000025141,Copart Inc,Automotive,,0,9000,0,A,,
D000023737,ABX Air,Air Transport,,0,9000,0,A,,
D000024209,Avaya Inc,Telecom Svcs,,0,7000,0,A,Y,Y
"",MSC Software,Electronics Mfg/Eqp,,0,6000,0,A,,
D000026667,Intuit Inc,Electronics Mfg/Eqp,,0,6000,0,A,Y,
D000000169,Northwest Airlines,Air Transport,,0,3000,0,A,Y,
"",Perini Corp,Unknown,,0,2000,0,A,,
"",Social Enterprise Inc,Unknown,,0,1000,0,A,,
"",Schwab Institutional Schwab Money Market,Unknown,Cash/Money Market/Savings/Checking,0,1000,0,A,,
"",RCBA Strategic KFB,Unknown,Unknown,0,1000,0,A,,
D000042441,Playtex Products,Misc Mfg/Distrib,,0,1000,0,A,Y,
"",Peachtree Cable Holdings,TV/Movies/Music,,0,1000,0,A,,
"",Peachtree Cable Assoc,TV/Movies/Music,,0,1000,0,A,,
"",Newbridge KFB Co,Unknown,"Brokerage, IRA, 401k",0,1000,0,A,,
"",Newbridge Capital LLC,Unknown,,0,1000,0,A,,
"",Newbridge Asia Advisors,Unknown,"Brokerage, IRA, 401k",0,1000,0,A,,
"",NeoSpire Inc,Unknown,,0,1000,0,A,,
"",Loeb Investors LXIV,Unknown,,0,1000,0,A,,
"",LAF Management,Unknown,,0,1000,0,A,,
"",KFB Newbridge GenPar,Unknown,,0,1000,0,A,,
D000045984,Intuitive Surgical,Pharm/Health Prod,,0,1000,0,A,,Y
D000000216,Global Crossing,Telecom Svcs,,0,1000,0,A,,
"",ChrysCap I LLC,Unknown,,0,1000,0,A,,
"",Blum Strategic KFB LP,Unknown,,0,1000,0,A,,
"",Blum Strategic Group,Unknown,,0,1000,0,A,,
"",Blum Strategic Advisors III LLC,Unknown,,0,1000,0,A,,
"",Blum Strategic Advisors II LLC,Unknown,,0,1000,0,A,,
"",Blum Strategic Advisors,Unknown,,0,1000,0,A,,
"",Blum K*Tec Co Investment Partners,Unknown,,0,1000,0,A,,
"",Alliance Govemment Reserves,Unknown,Mutual Fund,0,1000,0,A,,
