orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",AD Clark Family LP,Real Estate,,414600,414600,0,Y,,
"",Mass Mutual Life Insurance Co,Insurance,,110005,300000,0,Y,,
"",Bank of America account,Commercial Banks,Cash/Money Market/Savings/Checking,60004,200000,0,Y,,
"","San Francisco, CA City & County Bond",Unknown,Government Bond,164503,164503,0,Y,,
"","Los Angeles, CA Uni Sch Bond",Unknown,Government Bond,107059,107059,0,Y,,
"",State of Nevada Retirement System,Unknown,"Brokerage, IRA, 401k",50001,100000,0,Y,,
"","San Diego, CA Water At",Unknown,,92735,92735,0,Y,,
"",California Educ Facility Auth Muni Bonds,Unknown,Government Bond,90356,90356,0,Y,,
"",California Economic Recovery Bond,Unknown,Government Bond,90137,90137,0,Y,,
"","San Diego, CA Uni Sch Muni Bonds",Unknown,Government Bond,80942,80942,0,Y,,
"","San Francisco, CA Cmnty Muni Bonds",Unknown,Government Bond,80689,80689,0,Y,,
"","Beverly Hills, Ca Pub Fin Aut Muni Bonds",Unknown,Government Bond,80173,80173,0,Y,,
"",Central Coast Water Auth Muni Bonds,Unknown,Government Bond,75924,75924,0,Y,,
"","Los Angeles, CA Cmnty Clg Muni Bond",Unknown,Government Bond,75468,75468,0,Y,,
"",San Joanquin Delt Ccd,Unknown,,73269,73269,0,Y,,
"","Montery County, Ca Cop Muni Bonds",Unknown,Government Bond,70062,70062,0,Y,,
"","San Mateo, CA Unified High School Bond",Unknown,Government Bond,69400,69400,0,Y,,
"","Los Angeles County, CA Ctfs Muni Bonds",Unknown,Government Bond,66738,66738,0,Y,,
"",Los Angeles Co Mta Sls Muni Bonds,Unknown,Government Bond,53176,53176,0,Y,,
"",California Economic Muni Bonds,Unknown,Government Bond,50489,50489,0,Y,,
"",Loan to Heller for Congress,Unknown,Note/Note Receivable,15001,50000,0,Y,,
"","Orange County, Ca Santn Muni Bonds",Unknown,Government Bond,49164,49164,0,Y,,
"","Bakersfield, Ca Wastewater Muni Bonds",Unknown,Government Bond,43566,43566,0,Y,,
"","Monterey Peninsula, Ca Muni Bonds",Unknown,Government Bond,43201,43201,0,Y,,
"",California Dpt Water Res Psr Bond,Unknown,Government Bond,38815,38815,0,Y,,
"",University of California Gen Bond,Unknown,Government Bond,38200,38200,0,Y,,
"","Sacramento, CA Muni Utility Bond",Unknown,,37758,37758,0,Y,,
"",Riverside Co Ca Trcom,Unknown,,34550,34550,0,Y,,
"","Benicia, CA USD Muni Bonds",Unknown,Government Bond,30137,30137,0,Y,,
"",CMA Money Fund,Unknown,Cash/Money Market/Savings/Checking,24628,24628,0,Y,,
"",Lompoc Ca USD Bond,Unknown,Government Bond,22472,22472,0,Y,,
"",Accrued Interest,Unknown,,17295,17295,0,Y,,
"",Puerto Rico Muni Financing Agency Bond,Unknown,Government Bond,3420,3420,0,Y,,
