orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",DEI LLC,Real Estate,,50000001,50000001,1,Y,,
"",Greene Properties,Real Estate,,25000001,50000000,0,Y,,
"",Oppenheimer Developing Markets Fund,Unknown,Mutual Fund,5000001,25000000,0,Y,,
"",Goldman Sachs Mid Cap Value Fund,Unknown,Mutual Fund,5000001,25000000,0,Y,,
"",First Eagle Global Fund,Unknown,Mutual Fund,5000001,25000000,0,Y,,
"",Eaton Vance Asian Small Companies Fund,Unknown,Mutual Fund,5000001,25000000,0,Y,,
"",Columbia Marisco 21st Century Fund,Unknown,Mutual Fund,5000001,25000000,0,Y,,
"",Blackrock Pacific Fund,Unknown,Mutual Fund,5000001,25000000,0,Y,,
"",BlackRock Large Cap Value Fund,Unknown,Mutual Fund,5000001,25000000,0,Y,,
"",Blackrock Global Small Cap Fund,Unknown,Mutual Fund,5000001,25000000,0,Y,,
"",AIM International Small Company Fund,Unknown,Mutual Fund,5000001,25000000,0,Y,,
"",Van Kampen Comstock Fund,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",Third I LLC,Unknown,,1000001,5000000,0,Y,,
"",Seligman Large Cap Value Fund,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",Pioneer Small Cap Value Fund,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",Phoenix International Strategy Fund,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",MFS Strategic Value Fund,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",MFS International Fund,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",Mainstay Mid Cap Value Fund,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",Lord Abbett Mid Cap Value Fund,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",John Hancock Classic Value Fund,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",Janus Forty Fund,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",Janus Contrarian Fund,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",Ivy Asset Strategy Fund,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",Franklin Micro Cap Fund,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",Franklin Custodian Utility Fund,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",Evergreen Equity Income Fund,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",Dyefus Premier Worldwide,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",Dreyfus Premier Value Fund,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",Delaware American Services,Unknown,,1000001,5000000,0,Y,,
"",Davis New York Venture Fund,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",Columbia Acorn Fund,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",Calamos Value Fund,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",Calamos Growth Fund,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",Blackrock S&P 500 Fund,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",BlackRock Mid Cap Value Opportunity Fund,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",BlackRock Large Cap Growth Fund,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",Blackrock Global Allocation Fund,Securities/Invest,Mutual Fund,1000001,5000000,0,Y,,
"",Blackrock Developing Cap Markets,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",AXA Enterprise Small Company Value Fund,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",AXA Enterprise Mergers & Acquisitions,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",AXA Enterprise Capital Appreciation,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",American New Perspective Fund,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",American Funds Growth Fund of America,Misc Finance,Mutual Fund,1000001,5000000,0,Y,,
"",American AMCAP Fund,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",Allianz NFJ Small Cap Value Fund,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",AllianceBernstein Value Fund,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",AllianceBernstein Intl Value Fund,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",AIM Small Cap Growth Fund,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",CMA Tax Exempt Fund,Unknown,Mutual Fund,250001,500000,0,Y,,
"",Phoenix Foreign Opportunity Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Merrill Lynch Bank Deposit Program,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",MFS Value Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Blackrock Value Opportunity Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Pioneer Mid Cap Value Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Congressional FCU Account,Unknown,"Brokerage, IRA, 401k",15001,50000,0,Y,,
