orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Columbia Cap Alloc Moderate,Unknown,Mutual Fund,32004,130000,0,Y,,
"",MAX Federal Credit Union/Checking & Svgs,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"",Stoneridge Inc,Electronics Mfg/Eqp,,15001,50000,0,Y,,
"",Oppenheimer Global Strategic Income Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Baron Small Cap Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",SEI Global Volatility Fund,Unknown,Mutual Fund,2002,30000,0,Y,,
"",SEI US Managed Volatility Fund,Unknown,Mutual Fund,1002,16000,0,Y,,
"",SEI US Fixed Income Fund,Unknown,Mutual Fund,1002,16000,0,Y,,
"",SEI Short Duration Govt Fund,Unknown,Mutual Fund,1002,16000,0,Y,,
"",SEI Real Return Fund,Unknown,Mutual Fund,1002,16000,0,Y,,
"",SEI Multi Strategy Fund,Unknown,Mutual Fund,1002,16000,0,Y,,
"",SEI Multi Asset Inflation Fund,Unknown,Mutual Fund,1002,16000,0,Y,,
"",SEI Multi Asset Cap Stable Fund,Unknown,Mutual Fund,1002,16000,0,Y,,
"",SEI Large Cap Fund,Unknown,Mutual Fund,1002,16000,0,Y,,
"",SEI High Yield Bond Fund,Unknown,Mutual Fund,1002,16000,0,Y,,
"",SEI Enhanced Income Fund,Unknown,Mutual Fund,1002,16000,0,Y,,
"",SEI Multi Asset Accumulation Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Riversource Variable Life Insurance,Unknown,Insurance policies & Annuities,1001,15000,0,Y,,
"",Non-IRA Brokerage - All Bern Equity Inco,Unknown,Mutual Fund,1001,15000,0,Y,,
"",MetLife Total Control Account,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",JPMorgan Chase/Personal Bank Account,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
D000000125,General Electric,Misc Mfg/Distrib,,1001,15000,0,Y,Y,Y
"",Fidelity Leveraged Company Stock Fund,Unknown,,1001,15000,0,Y,,
"",Eaton Vance Atlanta Capital Foc Growth,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Columbia Dividend Income Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
D000000374,Cisco Systems,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
"",Artisan Mid Cap Value Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
D000024095,Apache Corp,Oil & Gas,,1001,15000,0,Y,Y,
"",American Funds EuroPacific Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",TOD/SEI Multi Asset Accumulation Fund,Unknown,Mutual Fund,1,1000,0,Y,,
"",SEI Global Managed Vol Fund,Unknown,Mutual Fund,1,1000,0,A,,
"",SEI Emerging Markets Debt Fund,Unknown,Mutual Fund,1,1000,0,A,,
D000000138,Pfizer Inc,Pharm/Health Prod,,1,1000,0,Y,Y,
