orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",TWP Inc,Oil & Gas,,5100002,25250000,0,Y,,
"",Phillips Resources,Oil & Gas,,5100002,25250000,0,Y,,
"","Real Estate/Butler County, PA",Real Estate,,1000001,5000000,0,Y,,
"",Kelly Chevrolet Cadillac,Automotive,,1000001,5000000,0,Y,,
"",Mary H Phillips Residuary Trust,Unknown,"Brokerage, IRA, 401k",500001,1000000,0,Y,,
"",Vanguard Long Term Invest-Grade Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Vanguard Windsor II Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",T Rowe Price Large Cap Growth,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Mike Kelly Hyundai,Automotive,,15001,50000,0,Y,,
"",Mike Kelly Automotive,Automotive,,15001,50000,0,Y,,
"","Land/12 acres/Butler County, PA",Real Estate,,15001,50000,0,Y,,
"",Ivy Asset Strategy Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Goldman Sachs Growth Opportunities Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
D000000155,General Motors,Automotive,,15001,50000,0,Y,Y,
"",Dodge & Cox International Stock Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",PNC Bank Account,Unknown,Cash/Money Market/Savings/Checking,2002,30000,0,Y,,
"",PC Exploration Ltd Ptr 2008,Unknown,,2002,30000,0,Y,,
"",PC Exploration Ltd Ptr 2007,Unknown,,2002,30000,0,Y,,
"",Campbells Gas Partners 2005,Oil & Gas,,2002,30000,0,Y,,
"",PC Exploration Ltd Ptr 2010,Unknown,,1001,15000,0,Y,,
"",PC Exploration Ltd Ptr 2009,Unknown,,1001,15000,0,Y,,
"",PC Exploration Ltd Ptr 2006,Unknown,,1001,15000,0,Y,,
"",PC Exploration Ltd Ptr 2000,Unknown,,1001,15000,0,Y,,
"",PC Exploration Ltd Ptr 1989,Unknown,,1001,15000,0,Y,,
"",PC Exploration Ltd Ptr 1985,Unknown,,1001,15000,0,Y,,
"",PATA Federal Credit Union account,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Oakleigh Assoc,Real Estate,,1001,15000,0,Y,,
"",Ivy Small Cap Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Ivy Global Natural Resources Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",PC Exploration Ltd Ptr 2002,Unknown,,1,1000,0,Y,,
"",PC Exploration Ltd Ptr 2001,Unknown,,1,1000,0,Y,,
