orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",TC Lifecycle Fund 2020,Unknown,Mutual Fund,100001,250000,0,A,,
"",Vanguard Prime Money Market,Securities/Invest,Cash/Money Market/Savings/Checking,16002,65000,0,A,,
"",Vanguard VBS Stock Holdings,Unknown,Mutual Fund,15001,50000,0,A,,
"",Vanguard Short Term Investment Index,Unknown,Mutual Fund,15001,50000,0,A,,
"",Vanguard Intermediate Term Bond Index,Unknown,Government Bond,15001,50000,0,A,,
"",TIAA Traditional Fund,Unknown,Mutual Fund,15001,50000,0,A,,
"",CREF Stock Fund,Securities/Invest,Mutual Fund,15001,50000,0,A,,
"",CREF Growth Fund,Unknown,Mutual Fund,15001,50000,0,A,,
"",CREF Global Equities Fund,Unknown,Mutual Fund,15001,50000,0,A,,
"",Vanguard Long Term Bond Index,Unknown,Government Bond,1001,15000,0,A,,
"",Vanguard Extended Market Index,Unknown,Mutual Fund,1001,15000,0,A,,
"",TIAA Real Estate Fund,Real Estate,,1001,15000,0,A,,
"",TC Lifecycle Fund 2025,Unknown,Mutual Fund,1001,15000,0,A,,
"",Defined Contribution Plan,Unknown,Mutual Fund,1001,15000,0,A,,
"",CREF Money Market,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,A,,
"",CREF Bond Market Fund,Unknown,Mutual Fund,1001,15000,0,A,,
D000000643,Baxter International,Pharm/Health Prod,,1001,15000,0,Y,Y,
D000000076,AT&T Inc,Telephone Utilities,,1001,15000,0,Y,Y,Y
