orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"","36-02 212 St/Bayside, NY",Real Estate,,500001,1000000,0,N,,
"",211-18 34th Ave/Bayside NY,Real Estate,,500001,1000000,0,N,,
"","41-40 Union St, #14P/Flushing, NY",Real Estate,,250001,500000,0,N,,
"",Total Stock Market Index,Unknown,Mutual Fund,50001,100000,0,N,,
"",Aggressive Growth Portfolio,Unknown,,30002,100000,0,N,,
"",10% Wealth Management LLC,Unknown,,50001,100000,0,N,,
"",Commercial Rental Property at 132-15 35t,Real Estate,,60300,60300,0,A,,
"",TIAA Real Estate Fund,Real Estate,,15002,51000,0,N,,
"",Total International Stock Index Fund,Unknown,Mutual Fund,15001,50000,0,N,,
"",Total Bond Market Index Fund,Unknown,Mutual Fund,15001,50000,0,N,,
"",John Hancock Life Insurance Limited Paym,Unknown,,15001,50000,0,N,,
"",ACM Development LLC,Unknown,,15001,50000,0,N,,
"",147 34th Ave Realty LLC,Real Estate,,15001,50000,0,N,,
"",Mid-Cap Stock Index Portfolio,Unknown,Mutual Fund,2002,30000,0,N,,
"",Commercial Rental Property at 34-30 Coll,Real Estate,,29150,29150,0,A,,
"",Commercial Rental Property at 147-14 34t,Real Estate,,26670,26670,0,A,,
"",Vanguard MSCI Emerging Markets ETF,Unknown,Mutual Fund,1001,15000,0,N,,
"",Vanguard MSCI Eame ETF,Unknown,,1001,15000,0,N,,
"",Vanguard Large Cap ETF,Unknown,Mutual Fund,1001,15000,0,N,,
"",TIAA CREF Lifecycle 2040 Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",Technology Select Sector SPDR Fund,Electronics Mfg/Eqp,Mutual Fund,1001,15000,0,N,,
"",TD Bank IRA,Unknown,Insurance policies & Annuities,1001,15000,0,N,,
"",Target Growth Allocation B Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",Rockspace Vasting Inc,Unknown,,1001,15000,0,N,,
"",Prudential Indl Value Fund,Unknown,Mutual Fund,1001,15000,0,N,,
D000000485,Procter & Gamble,Misc Mfg/Distrib,,1001,15000,0,N,Y,
"",New York Life Insurance whole life,Unknown,Insurance policies & Annuities,1001,15000,0,N,,
"",Morgan Stanley Mid Cap Growth Portfolio,Unknown,,1001,15000,0,N,,
"",MetLife Stock Index Portfolio,Unknown,Insurance policies & Annuities,1001,15000,0,N,,
D000000386,Johnson & Johnson,Pharm/Health Prod,,1001,15000,0,N,Y,
"",Intel Cap,Unknown,,1001,15000,0,N,,
"",HSBC Checking account,Unknown,,1001,15000,0,N,,
"",Chinatrust Banks USA,Unknown,,1001,15000,0,N,,
"",Blackrock Large Cap Portfolio,Unknown,,1001,15000,0,N,,
"",Blackrock Energy & Resources Portfolio,Unknown,,1001,15000,0,N,,
"",Blackrock Diversified Portfolio,Unknown,,1001,15000,0,N,,
"",Bank of America Accounts,Unknown,"Brokerage, IRA, 401k",1001,15000,0,N,,
D000021754,Apple Inc,Electronics Mfg/Eqp,,1001,15000,0,N,Y,
"",US Savings Bank,Unknown,,2,2000,0,N,,
"",Vanguard Small Cap ETF,Unknown,Mutual Fund,1,1000,0,N,,
"",Prudential Jennison Health Sciences Fund,Unknown,,1,1000,0,N,,
"",Pioneer High Yield Fund,Unknown,Mutual Fund,1,1000,0,N,,
"",Oppenheimer Global Fund,Unknown,Mutual Fund,1,1000,0,N,,
"",Invesco Van Kampen value opportunities f,Unknown,,1,1000,0,N,,
