orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Hancey Mill Road Farm LLC,Real Estate,,100001,250000,0,Y,,
D000000301,Torchmark Corp,Insurance,,31003,115000,0,Y,Y,
"",Waddell & Reed Financial,Securities/Invest,,16002,65000,0,Y,,
"",Wells Fargo Bank Account,Unknown,,15001,50000,0,Y,,
"",T Rowe Price Mid-Cap Growth Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Stable Value (Wells Galliard),Unknown,,15001,50000,0,Y,,
"",Managed Growth Portfolio Fund,Unknown,,15001,50000,0,Y,,
"",Federal Thrift Savings Plan,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Columbia Large Cap Index,Unknown,Mutual Fund,15001,50000,0,Y,,
"",American Funds Growth Fund of America,Unknown,Mutual Fund,15001,50000,0,Y,,
"",American Europacific Growth Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",American Beacon Large Cap Value Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Cash held in trust,Unknown,Cash/Money Market/Savings/Checking,1002,16000,0,Y,,
"","Sterne Agee, Inc Account",Unknown,,1001,15000,0,Y,,
"",Sterne Agee IRA/Cash,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Mainstay Funds Trust Growth Equity Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
D000000419,Home Depot,Retail Sales,,1001,15000,0,Y,Y,Y
"",Harbor International Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
D000000125,General Electric,Misc Mfg/Distrib,,1001,15000,0,Y,Y,Y
"",Columbia Small Cap Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Artisan Mid Cap Value Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",American Beacon Small Cap Value Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Vale SA,Mining,,1,1000,0,Y,,
