orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"","Rental Condo/Raleigh Wake, NC",Real Estate,,100001,250000,0,A,,
"","Condominium/Raleigh Wake, NC",Real Estate,,100001,250000,0,A,,
"",American Mutual Fund,Unknown,Mutual Fund,50001,100000,0,A,,
"",American Funds Capital Income Builder Fund,Unknown,Mutual Fund,50001,100000,0,A,,
"",International Growth & Income Fund,Unknown,Mutual Fund,15001,50000,0,A,,
"",Growth Fund,Unknown,Mutual Fund,15001,50000,0,A,,
"",Fundamental Investors Fund,Unknown,Mutual Fund,15001,50000,0,A,,
"",American Funds Bond Fund of America,Unknown,Mutual Fund,15001,50000,0,A,,
D000029689,Visa Inc,Finance/Credit,,1001,15000,0,A,Y,
"",VANGUARD SMALL CAP SToCK IND TRUST INV,Unknown,Mutual Fund,1001,15000,0,A,,
"",TD Waterhouse Clearing/Cash,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,A,,
D000038575,T Rowe Price Capital Appreciation Fund,Securities/Invest,Mutual Fund,1001,15000,0,A,,
"",SPDR Gold Trust ETF,Mining,,1001,15000,0,A,,
"",Select Sector SPDR Trust Energy Select Index,Unknown,,1001,15000,0,A,,
"",Rouzer Co,Unknown,,1001,15000,0,A,,
"",R&C Distributors,Unknown,,1001,15000,0,A,,
"",Pimco High Yield Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",Oppenheimer Inter Diversified Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",IShares US Preferred Stock ETF,Unknown,Mutual Fund,1001,15000,0,A,,
"",Financial Select Sector SPDR Fund,Securities/Invest,,1001,15000,0,A,,
"",BRK Inc,Unknown,,1001,15000,0,A,,
D000000076,AT&T Inc,Telephone Utilities,,1001,15000,0,A,Y,Y
D000064520,Annaly Capital Management,Securities/Invest,,1001,15000,0,A,Y,
"",American Hight Trust,Unknown,Unknown,1001,15000,0,A,,
D000031048,Whole Foods Market,Food Process/Sales,,1,1000,0,A,,
"",Prime Fund Capital Reserves/Money Market,Unknown,Cash/Money Market/Savings/Checking,1,1000,0,A,,
"",Oncothyreon Inc,Pharm/Health Prod,,1,1000,0,A,,
"",ING Direct/Savings,Unknown,Cash/Money Market/Savings/Checking,1,1000,0,A,,
