orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Sheridan Equities Holdings,Securities/Invest,Mutual Fund,1015002,5050000,0,Y,,
"","11011 N 92nd St #1057/Scottsdale, AZ",Real Estate,,100001,250000,0,Y,,
"",W&R Target Growth,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Putnam Voyager Fund,Unknown,,15001,50000,0,Y,,
"",Putnam Growth & Income Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Maricopa Co Tax Lien,Unknown,Note/Note Receivable,15001,50000,0,Y,,
"","Deferred Comp ""457"" Brown Cap Money",Unknown,Mutual Fund,15001,50000,0,Y,,
"",Blackrock Small Cap Growth Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Blackrock Large Cap Value Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",American Century Equity Index,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Advantus Index 500 Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",BlackRock International,Unknown,Mutual Fund,1001,15000,0,Y,,
"",BlackRock Govt Income Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Advantus Mortgage,Real Estate,,1001,15000,0,Y,,
"",Advantus Bond,Unknown,Mutual Fund,1001,15000,0,Y,,
