orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
D000000485,Procter & Gamble,Misc Mfg/Distrib,,250001,500000,0,Y,Y,
"",Fidelity Cash Reserves,,Mutual Fund,250001,500000,0,Y,,
"",Franklin Mutual Quest Fund,,Mutual Fund,100001,250000,0,Y,,
"",Fidelity Balanced Fund,,Mutual Fund,100001,250000,0,Y,,
"",Eastman Savings & Loan Traditional IRA Money Maker,,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",Fidelity Independence Fund,,Mutual Fund,51002,115000,0,Y,,
"",Vanguard Growth & Income Investor Fund,,Mutual Fund,50001,100000,0,Y,,
"",Permanent Portfolio Fund,,Mutual Fund,50001,100000,0,Y,,
"",Fidelity New Millennium Fund,,Mutual Fund,50001,100000,0,Y,,
"",Fidelity Growth & Income Fund,,Mutual Fund,50001,100000,0,Y,,
"",Fidelity Freedom Income,,Mutual Fund,50001,100000,0,Y,,
"",Fidelity Asset Manager Fund,,Mutual Fund,100000,100000,0,Y,,
"",Fidelity Asset Manager 20% Fund,,"Brokerage, IRA, 401k",50001,100000,0,Y,,
"","Eastman Savings & Loan, Savings, CDs",,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"",Oppenheimer Capital Appreciation Fund,,Mutual Fund,15001,50000,0,Y,,
"",Fidelity New York Municipal Money Market Fund,,Mutual Fund,15001,50000,0,Y,,
"",Fidelity Magellan Fund,,Mutual Fund,15001,50000,0,Y,,
"",Fidelity Growth Company Fund,,Mutual Fund,15001,50000,0,Y,,
D000024879,Clorox Co,Chemicals,,15001,50000,0,Y,,
D000034869,JM Smucker Co,Food Process/Sales,,1001,15000,0,Y,Y,
"",Congressional Federal Credit Union,Credit Unions,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
