orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Vanguard Growth Index,,Mutual Fund,552004,1130000,0,Y,,
"",Vanguard Value Index,,Mutual Fund,517004,1080000,0,Y,,
"",JP Morgan Mid Cap Value Institutional,,Mutual Fund,117004,330000,0,Y,,
"",Prudential Jennison Mid Cap Growth Fund,,Mutual Fund,116003,315000,0,Y,,
"",Dodge & Cox International Fund,Misc Finance,Mutual Fund,116003,315000,0,Y,,
"",American Beacon Small Cap Value Fund,,Mutual Fund,116003,315000,0,Y,,
"",AQR Managed Futures Strategy Fund,,Mutual Fund,115002,300000,0,Y,,
"",Cash Reserves,,Cash/Money Market/Savings/Checking,102006,283000,0,Y,,
"",William Blair International Growth N,,Mutual Fund,102003,280000,0,Y,,
"",Oakmark International Small Cap Fund,,Mutual Fund,102003,280000,0,Y,,
"",Vanguard Small Cap Growth Index,Securities/Invest,Mutual Fund,101002,265000,0,Y,,
"",John Hancock Global Absolute Ret Strat I,,Mutual Fund,101002,265000,0,Y,,
"",Vanguard Moderate Growth Portfolio,,Mutual Fund,100001,250000,0,Y,,
"",Palmer Square Absolute Return Fund,,Mutual Fund,100001,250000,0,Y,,
"",Grand Prairie TX Water & Wastewater Bond,,Government Bond,100001,250000,0,Y,,
"",Enterprise Holdings 401k & Profit Sharing Plan,,Mutual Fund,100001,250000,0,Y,,
"",CBRE Clarion Long/Short,,Mutual Fund,100001,250000,0,Y,,
"",AQR Multi Strategy Alternative Fund,,Mutual Fund,100001,250000,0,Y,,
"",Harding Loevner Emerging Markets Fund,,Mutual Fund,52003,130000,0,Y,,
"",Cohen & Steers Realty Fund,Real Estate,,51002,115000,0,Y,,
"",Cohen & Steers International Realty Fund,Real Estate,,51002,115000,0,Y,,
"",ASG Managed Futures Strategy Y,,Mutual Fund,51002,115000,0,Y,,
"",Wisconsin GO Ref Bonds,,Government Bond,50001,100000,0,Y,,
"",Whole Life (Select 100 - #3),,Insurance policies & Annuities,50001,100000,0,Y,,
"",Whole Life (Select 100 - #2),,Insurance policies & Annuities,50001,100000,0,Y,,
"",Whole Life (90 Life - #3),,Insurance policies & Annuities,50001,100000,0,Y,,
"",Whole Life,,Insurance policies & Annuities,50001,100000,0,Y,,
"",West Pierce Fire & Rescue Pier Bond,,Government Bond,50001,100000,0,Y,,
"",Vermont Municipal Bond,,Government Bond,50001,100000,0,Y,,
"",Vanguard Windsor II Fund,,Mutual Fund,50001,100000,0,Y,,
"",Vanguard Small Cap Index Signal,,Mutual Fund,50001,100000,0,Y,,
"",Vanguard Small Cap Growth ETF,,Mutual Fund,30002,100000,0,Y,,
"",Vanguard Mid Cap Index Fund,,Mutual Fund,50001,100000,0,Y,,
"",University OK Rev,,Government Bond,50001,100000,0,Y,,
"",University NM Gallup Branch GO,,Government Bond,50001,100000,0,Y,,
"",Tomball TX Ctfs of Oblig,,Government Bond,50001,100000,0,Y,,
"",South Dakota Brd Regts Hsg & A FGIC,,Government Bond,50001,100000,0,Y,,
"",Richland WA GO Ref,,Government Bond,50001,100000,0,Y,,
"",Renton WA GO,,Government Bond,50001,100000,0,Y,,
"","Rental Timeshare - Breckenridge, CO",,,50001,100000,0,Y,,
"",Rankin County MS Sch Dist Ltd Impt Bond,,Government Bond,50001,100000,0,Y,,
"",Nuveen Winslow Large Cap Growth Fund,,Mutual Fund,50001,100000,0,Y,,
