orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Town Farm Hill Road,Unknown,,250001,500000,0,Y,,
"",Fidelity Contrafund,Unknown,Mutual Fund,250001,500000,0,Y,,
"",Fidelity Cash Reserve Fund,Unknown,"Brokerage, IRA, 401k",250001,500000,0,Y,,
"",St Germain Money Market,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",SPDR S&P 500 ETF,Securities/Invest,Mutual Fund,100001,250000,0,Y,,
"",Short Term High Yield SPDR ETF,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Monument Life,Unknown,,100001,250000,0,Y,,
D000059889,LSI Corp,Electronics Mfg/Eqp,,100001,250000,0,Y,,
"",iShares Utilities,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Fidelity Low Priced Stock Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Fidelity Cap&Income,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Barclays Short Term High Yield,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Barclays iShares High Yield,Unknown,Mutual Fund,100001,250000,0,Y,,
D000067701,Banco Santander,Commercial Banks,,100001,250000,0,Y,,
"",American General Life Insurance,Insurance,,100001,250000,0,Y,,
"",131 Main Street,Real Estate,,100001,250000,0,Y,,
D000000566,US Airways,Air Transport,,31003,115000,0,Y,,
"",Wisdom Tree Japan,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Vanguard Precious Metals & Mining,Mining,,50001,100000,0,Y,,
"",US Treasury Bond,Unknown,Government Bond,50001,100000,0,Y,,
"",TIAA Traditional Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",TIAA Cref Money Market,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Sirius XM Holdings,TV/Movies/Music,,50001,100000,0,Y,,
D000000341,Rite Aid Corp,Retail Sales,,50001,100000,0,Y,Y,Y
"",iShares Taiwan Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",iShares Japan,Unknown,Mutual Fund,50001,100000,0,Y,,
"",iShares Global Telecom,Securities/Invest,Mutual Fund,50001,100000,0,Y,,
"",Fidelity Select Biotechnology Fund,Pharm/Health Prod,,50001,100000,0,Y,,
"",Fidelity New Market Income,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Fidelity Municipal Income Fund,Unknown,Government Bond,50001,100000,0,Y,,
"",Charles Schwab Money Market,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"",iShares MSCI Emerging Markets Index,Unknown,Mutual Fund,16002,65000,0,Y,,
D000019743,Wells Fargo,Commercial Banks,,15001,50000,0,Y,Y,
"",Vanguard EuroPacific Fund,Unknown,,15001,50000,0,Y,,
"",TIAA Cref Large Cap,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Technology Sector SPDR Trust,Electronics Mfg/Eqp,,15001,50000,0,Y,,
D000028398,PNC Financial Services,Commercial Banks,,15001,50000,0,Y,Y,
"",PIMCO Total Return Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Northern Prime Obligations Portfolio,Unknown,Mutual Fund,15001,50000,0,Y,,
"",iShares Vietnam,Unknown,,15001,50000,0,Y,,
"",iShares Technology,Unknown,Mutual Fund,15001,50000,0,Y,,
"",iShares Materials,Unknown,Mutual Fund,15001,50000,0,Y,,
