orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"","322 Rocky Rd/Hazleton, PA",Real Estate,,500001,1000000,0,N,,
"",Cash/Equivalents,Unknown,Cash/Money Market/Savings/Checking,31003,115000,0,N,,
"",T Rowe Price Short Term Bond,Unknown,Mutual Fund,30002,100000,0,N,,
"",PIMCO Total Return Fund,Unknown,Mutual Fund,30002,100000,0,N,,
"",Mellon Capital JNL5,Unknown,,17003,80000,0,N,,
"",Lazard Emerging Markets Fund,Unknown,Mutual Fund,17003,80000,0,N,,
"",Mellon Capital NASD,Unknown,Mutual Fund,16002,65000,0,N,,
"",Delaware Ltd Term Inc Fund,Unknown,Mutual Fund,16002,65000,0,N,,
"",PNC Bank/Checking,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,N,,
"",PIMCO Total Return Bond Fund,Unknown,Mutual Fund,15001,50000,0,N,,
"",S&P 4,Unknown,Mutual Fund,3003,45000,0,N,,
"",PPM Amer Hi Yield Bond,Unknown,Mutual Fund,3003,45000,0,N,,
"",Pam China India,Unknown,Mutual Fund,3003,45000,0,N,,
"",Mellon Capital Small Cap Index,Unknown,Mutual Fund,3003,45000,0,N,,
"",Lazard Mid Cap Index,Unknown,Mutual Fund,3003,45000,0,N,,
"",Powershares US Dollar Index,Unknown,Mutual Fund,2002,30000,0,N,,
D000000115,Microsoft Corp,Electronics Mfg/Eqp,,2002,30000,0,N,Y,
D000000103,JPMorgan Chase & Co,Commercial Banks,,2002,30000,0,N,Y,
D000000386,Johnson & Johnson,Pharm/Health Prod,,2002,30000,0,N,Y,
"",iShares Silver Trust Index,Unknown,Mutual Fund,2002,30000,0,N,,
D000022008,Google Inc,Internet,,2002,30000,0,N,Y,
"",Wisdomtree International Large Cap Fund,Unknown,Mutual Fund,1001,15000,0,N,,
D000000128,Walt Disney Co,TV/Movies/Music,,1001,15000,0,N,Y,
"",T Rowe Price Short Term Bond,Unknown,Government Bond,1001,15000,0,N,,
"",Spdr Sector Tech Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",SPDR Gold Trust ETF,Mining,,1001,15000,0,N,,
"",SPDR Barclays Cap Hi Yield,Unknown,Mutual Fund,1001,15000,0,N,,
"",Red RK List PR Eq,Unknown,Mutual Fund,1001,15000,0,N,,
"",RD RK Lst Prv Eq,Unknown,Mutual Fund,1001,15000,0,N,,
"",Rd Rck Lstd Prv Equity,Unknown,Mutual Fund,1001,15000,0,N,,
D000000794,Qualcomm Inc,Electronics Mfg/Eqp,,1001,15000,0,N,Y,
"",Prudential St Inc Fund,Unknown,Mutual Fund,1001,15000,0,N,,
D000019639,Norfolk Southern,Railroads,,1001,15000,0,N,Y,Y
D000000275,Merck & Co,Pharm/Health Prod,,1001,15000,0,N,Y,
"",Mellon Capital Nasdaq 25,Unknown,Mutual Fund,1001,15000,0,N,,
"",iShares Trust & Tips Bond,Unknown,Mutual Fund,1001,15000,0,N,,
D000000720,IBM Corp,Electronics Mfg/Eqp,,1001,15000,0,N,Y,
"",Highland Floating Rate Fund,Unknown,Mutual Fund,1001,15000,0,N,,
D000000716,Hewlett-Packard,Electronics Mfg/Eqp,,1001,15000,0,N,Y,
"",First Trust Nat Gas ETF,Unknown,Mutual Fund,1001,15000,0,N,,
"",Eaton Vance Floating Rate Fund,Unknown,Mutual Fund,1001,15000,0,N,,
D000000188,Dow Chemical,Chemicals,,1001,15000,0,N,Y,
D000025483,Devon Energy,Oil & Gas,,1001,15000,0,N,Y,
"",CVS/Caremark Corp,Retail Sales,,1001,15000,0,N,,
"",Credit Suisse Comm Secs,Unknown,,1001,15000,0,N,,
D000000212,Coca-Cola Co,Food & Beverage,,1001,15000,0,N,Y,
D000024879,Clorox Co,Chemicals,,1001,15000,0,N,,
"",Clean Energy Fuels Co,Unknown,,1001,15000,0,N,,
D000000149,Bristol-Myers Squibb,Pharm/Health Prod,,1001,15000,0,N,Y,
"",Proshares Ultrashort S&P 500 Fund,Unknown,,1,1000,0,N,,
"",Oppenheimer Main Street Small Cap Fund,Unknown,Mutual Fund,1,1000,0,N,,
"",Evergreen Utility & Inc,Unknown,Mutual Fund,1,1000,0,N,,
