orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",US Treasury Cash Reserve,Unknown,Cash/Money Market/Savings/Checking,5000001,25000000,0,Y,,
"",Regal Entertainment,Unknown,,500001,1000000,0,Y,,
"",UBS Bank USA Deposit Account,Unknown,Cash/Money Market/Savings/Checking,250001,500000,0,Y,,
"",T Rowe Price Mid Cap Growth Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",S&P Depository Receipts Series 1,Unknown,Mutual Fund,100001,250000,0,Y,,
D000000674,Level 3 Communications,Telecom Svcs,,50001,100000,0,Y,Y,Y
"",Harbor International Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"","Wilmer, Cutler et al Retirement",Unknown,"Brokerage, IRA, 401k",15001,50000,0,Y,,
"",Vanguard US Growth Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Vanguard Healthcare Fund,Misc Health,,15001,50000,0,Y,,
"",Vanguard European Stock Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Vanguard 500 Index,Securities/Invest,Mutual Fund,15001,50000,0,Y,,
"",Merrill Lynch Individual Investment A/C,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Merrill Lynch BlackRock Global Allocat,Unknown,Mutual Fund,15001,50000,0,Y,,
"",LMD Farms LP,Crop Production,,15001,50000,0,Y,,
"",Denver Public Schools Retirement System,Unknown,"Brokerage, IRA, 401k",15001,50000,0,Y,,
"",Daggett Farms LP,Crop Production,,15001,50000,0,Y,,
"",College Invest Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",US Bank/Checking,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",SunTrust Bank IRA/CD,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
