orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
D000000227,21st Century Fox,TV/Movies/Music,,103004,295000,0,N,Y,Y
"",Virginia Retirement System,Insurance,,101002,265000,0,N,,
"",Vanguard Value Index ETF,Unknown,Mutual Fund,101002,265000,0,N,,
D000000249,New York Life Insurance,Insurance,Insurance policies & Annuities,100001,250000,0,N,Y,Y
"",Western Asset Corporate Bond Fund Class P,Unknown,Mutual Fund,51002,115000,0,N,,
"",Vanguard Growth ETF,Unknown,Mutual Fund,51002,115000,0,N,,
"",iShares Interm Credit Bond Fund,Unknown,Mutual Fund,51002,115000,0,N,,
"",Fairfax County Retirement System,Unknown,,50001,100000,0,N,,
"",Davis New York Venture Fund,Securities/Invest,Mutual Fund,50001,100000,0,N,,
D000021754,Apple Inc,Electronics Mfg/Eqp,,50001,100000,0,N,Y,
"",Apple Federal Credit Union Savings,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,N,,
D000037610,Sirius XM Radio,TV/Movies/Music,,17003,80000,0,N,Y,
D000000182,Ford Motor Co,Automotive,,16003,66000,0,N,Y,Y
"",Vanguard Small Cap Fund,Unknown,Mutual Fund,16002,65000,0,N,,
"",Vanguard Mid Cap Index Fund,Unknown,Mutual Fund,16002,65000,0,N,,
"",Vanguard FTSE Developed Markets ETF,Unknown,Mutual Fund,16002,65000,0,N,,
"",Vanguard Emerging Markets Fund,Unknown,Mutual Fund,16002,65000,0,N,,
"",Thornburg Investment Income Builder Fund,Unknown,Mutual Fund,16002,65000,0,N,,
"",SPDR Barclays Capital High Yield Bond Fund,Unknown,Mutual Fund,16002,65000,0,N,,
"",PIMCO Total Return Fund,Unknown,Mutual Fund,16002,65000,0,N,,
"",Lord Abbett Floating Rate Fund,Unknown,Mutual Fund,16002,65000,0,N,,
"",Legg Mason Capital Mgmt Fund,Unknown,Mutual Fund,16002,65000,0,N,,
"",First Trust Fncl Alphadex,Unknown,Mutual Fund,16002,65000,0,N,,
"",Wisdomtree Trust Japn Hedge Eq,Unknown,Mutual Fund,15002,51000,0,N,,
"",SPDR S&P Homebuilders ETF,Home Builders,Mutual Fund,15002,51000,0,N,,
"",iShares International Select Dividend ETF,Unknown,Mutual Fund,15002,51000,0,N,,
"",VALIC Fixed Interest,Unknown,Mutual Fund,15001,50000,0,N,,
"",Royce Total Return Fund,Unknown,Mutual Fund,15001,50000,0,N,,
"",Janus Perkins Md Cap Value Fund,Unknown,Mutual Fund,15001,50000,0,N,,
"",Euro Pacific Growth Fund,Unknown,Mutual Fund,15001,50000,0,N,,
"",Baron Growth Fund,Unknown,,15001,50000,0,N,,
"",Artisan International,Unknown,,15001,50000,0,N,,
D000047071,American Tower Corp,Telecom Svcs,,15001,50000,0,N,,
"",American Cap World Growth & Inc,Unknown,Mutual Fund,15001,50000,0,N,,
"",American Beacon Large Cap Value Fund,Unknown,Mutual Fund,15001,50000,0,N,,
D000067048,News Corp,TV/Movies/Music,,3003,45000,0,N,Y,Y
D000027589,Micron Technology,Electronics Mfg/Eqp,,2003,31000,0,N,Y,
"",Royce Fund Total Return Fund,Unknown,Mutual Fund,2002,30000,0,N,,
"",Legg Mason Gbl Asset Mgmt Tr Batterymarch Emrg Mkt,Unknown,Mutual Fund,2002,30000,0,N,,
D000000716,Hewlett-Packard,Electronics Mfg/Eqp,,2002,30000,0,N,Y,Y
"",Morgan Stanley Bank Deposit Program,Unknown,Mutual Fund,1002,16000,0,N,,
D000000303,ConocoPhillips,Oil & Gas,,1002,16000,0,N,Y,
D000000079,Verizon Communications,Telephone Utilities,,1001,15000,0,N,Y,Y
"",Vanguard Small Cap Index Signal Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",Vanguard Midcap Index Ins,Unknown,Mutual Fund,1001,15000,0,N,,
"",Trust for Professional Mngr Snow Cap Opportunity F,Unknown,Mutual Fund,1001,15000,0,N,,
"",Prime Money Market Fund RBC reserved Class,Unknown,Mutual Fund,1001,15000,0,N,,
"",Prime Money Market Fund,Unknown,Mutual Fund,1001,15000,0,N,,
D000019668,Phillips 66,Oil & Gas,,1001,15000,0,N,Y,Y
D000000138,Pfizer Inc,Pharm/Health Prod,,1001,15000,0,N,Y,Y
D000067057,Mondelez International,Food Process/Sales,,1001,15000,0,N,Y,
D000000115,Microsoft Corp,Electronics Mfg/Eqp,,1001,15000,0,N,Y,
"",Legg Mason Capital Mgmt Global Growth Trust Class,Unknown,Mutual Fund,1001,15000,0,N,,
D000045519,Legg Mason Capital Management,Unknown,Mutual Fund,1001,15000,0,N,,
D000001024,Kraft Foods,Food Process/Sales,,1001,15000,0,N,,
D000000419,Home Depot,Retail Sales,,1001,15000,0,N,Y,Y
"",Great West Portfolio Fund,Unknown,Mutual Fund,1001,15000,0,N,,
D000000129,Exxon Mobil,Oil & Gas,,1001,15000,0,N,Y,Y
"",EuroPacific Growth Fund,Unknown,Mutual Fund,1001,15000,0,N,,
D000021970,eBay Inc,Internet,,1001,15000,0,N,Y,
"",Dell Inc,Electronics Mfg/Eqp,,1001,15000,0,N,,
"",Amircan High Income Tr Sh Ben INt,Unknown,Mutual Fund,1001,15000,0,N,,
"",American Europacific Growth R6,Unknown,Mutual Fund,1001,15000,0,N,,
"",American Amcap R6,Unknown,Mutual Fund,1001,15000,0,N,,
"",Western Asset,Securities/Invest,Mutual Fund,2,2000,0,N,,
"",Insrd Dep Acct TD Ameritrad Account,Unknown,"Brokerage, IRA, 401k",1,1000,0,N,,
