orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Town house,Real Estate,,100001,250000,0,Y,,
"",South Miami Investment Partners LLC,Unknown,,100001,250000,0,Y,,
"",Capitol Gains LLC,Lobbyists,,100001,250000,0,Y,,
"",Florida Prepaid College Plan: 4 Year University Pl,,Mutual Fund,50001,100000,0,Y,,
"",Fidelity Money Market,,Mutual Fund,50001,100000,0,Y,,
"",Bank United/Savings,,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
D000000090,Bank of America,Commercial Banks,,17003,80000,0,Y,Y,Y
"",Bank of America/Checking,Commercial Banks,Cash/Money Market/Savings/Checking,16003,66000,0,Y,,
D000031048,Whole Foods Market,Food Process/Sales,,16002,65000,0,Y,,
"",NH Portfolio 2030,,Mutual Fund,15001,50000,0,Y,,
D000000125,General Electric,Misc Mfg/Distrib,,15001,50000,0,Y,Y,Y
"",FVP HG 2 6 LLC,Unknown,,15001,50000,0,Y,,
"",EG Group Bayfront,Unknown,,15001,50000,0,Y,,
D000000374,Cisco Systems,Electronics Mfg/Eqp,,15001,50000,0,Y,Y,
D000067115,Petroleo Brasileiro SA,Oil & Gas,,2002,30000,0,Y,,
"",PACE International Fixed Income Investment Class P,,Mutual Fund,2002,30000,0,Y,,
"",Dolphin Digital Media Inc,TV/Movies/Music,,1002,16000,0,Y,,
D000067823,Alphabet Inc,Internet,,1002,16000,0,Y,Y,Y
D000058766,Xtec,Business Services,,1001,15000,0,Y,Y,
D000022328,Wynn Resorts,Casinos/Gambling,,1001,15000,0,Y,Y,
D000000128,Walt Disney Co,TV/Movies/Music,,1001,15000,0,Y,Y,
"",US Oil Fund,Oil & Gas,,1001,15000,0,Y,,
"",Undiscovered Managers Behavioral Value Fund,,Mutual Fund,1001,15000,0,Y,,
"",UBS Bank Deposit Account,,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
D000000619,Target Corp,Retail Sales,,1001,15000,0,Y,Y,Y
"",Putnam Equity Income Fund,,Mutual Fund,1001,15000,0,Y,,
"",PowerShares Buyback Achievers,,Mutual Fund,1001,15000,0,Y,,
"",Pimco Investment Grade Corporate Bond Index Exchan,,Mutual Fund,1001,15000,0,Y,,
"",Palo Alto Networks,Electronics Mfg/Eqp,,1001,15000,0,Y,,
"",Pace Strategic Fixed Income Investments,,Mutual Fund,1001,15000,0,Y,,
"",Pace Small / Medium Co Value Equity Investments,,Mutual Fund,1001,15000,0,Y,,
"",PACE Small - Medium Co Growth Equity Investments,,Mutual Fund,1001,15000,0,Y,,
"",Pace Mortgage-Backed Securities Fixed Income Inves,,Mutual Fund,1001,15000,0,Y,,
