orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Vanguard Institutional Index,Unknown,Mutual Fund,100001,250000,0,N,,
"",Fidelity Contrafund,Unknown,Mutual Fund,100001,250000,0,N,,
"",American Funds Growth Fund of America,Unknown,Mutual Fund,100001,250000,0,N,,
"",American Funds Income Fund of America,Unknown,Mutual Fund,50001,100000,0,N,,
"",American Funds Europacific Growth R6,Unknown,Mutual Fund,50001,100000,0,N,,
"",FB Roth IRA First Bank Cash,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,N,,
"",Empty Lot,Unknown,,15001,50000,0,N,,
"",Condominium,Unknown,,15001,50000,0,N,,
"",Bank Accounts BMO Harris Bank,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,N,,
"",American Funds Capital Income Builder,Unknown,Mutual Fund,15001,50000,0,N,,
"",Whole Life - State of Wisconsin Life Insurance,Unknown,Insurance policies & Annuities,1001,15000,0,N,,
D000000487,US Bancorp,Commercial Banks,,1001,15000,0,N,Y,
"",Thrivent Mutual Bond Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",State Bank of Horizon accounts,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,N,,
"",Bank Accounts Commerce State Bank,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,N,,
"",American Funds Small Cap World Fund,Unknown,Mutual Fund,1001,15000,0,N,,
