orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Fidelity CT Municipal Money Market,Unknown,Cash/Money Market/Savings/Checking,500001,1000000,0,N,,
"",Spartan Total Market Index,Unknown,Mutual Fund,250001,500000,0,N,,
D000000085,Goldman Sachs,Securities/Invest,,250001,500000,0,N,Y,Y
D000059889,LSI Corp,Electronics Mfg/Eqp,,101002,265000,0,N,,
"",GS Small Cap Value Fund,Unknown,Mutual Fund,100001,250000,0,N,,
"",GS Capital Partners 2000 Employee Fund,Unknown,,100001,250000,0,N,,
"",GS Asia Equity Fund,Unknown,Mutual Fund,100001,250000,0,N,,
"",Financial Teaching Tech,Electronics Mfg/Eqp,,100001,250000,0,N,,
"",Fidelity International Discovery Fund,Unknown,Mutual Fund,100001,250000,0,N,,
"",Chet High Equity Optical Trust Units,Unknown,Mutual Fund,100002,200000,0,N,,
"",Fidelity Aggressive International Fund,Unknown,Mutual Fund,65002,150000,0,N,,
"",Fidelity Blue Chip Value Fund,Unknown,Mutual Fund,51002,115000,0,N,,
"",Store Street PEP Fund 2000 LP,Unknown,,50001,100000,0,N,,
"",Fidelity Value Discovery Fund,Unknown,Mutual Fund,50001,100000,0,N,,
"",Fidelity Capital Appreciation Fund,Unknown,Mutual Fund,50001,100000,0,N,,
"",Fidelity Capital & Income Fund,Unknown,Mutual Fund,50001,100000,0,N,,
"",Fidelity Aggressive Growth Fund,Unknown,Mutual Fund,50001,100000,0,N,,
"",Excelsior Value (Contract) & Rectracti,Unknown,Unknown,50001,100000,0,N,,
D000021873,Blackstone Group,Securities/Invest,,50001,100000,0,N,Y,Y
"",Legg Mason Value Trust,Unknown,Mutual Fund,16002,65000,0,N,,
"",Whitetail Street Global Employee Fund,Unknown,,15001,50000,0,N,,
"",Tomkins PLS,Unknown,,15001,50000,0,N,,
"",Spartan Total Market Fund,Unknown,Mutual Fund,15001,50000,0,N,,
"",NGP Capital Resources,Misc Finance,,15001,50000,0,N,,
D000000115,Microsoft Corp,Electronics Mfg/Eqp,,15001,50000,0,N,Y,Y
"",KJJ Tools,Misc Mfg/Distrib,,15001,50000,0,N,,
D000000804,Intel Corp,Electronics Mfg/Eqp,,15001,50000,0,N,Y,
"",Hennessey Cornerstone Growth,Unknown,Mutual Fund,15001,50000,0,N,,
"",GS Vintage II Employee Fund,Unknown,,15001,50000,0,N,,
"",GS Property Equity Partners 2002 Employ,Unknown,"Brokerage, IRA, 401k",15001,50000,0,N,,
"",GS Disclosed Opportunity Employee Fund,Unknown,Mutual Fund,15001,50000,0,N,,
"",GS Direct Investment Fund 2000 LP,Unknown,,15001,50000,0,N,,
"",Fidelity Total Board Fund,Unknown,Mutual Fund,15001,50000,0,N,,
"",Fidelity Real Estate Income Fund,Real Estate,,15001,50000,0,N,,
"",Fidelity Magellan Fund,Unknown,Mutual Fund,15001,50000,0,N,,
"",Fidelity International Small Cap Fund,Unknown,Mutual Fund,15001,50000,0,N,,
"",Fidelity International Real Estate Fund,Real Estate,,15001,50000,0,N,,
D000000374,Cisco Systems,Electronics Mfg/Eqp,,15001,50000,0,N,Y,
D000060238,Bank of Nova Scotia,Commercial Banks,,15001,50000,0,N,,
"",American Funds Fundamental INSA,Unknown,Mutual Fund,15001,50000,0,N,,
"",Thuribung International Value Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",Store Street Real Estate Fund 2000 LP,Real Estate,,1001,15000,0,N,,
"",Store Street Real Estate Fund 1999 LP,Real Estate,,1001,15000,0,N,,
"",Store Street Asia Fund LP,Unknown,,1001,15000,0,N,,
"",Nationwide Fixed Income Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",Goldman Sachs Cash Account,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,N,,
"",Fidelity Export & Multinational Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",Excelsior Bluefield Equity,Unknown,Mutual Fund,1001,15000,0,N,,
"",Chase Bank/Checking,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,N,,
D000023834,Alcatel-Lucent,Telecom Svcs,,1001,15000,0,N,Y,
"",Fidelity Cash Reserves Fund,Unknown,Cash/Money Market/Savings/Checking,1,1000,0,N,,
