orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Ronald H & Jane K Johnson LLC,Real Estate,,5000001,25000000,0,Y,,
D000000414,Charles Schwab & Co Money Market,Securities/Invest,Cash/Money Market/Savings/Checking,5000001,25000000,0,Y,Y,Y
"",Pacur LLC,Chemicals,,1000001,5000000,0,Y,,
"",Associated Bank NA IRA Cash,,Cash/Money Market/Savings/Checking,550002,1100000,0,Y,,
"",Ron Johnson for Senate Inc,,Note/Note Receivable,500001,1000000,0,Y,,
"",Robert W Baird & Co Money Market Account,,"Brokerage, IRA, 401k",500001,1000000,0,Y,,
"",Stifel Nicolaus Cust For Jane Johnson Benficiary,,Cash/Money Market/Savings/Checking,250001,500000,0,Y,,
"",DP Lenticular Ltd,Publishing,,250001,500000,0,Y,,
"",Wisconsin Hlth & Edl Bond,,Government Bond,100001,250000,0,Y,,
"",Orchard at Picacho LLC,Real Estate,,100001,250000,0,Y,,
"",Associated Bank NA Checking,,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",Welsh Property Trust,Real Estate,,50001,100000,0,Y,,
"",HSA Bank Money Market Account,,"Brokerage, IRA, 401k",1001,15000,0,Y,,
