orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"","10 Briarwood Lane/Bourne, MA",Real Estate,,1000001,5000000,0,N,,
"",Massachusetts Deferred Comp Income Fund,Unknown,Mutual Fund,100001,250000,0,N,,
"","271 Canton St/Stoughton, MA",Real Estate,,100001,250000,0,N,,
"",SSgA S&P 500 Index,Unknown,Mutual Fund,50001,100000,0,N,,
"",Skyline Special Equities Fund,Unknown,,50001,100000,0,N,,
"",Fidelity 2009 529 Conservative Port,Unknown,Mutual Fund,50001,100000,0,N,,
"",Fidelity 2009 529 College Portfolio,Unknown,Mutual Fund,50001,100000,0,N,,
"",Wells Fargo Common Stock Fund,Unknown,Mutual Fund,15001,50000,0,N,,
"",Vanguard Value Index,Unknown,Mutual Fund,15001,50000,0,N,,
"",Thready Brown Global Value Fund,Unknown,Mutual Fund,15001,50000,0,N,,
"",Third Avenue Real Estate Fund,Real Estate,,15001,50000,0,N,,
"",Sharon Credit Union Accounts,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,N,,
"",Oakmark Fund,Unknown,Mutual Fund,15001,50000,0,N,,
"",Masters Select Equity Fund,Unknown,Mutual Fund,15001,50000,0,N,,
"",Longleaf Partners Fund,Unknown,Mutual Fund,15001,50000,0,N,,
"",International Equity Fund,Unknown,Mutual Fund,15001,50000,0,N,,
"",Gabelli Equity Income Fund,Unknown,Mutual Fund,15001,50000,0,N,,
"",Fidelity Low Price Stock Fund,Unknown,Mutual Fund,15001,50000,0,N,,
"",Fidelity Growth Fund,Unknown,Mutual Fund,15001,50000,0,N,,
"",Fidelity 2006 529 Conservative Port,Unknown,Mutual Fund,15001,50000,0,N,,
"",Eaton Vance Larege Cap Fund,Unknown,Mutual Fund,15001,50000,0,N,,
"",Columbia Acorn International Fund,Unknown,Mutual Fund,15001,50000,0,N,,
"",AIM Charter Fund,Unknown,Mutual Fund,15001,50000,0,N,,
"",Weitz Due Fund Partners,Unknown,,1001,15000,0,N,,
"",Wasatch Micro Corp Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",Thompson Plumb Funds,Unknown,Mutual Fund,1001,15000,0,N,,
"",T Rowe Price Structured Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",SSgA International Index Select Fund,Unknown,Mutual Fund,1001,15000,0,N,,
D000000485,Procter & Gamble,Misc Mfg/Distrib,,1001,15000,0,N,Y,
"",Meridian Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",Legg Mason Clearbridge Agg Growth Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",Lardus Rosenberg US Discovery Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",Invesco Equity Real Estate Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",Harbor Capital Appreciation Fund,Unknown,Mutual Fund,1001,15000,0,N,,
D000000125,General Electric,Misc Mfg/Distrib,,1001,15000,0,N,Y,
"",First Horizon National Corp,Unknown,,1001,15000,0,N,,
"",Fidelity Nordik Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",Fidelity Funds,Unknown,Mutual Fund,1001,15000,0,N,,
"",Fidelity Capital Asset Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",Fidelity 2006 529 College Portfolio,Unknown,Mutual Fund,1001,15000,0,N,,
"",Dodge & Cox Balance Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",Citicorp Bank Deposit Co,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,N,,
D000067523,Charles Schwab & Co,Securities/Invest,,1001,15000,0,N,,
"",BlackRock International Value Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",Bank of NY Mellon Account,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,N,,
D000000076,AT&T Inc,Telephone Utilities,,1001,15000,0,N,Y,
"",Ariel Appreciation Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",Allianz USS Opportunity Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",AIM International Growth Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",Motors Liquidation Co,Unknown,,1,1000,0,N,,
D000000172,MetLife Inc,Insurance,,1,1000,0,N,Y,
"",Latronix Inc,Unknown,,1,1000,0,N,,
"",Fidelity Mass Muni Money Market,Unknown,Cash/Money Market/Savings/Checking,1,1000,0,N,,
"",Fidelity Cash Reserve Fund,Unknown,Cash/Money Market/Savings/Checking,1,1000,0,N,,
"",Entremed Inc,Unknown,,1,1000,0,N,,
"",Columbia Capital Reserves,Unknown,,1,1000,0,N,,
