orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Claire McCaskill loan to McCaskill for G,Unknown,Note/Note Receivable,1000001,5000000,0,Y,,
"",Ginnie Mae Securities,Real Estate,Government Bond,1800011,3850000,0,Y,,
"",Enterprise Trust Investment Fund,Unknown,Mutual Fund,2200007,3500001,1,Y,,
"",Terrace Apartments LLC,Real Estate,,1000001,1000001,1,Y,,
"",Fisher Funds,Securities/Invest,,1000001,1000001,1,Y,,
"",Vanguard Total Stock Market Index Fund,Unknown,Mutual Fund,500001,1000000,0,Y,,
"",Sugar Creek Realty,Real Estate,,500001,1000000,0,Y,,
"",Seventeen West Lockwood Assoc,Real Estate,,500001,1000000,0,Y,,
"",Schwab Money Market,Unknown,Cash/Money Market/Savings/Checking,500001,1000000,0,Y,,
"",S&H Shoes,Retail Sales,,500001,1000000,0,Y,,
"",Rural Housing Re-Insurance Co of America,Insurance,,500001,1000000,0,Y,,
"",Vanguard Extended Market Index,Unknown,Mutual Fund,250001,500000,0,Y,,
"",Township Village Assoc,Real Estate,,250001,500000,0,Y,,
"",Southern Development Co of McComb,Real Estate,,250001,500000,0,Y,,
"",Professional Planning Asset Management,Unknown,,250001,500000,0,Y,,
"",Meramec Enterprise Holdings,Unknown,,250001,500000,0,Y,,
"",iShares MSCI EAFE Index,Unknown,Mutual Fund,250001,500000,0,Y,,
"",Enterprise Financial Services,Securities/Invest,,250001,500000,0,Y,,
"",Brookscrossing Apartments LP,Real Estate,,250001,500000,0,Y,,
D000021757,Berkshire Hathaway,Securities/Invest,,250001,500000,0,Y,Y,
"",Vanguard Index Trust,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Timesaver LLC,Air Transport,,100001,250000,0,Y,,
"",Springfield Housing Assoc,Real Estate,,100001,250000,0,Y,,
"",Mexico Assoc I LP,Real Estate,,100001,250000,0,Y,,
"",M-S Assoc,Unknown,,100001,250000,0,Y,,
"",Lockwood Group,Real Estate,,100001,250000,0,Y,,
"",iShares S&P 500 Value Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",iShares S&P 500 Growth Index,Unknown,Mutual Fund,100001,250000,0,Y,,
"",ING International Small Cap Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Hobe Sound RRH Ltd,Real Estate,,100001,250000,0,Y,,
"",Group Three Housing Development,Unknown,,100001,250000,0,Y,,
"",Garrett Housing LP,Real Estate,,100001,250000,0,Y,,
"",Columbus Circle Investors,Unknown,Mutual Fund,100001,250000,0,Y,,
"",American Beacon International Equity Fnd,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Federal Home Loan Bank Bond,Real Estate,,100002,200000,0,Y,,
"",Woodland Terrace Ltd,Real Estate,,50001,100000,0,Y,,
"",Windwood Development,Real Estate,,50001,100000,0,Y,,
"",Wildwood Villas Ltd,Real Estate,,50001,100000,0,Y,,
"",Village Walk of Zephyrhills Ltd,Real Estate,,50001,100000,0,Y,,
"",Village Chase of Zephyrhills Ltd,Real Estate,,50001,100000,0,Y,,
"",Vidalia Ltd,Real Estate,,50001,100000,0,Y,,
"",Springfield Development LP,Real Estate,,50001,100000,0,Y,,
"",River Reach of Crystal River Ltd,Real Estate,,50001,100000,0,Y,,
"",Quail Hollow RRH LP,Real Estate,,50001,100000,0,Y,,
"",Plantation IV LP,Real Estate,,50001,100000,0,Y,,
"",Pine Ridge Ltd,Real Estate,,50001,100000,0,Y,,
"",Pecan Point Development LP,Real Estate,,50001,100000,0,Y,,
"",Orangewood Villas Ltd,Real Estate,,50001,100000,0,Y,,
"",Northgate Housing Ltd,Real Estate,,50001,100000,0,Y,,
"",Milan Manor Assoc,Real Estate,,50001,100000,0,Y,,
"",Lockwood Venture Partners 1985 LP,Real Estate,,50001,100000,0,Y,,
"",Kansas Rural Housing of Atchison LP,Real Estate,,50001,100000,0,Y,,
"",iShares Russell 2000 Growth Index,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Inglewood Meadows Ltd,Real Estate,,50001,100000,0,Y,,
"",Hilltop Terrace Development LP,Real Estate,,50001,100000,0,Y,,
"",Hernando 515 LP,Real Estate,,50001,100000,0,Y,,
"",Group Three Construction,General Contractors,,50001,100000,0,Y,,
"",Forsyth Development,Real Estate,,50001,100000,0,Y,,
"",Forest III Development,Real Estate,,50001,100000,0,Y,,
"",Forest Glade Ltd,Real Estate,,50001,100000,0,Y,,
"",Colony Court RRH Ltd,Real Estate,,50001,100000,0,Y,,
"",Carriage Gate of Palatka,Real Estate,,50001,100000,0,Y,,
"",Briarwood Assoc II LP,Real Estate,,50001,100000,0,Y,,
"",Breezewood RRH Ltd,Real Estate,,50001,100000,0,Y,,
"",Winfield Properties II LP,Real Estate,,15001,50000,0,Y,,
"",Wewahitchka Ltd,Real Estate,,15001,50000,0,Y,,
"",Warrensburg Properties,Real Estate,,15001,50000,0,Y,,
"",Warrensburg Estates,Real Estate,,15001,50000,0,Y,,
"",Waddell & Reid Cash Management Account,Unknown,"Brokerage, IRA, 401k",15001,50000,0,Y,,
"",Waddell & Reid Advisors Core Investment,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Sunset Hills Apartments Ltd,Real Estate,,15001,50000,0,Y,,
"",Stonegate Manor,Real Estate,,15001,50000,0,Y,,
"",Sedalia Apartments LLC,Real Estate,,15001,50000,0,Y,,
"",Scott City Assoc III LP,Real Estate,,15001,50000,0,Y,,
"",Pine Terrace III Ltd,Real Estate,,15001,50000,0,Y,,
"",Pevely Assoc I LP,Real Estate,,15001,50000,0,Y,,
"",Monticello Ltd,Real Estate,,15001,50000,0,Y,,
"",Moberly ASC Group,Real Estate,,15001,50000,0,Y,,
"",Moberly ASC Assoc,Unknown,,15001,50000,0,Y,,
"",Lake Park Ltd,Real Estate,,15001,50000,0,Y,,
"",iShares S&P Mid Cap 400 Value Index,Unknown,Mutual Fund,15001,50000,0,Y,,
"",iShares S&P Mid Cap 400 Growth Index,Unknown,Mutual Fund,15001,50000,0,Y,,
"",iShares Russell 2000 Value Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Grundy Housing Assoc,Real Estate,,15001,50000,0,Y,,
"",Greenwood Terrace Ltd,Real Estate,,15001,50000,0,Y,,
"",Fredricktown Assoc I LP,Real Estate,,15001,50000,0,Y,,
"",Federal Farm Credit Bank Bond,Agricultural Svcs,,15001,50000,0,Y,,
"",Eldon Manor LP,Real Estate,,15001,50000,0,Y,,
"",Eldon Estates LP,Real Estate,,15001,50000,0,Y,,
"",Eldon Estates II LP,Real Estate,,15001,50000,0,Y,,
"",Dickson Assoc I LP,Real Estate,,15001,50000,0,Y,,
"",Deerfield Assoc,Real Estate,,15001,50000,0,Y,,
"",Cambridge Manor,Real Estate,,15001,50000,0,Y,,
"",Buckner Properties,Real Estate,,15001,50000,0,Y,,
"",Brewton Ltd,Real Estate,,15001,50000,0,Y,,
"",Austin Apartments I LP,Real Estate,,15001,50000,0,Y,,
"",Missouri MOST 549,Unknown,"Brokerage, IRA, 401k",2002,30000,0,Y,,
"",Wilber Family Housing LP,Real Estate,,1001,15000,0,Y,,
"",Warrenton Assoc,Real Estate,,1001,15000,0,Y,,
"",Ward Manor Assoc,Real Estate,,1001,15000,0,Y,,
"",Waddell & Reid Advisors Small Capital,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Waddell & Reid Advisors High Income,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Waddell & Reid Advisors Asset Strategy,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Vanguard Money Market,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Rossville Senior Housing LP,Real Estate,,1001,15000,0,Y,,
"",Principal Financial Group 401k,Unknown,"Brokerage, IRA, 401k",1001,15000,0,Y,,
"",Prairieland Properties of Satanta LP,Real Estate,,1001,15000,0,Y,,
"",Nebraska City Senior Housing LP,Real Estate,,1001,15000,0,Y,,
D000022431,National City Bank,Commercial Banks,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Mulberry Assoc I LP,Real Estate,,1001,15000,0,Y,,
"",Moberly Surgery Center,Hospitals/Nurs Homes,,1001,15000,0,Y,,
"",Moberly ASC Equipment Lessor LLC,Unknown,,1001,15000,0,Y,,
"",Marionville III Family Housing LP,Real Estate,,1001,15000,0,Y,,
"",LaCenter Apartments LP,Real Estate,,1001,15000,0,Y,,
"",Garden City Family Housing LP,Real Estate,,1001,15000,0,Y,,
"",Fredricktown Assoc II LP,Real Estate,,1001,15000,0,Y,,
D000021985,First National Bank,Commercial Banks,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,Y
D000061152,Enterprise Bank,Commercial Banks,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,Y
"",Briarwood Assoc I LP,Real Estate,,1001,15000,0,Y,,
"",Bolivar Senior Housing,Real Estate,,1001,15000,0,Y,,
"",Bloomfield Assoc,Real Estate,,1001,15000,0,Y,,
"",Blair Senior Housing LP,Real Estate,,1001,15000,0,Y,,
"",Bank of America account,Commercial Banks,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",American Century Ultra Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Talihina Apartments,Real Estate,,0,2000,0,Y,,
"",Zia Vista Apartments,Real Estate,,0,1000,0,Y,,
"",Yates Center Apartments LP,Real Estate,,0,1000,0,Y,,
"",Woodlen Place Assoc,Real Estate,,0,1000,0,Y,,
"",Wilber Family Housing II LP,Real Estate,,0,1000,0,Y,,
"",Whitehall Assoc,Real Estate,,0,1000,0,Y,,
"",White Hall Assoc I LP,Real Estate,,0,1000,0,Y,,
"",Westview Manor Assoc,Real Estate,,0,1000,0,Y,,
"",Westfield Assoc,Real Estate,,0,1000,0,Y,,
"",West Virginia Ltd,Real Estate,,0,1000,0,Y,,
"",West Lockwood Avenue LP,Real Estate,,0,1000,0,Y,,
