orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",LLM Family Investments,Misc Finance,,7030009,7100007,1,Y,,
"",LLM Partners,Securities/Invest,,4050005,4100004,1,Y,,
"",Domestic Cap Partners Hedge Fund,Securities/Invest,Mutual Fund,3000003,3000003,1,Y,,
D000037414,Schlumberger Ltd,Oil & Gas,,1100003,2250000,0,Y,,
D000000115,Microsoft Corp,Electronics Mfg/Eqp,,1100003,2250000,0,Y,Y,Y
"",Linda Mays McCaul Partners,Securities/Invest,,2015003,2050002,1,Y,,
"",Harding Loevner Funds,Securities/Invest,Mutual Fund,2015003,2050002,1,Y,,
"",SPDR S&P 500 ETF,Securities/Invest,,2000002,2000002,1,Y,,
"",Powershares QQQ ETF,Unknown,Mutual Fund,2000002,2000002,1,Y,,
"",iShares Russell 2000 Growth Fund,Unknown,,2000002,2000002,1,Y,,
"",iShares Core S&P 500 Index Fund,Unknown,,2000002,2000002,1,Y,,
"",Hawkins International Hedge Fund,Unknown,,2000002,2000002,1,Y,,
D000022008,Google Inc,Internet,,2000002,2000002,1,Y,Y,Y
"",Eagle Income Appreciation Partners,Unknown,,2000002,2000002,1,Y,,
"",Condera Long/Short hedge fund,Securities/Invest,,2000002,2000002,1,Y,,
"",Carlson Double Black Diamond,Unknown,,2000002,2000002,1,Y,,
"",Black Diamond Hedge Fund,Securities/Invest,,2000002,2000002,1,Y,,
"",Aberdeen-Hedge Fund,Unknown,,2000002,2000002,1,Y,,
"",Aberdeen Funds Emerging Markets Fund,Unknown,,2000002,2000002,1,Y,,
D000029689,Visa Inc,Finance/Credit,,1000002,2000000,0,Y,Y,Y
D000000422,Oracle Corp,Electronics Mfg/Eqp,,1000002,2000000,0,Y,Y,Y
D000045053,Noble Energy,Oil & Gas,,1000002,2000000,0,Y,Y,Y
"",iShares MSCI EAFE Fund,Unknown,Mutual Fund,1000002,2000000,0,Y,,
D000025625,Ecolab Inc,Chemicals,,1000002,2000000,0,Y,Y,
D000033184,Discovery Communications,TV/Movies/Music,,1000002,2000000,0,Y,Y,
