orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",SSgA Target Retirement 2025,Unknown,Mutual Fund,50001,100000,0,A,,
"",Ssga Target Retirement,Unknown,Mutual Fund,15001,50000,0,A,,
"",iShares S&P Small Cap Growth Fund,Unknown,Mutual Fund,2002,30000,0,N,,
"",iShares S&P Small Cap Growth Fund,Unknown,Mutual Fund,2002,30000,0,A,,
"",Wells Fargo Money Market Sweep,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,A,,
"",Wells Fargo Fds Tr Emerg Mkts Equity Fd,Unknown,Mutual Fund,1001,15000,0,N,,
"",Wells Fargo Fds Tr Emerg Mkts Equity Fd,Unknown,Mutual Fund,1001,15000,0,A,,
"",Vanguard REIT Index,Real Estate,,1001,15000,0,N,,
"",Vanguard Intl Eq Ind Fds Emerg Mkts ETF,Unknown,Mutual Fund,1001,15000,0,N,,
"",Vanguard Ftse Etf Devloped Markets,Unknown,Mutual Fund,1001,15000,0,N,,
"",TIAA-CREF Stock,Unknown,Mutual Fund,1001,15000,0,A,,
"",TIAA Cref Growth,Unknown,Mutual Fund,1001,15000,0,N,,
"",TIAA Cref Growth,Unknown,Mutual Fund,1001,15000,0,A,,
"",TIAA Cref CREF Equity,Unknown,Mutual Fund,1001,15000,0,N,,
"",TIAA Cref CREF Equity,Unknown,Mutual Fund,1001,15000,0,A,,
"",T Rowe Price Mid Cap Growth Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",T Rowe Price Blue Chip Growth Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",T Rowe Price Blue Chip Growth Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",State of MI 401K SSgA Cash Series Treasury Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",SPDR barclays high yield bond etf,Unknown,Mutual Fund,1001,15000,0,N,,
"",RS Invt Tr Value Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",RS Invt Tr Value Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",Rowe T Price Mid Cap Growth Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",Pioneer Oak Ridge Sm Cap Growth Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",Pimco Funds Pac Investment Management,Unknown,Mutual Fund,1001,15000,0,A,,
"",Pimco Fds Pac Invt Mgmt Ser - Commodity,Unknown,Mutual Fund,1001,15000,0,N,,
"",Moolenaar Consulting LLC,Unknown,,1001,15000,0,N,,
"",Metropolitan West Total Return Bond Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",Metrolpolitan West Fds Total Return Bond Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",Janus Invt Fund Small Cap Value Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",Janus Invt Fund Small Cap Value Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",Janus Investment Fund Flexible Bond Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",Janus Investment Fund Flexible Bond Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",iShares S&P MidCap 400 Growth Index,Unknown,Mutual Fund,1001,15000,0,N,,
"",iShares S&P Mid Cap 400 Value Index,Unknown,Mutual Fund,1001,15000,0,N,,
"",Ishares S&P 500 Value Index,Unknown,Mutual Fund,1001,15000,0,N,,
"",Ishares S&P 500 Growth Index,Unknown,Mutual Fund,1001,15000,0,N,,
"",iShares JP Morgan USD Emerging Markets Bond Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",iShares International Treasury Bond,Unknown,Mutual Fund,1001,15000,0,N,,
"",iShares International Treasury Bond,Unknown,Mutual Fund,1001,15000,0,A,,
"",iShares Intermediate Credit Bond Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",iShares iBoxx Inv Grade Crop Bond Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",iShares 7-10 Year Treasury Bond Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",iShares 7-10 Year Treasury Bond Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",iShares 20+ Year Treasury Bond,Unknown,Mutual Fund,1001,15000,0,N,,
"",iShares 1-3 Year Treasury Bond ETF,Unknown,Mutual Fund,1001,15000,0,N,,
"",iShares 1-3 Year Credit Bond ETF,Unknown,Mutual Fund,1001,15000,0,N,,
"",Inv Mgrs Oak Ridge Small Cap Growth Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",Harris Assoc Invt Tr Oakmark Eg,Unknown,Mutual Fund,1001,15000,0,A,,
"",Harris Assoc Invt Tr Oakmark Eg,Unknown,,1001,15000,0,N,,
"",Harbor International Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",Harbor International Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",First Eagle Funds SOGEN Overseas Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",First Eagle Funds SOGEN Overseas Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",Dreyfus Intl Fds Inc Emerg Markets Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",Dreyfus Emerg Markets Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",Dodge & Cox International Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",Davis New York Venture Cl A,Unknown,Mutual Fund,1001,15000,0,A,,
"",Davis New York Venture,Unknown,Mutual Fund,1001,15000,0,N,,
"",American Funds 2030 Target Date,Unknown,Mutual Fund,1001,15000,0,A,,
"",Vanguard Intl Eq Ind Fds Emerg Mkts ETF,Unknown,Mutual Fund,1,1000,0,A,,
"",Vanguard Ftse Etf Devloped Markets,Unknown,Mutual Fund,1,1000,0,A,,
"",Vanguard ETF,Unknown,Mutual Fund,1,1000,0,A,,
"",TIAA CREF Money Market,Unknown,Mutual Fund,1,1000,0,A,,
"",TIAA CREF Money Market,Unknown,Cash/Money Market/Savings/Checking,1,1000,0,N,,
"",SPDR barclays high yield bond etf,Unknown,Mutual Fund,1,1000,0,A,,
"",PowerShares DB Commodity Tracking ETF,Unknown,Mutual Fund,1,1000,0,A,,
"",Moolenaar Consulting LLC,Unknown,,1,1000,0,A,,
"",iShares S&P MidCap 400 Growth Index Fund,Unknown,Mutual Fund,1,1000,0,A,,
"",iShares S&P Mid Cap 400 Value Index,Unknown,Mutual Fund,1,1000,0,A,,
"",Ishares S&P 500 Value Index,Unknown,Mutual Fund,1,1000,0,A,,
"",Ishares S&P 500 Growth Index,Unknown,Mutual Fund,1,1000,0,A,,
"",iShares JP Morgan USD Emerging Markets Bond Fund,Unknown,Mutual Fund,1,1000,0,A,,
"",iShares Intermediate Credit Bond Fund,Unknown,Mutual Fund,1,1000,0,A,,
"",iShares iBoxx Inv Grade Crop Bond Fund,Unknown,Mutual Fund,1,1000,0,A,,
"",iShares 1-3 Year Treasury Bond ETF,Unknown,Mutual Fund,1,1000,0,A,,
"",iShares 1-3 Year Credit Bond ETF,Unknown,Mutual Fund,1,1000,0,A,,
