orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Weaver Barksdale Fixed Income Fund,,Mutual Fund,100001,250000,0,Y,,
"",Vanguard Small Cap Index Signal,,Mutual Fund,100001,250000,0,Y,,
"",Jennison Growth Fund,,Mutual Fund,100001,250000,0,Y,,
"",International Blend/Lazard,,Mutual Fund,100001,250000,0,Y,,
"",Fidelity Contrafund Fund,,Mutual Fund,100001,250000,0,Y,,
"",Toronto Dominion Bank,Commercial Banks,,65002,150000,0,Y,,
"",Vanguard Small Cap Fund,,Mutual Fund,50001,100000,0,Y,,
"",Guaranteed Deposit Fund,,Mutual Fund,50001,100000,0,Y,,
"",Ameriprise Cert Co,Unknown,,50001,100000,0,Y,,
"",Wells Fargo Adv Wealthbuilder Growth Balanced,,Mutual Fund,15001,50000,0,Y,,
"",Wanger USA,Unknown,,15001,50000,0,Y,,
"",VP LoomisSayles Gr II,,Mutual Fund,15001,50000,0,Y,,
"",Templeton Foreign Adv,,Mutual Fund,15001,50000,0,Y,,
"",T Rowe Price Mid Cap Value Fund,,Mutual Fund,15001,50000,0,Y,,
"",Prudential Retirement Real Estate Fund,,,15001,50000,0,Y,,
"",PIMCO Total Return Fund,,Mutual Fund,15001,50000,0,Y,,
"",Oppenheimer SteelPath MLP Alpha Fund,,Mutual Fund,15001,50000,0,Y,,
"",New Jersey Defined Contribution Retirement plan,,"Brokerage, IRA, 401k",15001,50000,0,Y,,
"",Manning & Napier Target income,,Mutual Fund,15001,50000,0,Y,,
"",MAINSTY Large Cap Growth Fund,,Mutual Fund,15001,50000,0,Y,,
"",iShares Russell Midcap Index Fund,,Mutual Fund,15001,50000,0,Y,,
"",iShares Russell 2000 Index,,Mutual Fund,15001,50000,0,Y,,
"",iShares MSCI EAFE ETF,,Mutual Fund,15001,50000,0,Y,,
"",iShares Core S&P 500 ETF,,Mutual Fund,15001,50000,0,Y,,
"",Fidelity New Insights Fund,,Mutual Fund,15001,50000,0,Y,,
"",Columbia VP LG C Quan,,Mutual Fund,15001,50000,0,Y,,
"",Columbia Dividend Opportunity Fund,,Mutual Fund,15001,50000,0,Y,,
"",Columbia Diversified Equity Income Fund,,Mutual Fund,15001,50000,0,Y,,
"",Calvert High Yield Bond Fund,,Mutual Fund,15001,50000,0,Y,,
"",Baron Growth Institutional Shares,,Mutual Fund,15001,50000,0,Y,,
"",American Funds Washington Mutual Fund,,Mutual Fund,15001,50000,0,Y,,
"",Am Funds American Balanced,,Mutual Fund,15001,50000,0,Y,,
"",ACC Market Strategy Certificate,,Mutual Fund,15001,50000,0,Y,,
"",Columbia High Yield Bond Fund,,Mutual Fund,3003,45000,0,Y,,
"",WFADV VT Sm Cap Grow,,Mutual Fund,1001,15000,0,Y,,
"",Union Building Trades Federal Credit Union,,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
D000057436,TD Bank USA,Commercial Banks,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",MFS Research International,,Mutual Fund,1001,15000,0,Y,,
"",MFS Diversified Income Fund,,Mutual Fund,1001,15000,0,Y,,
"",KBS Real Estate Investment Trust,,,1001,15000,0,Y,,
"",Healthcare Employees Federal Credit Union,,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Franklin Small Cap Growth Fund,,Mutual Fund,1001,15000,0,Y,,
"",Franklin Rising Dividends Fund,,Mutual Fund,1001,15000,0,Y,,
"",Fidelity Advisor Strategic Dividend & Income,,Mutual Fund,1001,15000,0,Y,,
"",Fidelity Advisor Floating Rate High Income,,Mutual Fund,1001,15000,0,Y,,
"",Fid VIP Midcap Fund,,Mutual Fund,1001,15000,0,Y,,
D000021977,Express Scripts,Pharm/Health Prod,,1001,15000,0,Y,Y,
"",Columbia VP Global Bond,,Mutual Fund,1001,15000,0,Y,,
"",Columbia VP Dividend Opp Fund,,Mutual Fund,1001,15000,0,Y,,
"",Columbia Seligman Communications & Information,,Mutual Fund,1001,15000,0,Y,,
"",Columbia Global Infrastructure,,Mutual Fund,1001,15000,0,Y,,
"",Columbia Convertible Securities Fund,,Mutual Fund,1001,15000,0,Y,,
"",COL VP Midcap Growth Fund,,Mutual Fund,1001,15000,0,Y,,
D000020325,Citibank,Commercial Banks,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",BB&T Bank,Commercial Banks,,1001,15000,0,Y,,
D000020691,American Express International Bank,,,1001,15000,0,Y,,
"",Am Cent VP International,,,1001,15000,0,Y,,
D000019566,Wells Fargo Bank,Commercial Banks,Cash/Money Market/Savings/Checking,1,1000,0,Y,,
"",Franklin Income Fund,,Mutual Fund,1,1000,0,Y,,
"",First TN,,Unknown,1,1000,0,Y,,
"",Eaton Vance Global Macro Absolute Return Fund,,Mutual Fund,1,1000,0,Y,,
