orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Jared Polis Qualified Blind Trust,Unknown,Mutual Fund,25000001,50000000,0,Y,,
"",Confluence Commons,Internet,Unknown,7000003,35000000,0,Y,,
"",Bridgehealth Medical,Health Services,,6000002,30000000,0,Y,,
"",Asia Investment Partners,Misc Finance,,5000001,25000000,0,Y,,
"","Retirement Home, Japan",Unknown,,4000004,20000000,0,Y,,
"","Quartro Real Estate Retail, Japan",Real Estate,,2000002,10000000,0,Y,,
"",Gunpark Property LP,Real Estate,,2000002,10000000,0,Y,,
"",Pine 3-J Trust,Real Estate,,1500002,6000000,0,Y,,
"",AIP Japan Fund V (Senior Housing) LP,Securities/Invest,,1500002,6000000,0,Y,,
"",Florida Real Estate Value Fund LP,Real Estate,,1250002,5500000,0,Y,,
"",AIP Japan Recovery Fund IV LP,Unknown,Mutual Fund,1250002,5500000,0,Y,,
"",Vanguard Total Stock Market Index,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",Symbius Medical,Pharm/Health Prod,,1000001,5000000,0,Y,,
D000037738,SPS Studios,Publishing,Mutual Fund,1000001,5000000,0,Y,,Y
"","Spine Roade/Boulder, CO",Unknown,,1000001,5000000,0,Y,,
"",Proshares Ultrashort Lehman 7-10 year,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",Preferred Deposit,Unknown,Cash/Money Market/Savings/Checking,1000001,5000000,0,Y,,
"",Powershares QQQ Trust,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",Ocean Farm Technologies,Misc Mfg/Distrib,,1000001,5000000,0,Y,,
"",GE-1-1V-9 (Yasuragi),Real Estate,,1000001,5000000,0,Y,,
"",GE-1-1V-8 (Suite),Real Estate,,1000001,5000000,0,Y,,
"",GE J-IV-7(Villa 2),,,1000001,5000000,0,Y,,
"",GE J-IV-6(Villa),,,1000001,5000000,0,Y,,
"",Aquacopia Ventures I LP Open Blue Sea,Fisheries & Wildlife,,1000001,5000000,0,Y,,
"",Aquacopia Ventures Fund I LP,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"","1827 Grant Street Unit/Denver, CO",Real Estate,,1000001,5000000,0,Y,,
"","Wood, Real estate, Japan",Real Estate,,1000002,2000000,0,Y,,
"",Terq Property LP,Real Estate,,1000002,2000000,0,Y,,
"",Platu Property LP,Real Estate,,1000002,2000000,0,Y,,
"","Gunpark Drive/Boulder, CO",Real Estate,,1000002,2000000,0,Y,,
"",Wells Fargo/Checking,Commercial Banks,Cash/Money Market/Savings/Checking,651007,1316000,0,Y,,
"",K Colorado LLC,Real Estate,Unknown,600002,1250000,0,Y,,
"",Networking Research Group,Business Services,,515002,1050000,0,Y,,
"",Bow River Capital Fund IV LP,Unknown,Mutual Fund,515002,1050000,0,Y,,
"",Yasuragi,Real Estate,,500001,1000000,0,Y,,
"","Walnut St/Boulder, CO",Real Estate,,500002,1000000,0,Y,,
"",Vanguard European MSCI ETF,Unknown,Mutual Fund,500001,1000000,0,Y,,
"",Vail Valley Doctor,Health Professionals,,500001,1000000,0,Y,,
"",SPDR S&P Depository Receipts ETF,Unknown,Mutual Fund,500001,1000000,0,Y,,
"","Senior Housing, Japan",Unknown,,500001,1000000,0,Y,,
"",Real estate,Real Estate,,500001,1000000,0,Y,,
"",Proshares UltraShort Lehman 20+ Treasury,Unknown,Mutual Fund,500001,1000000,0,Y,,
"",Powershares TR Dynamic Lrg Cap Val Port,Unknown,Mutual Fund,500001,1000000,0,Y,,
"",Pine Property LP,Real Estate,,500002,1000000,0,Y,,
"",Oberon FMR,Agricultural Svcs,,500001,1000000,0,Y,,
"",K New York Trust,Unknown,Unknown,500001,1000000,0,Y,,
"",i-Hatch Ventures,Securities/Invest,,500002,1000000,0,Y,,
"",Baird Capital Partners IV LP,Securities/Invest,,500001,1000000,0,Y,,
"",Agriculture Land,Real Estate,,500001,1000000,0,Y,,
"","29th Street/Boulder, CO",Real Estate,,500002,1000000,0,Y,,
"",Western Residential Opportunity Fund LLC,Real Estate,Mutual Fund,350002,750000,0,Y,,
"",iShares MSCI Emerging Markets Index,Unknown,Mutual Fund,350002,750000,0,Y,,
"",Goldman Sachs Mezzanine Partners 2006 LP,Unknown,Mutual Fund,265002,550000,0,Y,,
"",Centre Capital Investors III LP,Securities/Invest,,265002,550000,0,Y,,
"",Bank of America/Preferred Deposit,Unknown,Cash/Money Market/Savings/Checking,250002,501000,0,Y,,
"",Waterways Fund Holdings,Unknown,Mutual Fund,250001,500000,0,Y,,
"",Vanguard Small Cap Value Index,Unknown,Mutual Fund,250001,500000,0,Y,,
"",Sierra Grande Holdings,Real Estate,,250001,500000,0,Y,,
"",Riviera Data Corp,Electronics Mfg/Eqp,,250001,500000,0,Y,,
