orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
D000000561,DTE Energy,Electric Utilities,,2002,30000,0,C,Y,
"",Wells Fargo CDs,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,C,,
"",Thornburg Ltd,Unknown,,1001,15000,0,O,,
"",TCW Total Return Fund,Unknown,Mutual Fund,1001,15000,0,O,,
"",Pimco Income Fund,Unknown,Mutual Fund,1001,15000,0,C,,
"",MFS Muni CTD,Unknown,Unknown,1001,15000,0,C,,
"",Merrill Lynch CD,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,O,,
"",Lord Abbett Short Duration Income Fund,Unknown,Mutual Fund,1001,15000,0,O,,
"",First Eagle Global Fund,Unknown,Mutual Fund,1001,15000,0,O,,
"",Doubleline Tvt,Unknown,Mutual Fund,1001,15000,0,C,,
"",Blackrock Multi,Unknown,Mutual Fund,1001,15000,0,O,,
"",Blackrock Global Fund,Unknown,Mutual Fund,1001,15000,0,C,,
"",BIF Tax Exempted,Unknown,Mutual Fund,1001,15000,0,O,,
"",American Yacktman,Unknown,Mutual Fund,1001,15000,0,O,,
"",American World Growth,Unknown,Mutual Fund,1001,15000,0,O,,
"",American Wash,Unknown,,1001,15000,0,C,,
"",American New Perspective,Unknown,Mutual Fund,1001,15000,0,C,,
"","37455 3rd St Bay Vista, DE",Real Estate,,1001,15000,0,C,,
